Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,"1,565,000","1,263,000","1,491,000","6,187,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,23.911%,-15.292%,-75.901%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"77,398,000","76,550,000","63,260,000","61,341,000","54,078,000","75,603,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-77,398,000","-76,550,000","-61,695,000","-60,078,000","-52,587,000","-69,416,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","24,369,000","20,390,000","22,883,000","21,130,000","12,013,000","16,275,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"35,094,000","20,390,000","22,883,000","21,130,000","12,013,000","16,275,000",Financials in USD,Fiscal year is January - December
Operating Income,"-112,492,000","-96,940,000","-84,578,000","-81,208,000","-64,600,000","-85,691,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-8,496,000","-6,599,000","-6,200,000","-4,348,000","-2,202,000","-2,298,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,396,000","5,467,000","2,629,000","16,000","278,000","2,567,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"693,000","-260,000","417,000","56,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-115,899,000","-98,332,000","-87,732,000","-85,484,000","-66,524,000","-85,422,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-49,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-36,968,000","-12,444,000","75,767,000","59,056,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-152,867,000","-110,776,000","-11,965,000","-26,477,000","-66,524,000","-85,422,000",Financials in USD,Fiscal year is January - December
Net Income,"-152,867,000","-110,776,000","-11,965,000","-26,477,000","-66,524,000","-85,422,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-152,867,000","-110,776,000","-11,965,000","-26,477,000","-66,524,000","-85,422,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"112,620,135","103,420,238","103,051,366","39,970,398","5,765,688","20,120,442",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"112,620,135","103,420,238","103,051,366","39,970,398","5,765,688","20,120,442",Financials in USD,Fiscal year is January - December
Shares Change (YoY),9.013%,0.358%,157.819%,593.246%,-71.344%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.357,-1.071,-0.116,-0.662,-11.538,-4.246,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.357,-1.071,-0.116,-0.662,-11.538,-4.246,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-92,258,000","-75,585,000","-72,177,000","-81,410,000","-55,886,000","-79,912,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.819,-0.731,-0.700,-2.037,-9.693,-3.972,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-5404.345%,-6429.770%,-4332.663%,-1385.017%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-764.537%,-2096.358%,-4461.704%,-1380.669%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-4611.949%,-6445.764%,-3748.223%,-1291.611%,Financials in USD,Fiscal year is January - December
EBITDA,"-105,277,000","-89,221,000","-76,368,000","-72,967,000","-56,249,000","-78,942,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,215,000","7,719,000","8,210,000","8,241,000","8,351,000","6,749,000",Financials in USD,Fiscal year is January - December
EBIT,"-112,492,000","-96,940,000","-84,578,000","-81,208,000","-64,600,000","-85,691,000",Financials in USD,Fiscal year is January - December
