Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"10,129,000","14,018,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"91,125,000","22,925,000","23,109,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-80,996,000","-8,907,000","-23,109,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","30,713,000","19,821,000","13,792,000","11,094,000","4,775,000","1,525,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"14,110,000","7,486,000","8,823,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"30,713,000","19,821,000","13,792,000","25,204,000","12,261,000","10,348,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-111,709,000","-28,728,000","-36,901,000","-25,204,000","-12,261,000","-10,348,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-10,000","-38,000","-106,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,135,000","2,724,000","5,000",-,-,"10,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"-5,538,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-99,574,000","-26,004,000","-36,896,000","-25,214,000","-17,837,000","-10,444,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"503,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-305,348,000","-106,806,000","-36,896,000","-24,711,000","-17,837,000","-10,444,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-305,348,000","-106,806,000","-36,896,000","-24,711,000","-17,837,000","-10,444,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"622,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-305,348,000","-106,806,000","-37,518,000","-24,711,000","-17,837,000","-10,444,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"53,627,694","19,843,651","12,126,573","11,538,668","3,389,592","1,093,959",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"53,627,694","19,843,651","12,126,573","11,538,668","3,389,592","1,093,959",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),340.372%,63.638%,5.095%,240.415%,209.846%,0.664%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.694,-5.382,-3.094,-2.142,-5.262,-9.547,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.694,-5.382,-3.094,-2.142,-5.262,-9.547,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-138,675,000","-8,399,000","-28,938,000","-18,305,000","-12,720,000","-9,833,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.586,-0.423,-2.386,-1.586,-3.753,-8.988,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-63.540%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1102.863%,-204.937%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-3014.592%,-761.920%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1369.089%,-59.916%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-110,441,000","-28,271,000","-36,479,000","-24,449,000","-11,506,000","-9,733,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-201.676%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,268,000","457,000","422,000","755,000","755,000","615,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-111,709,000","-28,728,000","-36,901,000","-25,204,000","-12,261,000","-10,348,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-204.936%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
