Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020",,
"Selling, General & Admin","1,521,298","1,763,029","1,628,134","2,660,469","2,356,065","2,065,331","1,988,259","1,801,647","2,752,432","1,322,579","1,366,229","1,491,065","1,151,542","859,269","787,955","2,781,192","670,135",Financials in USD,Fiscal year is January - December
Research & Development,"2,667,170","2,052,233","2,320,742","3,717,373","2,599,578","2,599,315","2,195,991","2,393,366","2,343,154","2,119,465","2,077,329","1,508,346","1,081,705","643,987","262,758","562,844","150,394",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,188,468","3,815,262","3,948,876","6,377,842","4,955,643","4,664,646","4,184,250","4,195,013","5,095,586","3,442,044","3,443,558","2,999,411","2,233,247","1,503,256","1,050,713","3,344,036","820,529",Financials in USD,Fiscal year is January - December
Operating Income,"-4,188,468","-3,815,262","-3,948,876","-6,377,842","-4,955,643","-4,664,646","-4,184,250","-4,195,013","-5,095,586","-3,442,044","-3,443,558","-2,999,411","-2,233,247","-1,503,256","-1,050,713","-3,344,036","-820,529",Financials in USD,Fiscal year is January - December
Interest Expense,-85,-,-,-,-1,"-1,715","-5,147","-5,147","-1,716",-104,-,-,"-451,306","-313,466","-62,767","-21,900","-7,829",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"106,082","88,383","44,118","30,722","3,260",172,336,621,348,429,472,511,708,652,141,82,94,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,346,484","-5,152,397","-4,162,697","90,458","76,641","142,565","72,185","53,801","193,141","135,836","29,241","43,666","-196,780","-1,644,320","91,820","-14,800","3,160",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,735,987","-8,879,276","-8,067,455","-6,256,662","-4,875,743","-4,523,624","-4,116,876","-4,145,738","-4,903,813","-3,305,883","-3,413,845","-2,955,234","-2,880,625","-3,460,390","-1,021,519","-3,380,654","-825,104",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,"-450,578",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"62,500","-2,322,943",-,-,"62,500",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,735,987","-8,879,276","-8,067,455","-6,256,662","-4,875,743","-4,523,624","-4,116,876","-4,596,316","-4,903,813","-3,305,883","-3,413,845","-2,892,734","-5,203,568","-3,460,390","-1,021,519","-3,318,154","-825,104",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,735,987","-8,879,276","-8,067,455","-6,256,662","-4,875,743","-4,523,624","-4,116,876","-4,596,316","-4,903,813","-3,305,883","-3,413,845","-2,892,734","-5,203,568","-3,460,390","-1,021,519","-3,318,154","-825,104",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,"7,130","29,676","37,525","33,634","92,177",Financials in USD,Fiscal year is January - December
Net Income,"-2,735,987","-8,879,276","-8,067,455","-6,256,662","-4,875,743","-4,523,624","-4,116,876","-4,596,316","-4,903,813","-3,305,883","-3,413,845","-2,892,734","-5,196,438","-3,430,714","-983,994","-3,284,520","-732,927",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,"-450,578",-,-,"450,578",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,735,987","-8,879,276","-8,067,455","-6,256,662","-4,875,743","-4,523,624","-4,116,876","-4,145,738","-4,903,813","-3,305,883","-3,864,423","-2,892,734","-5,196,438","-3,430,714","-983,994","-3,284,520","-732,927",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"23,894,980","22,203,174","17,601,407","15,482,496","13,675,802","12,885,134","10,977,054","10,966,334","10,165,622","8,196,524","7,752,042","7,107,835","5,119,121","4,371,777","4,329,088","4,434,109","4,433,644",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"23,894,980","22,203,174","17,601,407","15,482,496","13,675,802","12,885,134","10,977,054","10,966,334","10,165,622","8,196,524","7,752,042","7,107,835","5,119,121","4,371,777","4,329,088","4,434,109","4,433,644",Financials in USD,Fiscal year is January - December
