Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","5,234,288","7,154,986","8,401,462","3,397,169","442,145","230,556",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"9,431,609","12,263,530","10,232,366","2,753,966","284,459","226,309",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"14,665,897","19,418,516","18,633,828","6,151,135","726,604","456,865",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-14,665,897","-19,418,516","-18,633,828","-6,151,135","-726,604","-456,865",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-42,326","-55,899","-31,986","-95,070","-394,573","-156,965",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,662,"5,285","20,410",664,136,34,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"66,259","923,035","1,080,436","-594,776","-1,222,852","6,584",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-14,926,560","-18,546,095","-17,564,968","-6,840,317","-2,343,893","-607,212",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-3,082",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,926,560","-18,546,095","-17,564,968","-6,843,399","-2,343,893","-607,212",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-14,926,560","-18,546,095","-17,564,968","-6,843,399","-2,343,893","-607,212",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,926,560","-18,546,095","-17,564,968","-6,843,399","-2,343,893","-607,212",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,874,360","-18,110,144","-15,863,431","-5,521,705","-492,971","-508,508",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-14,553,694","-19,295,033","-18,535,222","-6,108,665",-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"112,203","123,483","98,606","42,470",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-14,665,897","-19,418,516","-18,633,828","-6,151,135","-726,604","-456,865",Upgrade,Financials in USD,Fiscal year is January - December
