Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Cost of Revenue,"69,779,000","69,779,000","67,095,000","71,397,000","64,689,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-69,779,000","-69,779,000","-67,095,000","-71,397,000","-64,689,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","48,270,000","49,660,000","50,668,000","54,842,000","49,306,000","39,714,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"55,314,000","45,091,000","45,626,000","47,378,000","42,923,000","106,324,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"103,584,000","94,751,000","96,294,000","102,220,000","92,229,000","146,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-173,363,000","-164,530,000","-163,389,000","-173,617,000","-156,918,000","-146,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-28,561,000","-30,844,000","-22,702,000","-19,669,000","-26,751,000","-22,657,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,437,000","16,342,000","4,062,000","1,740,000","654,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"1,553,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-189,487,000","-179,032,000","-182,029,000","-191,546,000","-183,015,000","-167,142,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"4,112,000","4,112,000",-,-,"-13,374,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-185,375,000","-174,920,000","-182,029,000","-191,546,000","-196,389,000","-167,142,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"-23,256,000","-19,774,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-185,375,000","-174,920,000","-182,029,000","-191,546,000","-173,133,000","-147,368,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"50,850,000","57,107,000","229,446,000","385,781,000","35,072,000","62,882,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-134,525,000","-117,813,000","47,417,000","194,235,000","-138,061,000","-84,486,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-134,525,000","-117,813,000","47,417,000","194,235,000","-138,061,000","-84,486,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-75.588%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"59,282,490","62,739,227","62,737,091","62,344,100","57,176,743","49,523,444",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"59,282,490","62,739,227","62,737,091","62,344,100","57,176,743","49,523,444",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-5.634%,0.003%,0.630%,9.038%,15.454%,1.937%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.269,-1.878,0.756,3.116,-2.415,-1.706,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.269,-1.878,0.756,3.116,-2.415,-1.710,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-75.741%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-154,905,000","74,300,000","-86,596,000","-109,999,000","-100,369,000","-60,407,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.613,1.184,-1.380,-1.764,-1.755,-1.220,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-172,509,000","-163,610,000","-162,437,000","-172,231,000","-155,302,000","-144,248,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"854,000","920,000","952,000","1,386,000","1,616,000","1,790,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-173,363,000","-164,530,000","-163,389,000","-173,617,000","-156,918,000","-146,038,000",Upgrade,Financials in USD,Fiscal year is January - December
