Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"12,058,000","12,058,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"12,058,000","12,058,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,714,000","3,714,000","3,293,123","3,404,884","4,047,500","4,047,500","5,195,814","5,354,717","35,915,000","35,915,000","5,601,370","37,240,000","23,982,500","23,982,500","20,317,000","20,317,000","3,543,000","3,543,000",Financials in USD,Fiscal year is January - December
Research & Development,"6,658,000","6,658,000","12,891,656","13,259,970","13,321,000","13,321,000","23,611,135","24,364,998","170,387,500","170,387,500","22,580,528","150,107,500","108,903,000","108,903,000","45,942,500","45,942,500","29,523,500","29,523,500",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-1,285,000","-1,285,000","-58,768","-77,959","-684,000","-684,000","-428,078","-431,478","-768,500","-768,500","-1,221,651","-3,998,000",-,-,"-2,137,000","-2,137,000","-1,357,500","-1,357,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"9,087,000","9,087,000","16,126,011","16,586,895","16,684,500","16,684,500","28,378,871","29,288,237","205,534,000","205,534,000","26,960,247","183,349,500","132,885,500","132,885,500","64,122,500","64,122,500","31,709,000","31,709,000",Financials in USD,Fiscal year is January - December
Operating Income,"2,971,000","2,971,000","-16,126,011","-16,586,895","-16,684,500","-16,684,500","-28,378,871","-29,288,237","-205,534,000","-205,534,000","-26,960,247","-183,349,500","-132,885,500","-132,885,500","-64,122,500","-64,122,500","-31,709,000","-31,709,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-5,000","-5,000","-6,423","-6,566","-5,000","-5,000","-6,295","-6,424","-29,000","-29,000","-1,805","-11,000","-11,000","-11,000","-1,437,000","-1,437,000","-9,500","-9,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,234,500","1,234,500","1,392,466","1,426,818","1,244,000","1,244,000","775,062","779,089","910,000","910,000","56,698","370,000","159,000","159,000","212,000","212,000","482,500","482,500",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"81,000","81,000","-58,430","-51,610","240,500","240,500","171,808","188,979","3,881,000","3,881,000","-197,233","-1,284,000","-370,500","-370,500","-3,627,000","-3,627,000","241,000","241,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,"2,157,729",-,"-337,134,500","-337,134,500","-283,034,500","-283,034,500","-6,608,500","-6,608,500",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"4,281,500","4,281,500","-14,798,398","-15,218,252","-15,205,000","-15,205,000","-27,438,296","-28,326,593","-200,772,000","-200,772,000","-24,944,859","-184,274,500","-470,242,500","-470,242,500","-352,009,000","-352,009,000","-37,603,500","-37,603,500",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-23,000","-23,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"21,154","20,558",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,"-2,349,000","-2,349,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-404,000","-404,000",-,-,-,-,-,-,-,-,"-150,411","2,951,500","-998,000","-998,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"3,854,500","3,854,500","-14,777,244","-15,197,695","-15,205,000","-15,205,000","-29,859,790","-30,745,874","-200,272,000","-200,272,000","-25,095,270","-181,323,000","-471,240,500","-471,240,500","-352,009,000","-352,009,000","-37,603,500","-37,603,500",Financials in USD,Fiscal year is January - December
Income Tax Expense,"30,000","30,000","28,340","29,232","32,000","32,000","95,573","97,203","368,500","368,500","132,433","848,500",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"3,824,500","3,824,500","-14,805,583","-15,226,927","-15,237,000","-15,237,000","-29,955,362","-30,843,077","-200,640,500","-200,640,500","-25,227,702","-182,171,500","-471,240,500","-471,240,500","-352,009,000","-352,009,000","-37,603,500","-37,603,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"3,824,500","3,824,500","-14,805,583","-15,226,927","-15,237,000","-15,237,000","-29,955,362","-30,843,077","-200,640,500","-200,640,500","-25,227,702","-182,171,500","-471,240,500","-471,240,500","-352,009,000","-352,009,000","-37,603,500","-37,603,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"55,143,590","55,143,590","55,082,649","55,082,649","55,051,351","55,051,351","55,023,053","55,023,053","55,064,947","55,064,947","57,418,609","57,418,458","46,935,542","46,935,542","17,089,772","17,089,772","17,090,228","17,090,228",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"55,554,249","55,554,249","55,082,649","55,082,649","55,051,351","55,051,351","55,023,053","55,023,053","55,064,947","55,064,947","57,418,609","57,418,458","46,935,542","46,935,542","17,089,772","17,089,772","17,090,228","17,090,228",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.914%,0.914%,0.108%,0.108%,-0.025%,-0.025%,-4.172%,-4.172%,17.320%,17.320%,235.982%,235.981%,174.634%,174.634%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.069,0.069,-0.269,-0.276,-0.277,-0.277,-0.544,-0.561,-3.644,-3.644,-0.439,-3.173,-10.040,-10.040,-20.598,-20.598,-2.200,-2.200,Financials in USD,Fiscal year is January - December
