Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+8 Quarters,,
"Selling, General & Admin","4,356,000","4,491,000","5,145,000","4,097,000","3,774,000","3,849,000","4,288,000","3,622,000","3,579,000","4,072,000","3,990,000","3,343,000","2,907,000","3,432,000","3,618,000","3,014,000","2,505,000","2,235,000","2,580,000","10,660,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"21,370,000","18,323,000","18,736,000","19,284,000","19,796,000","21,172,000","22,963,000","20,735,000","16,537,000","16,538,000","17,445,000","18,378,000","15,480,000","15,738,000","11,519,000","11,176,000","11,040,000","9,987,000","6,434,000","6,026,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"25,726,000","22,814,000","23,881,000","23,381,000","23,570,000","25,021,000","27,251,000","24,357,000","20,116,000","20,610,000","21,435,000","21,721,000","18,387,000","19,170,000","15,137,000","14,190,000","13,545,000","12,222,000","9,014,000","16,686,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-25,726,000","-22,814,000","-23,881,000","-23,381,000","-23,570,000","-25,021,000","-27,251,000","-24,357,000","-20,116,000","-20,610,000","-21,435,000","-21,721,000","-18,387,000","-19,170,000","-15,137,000","-14,190,000","-13,545,000","-12,222,000","-9,014,000","-16,686,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"776,000","998,000","1,187,000","541,000","766,000","968,000","800,000","698,000","230,000","106,000","7,000","15,000","10,000","13,000","28,000","10,000","20,000","4,000","24,000","15,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,500,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"582,000","436,000","-2,094,000","1,268,000","35,000","54,000","1,179,000","155,000","-1,338,000","-1,397,000","620,000","521,000","-915,000","1,223,000","-2,175,000","521,000","612,000","760,000","503,000","75,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-24,368,000","-21,380,000","-24,788,000","-21,572,000","-22,769,000","-23,999,000","-25,272,000","-23,504,000","-21,224,000","-21,901,000","-20,808,000","-21,185,000","-19,292,000","-17,934,000","-17,284,000","-11,159,000","-12,913,000","-11,458,000","-8,487,000","-16,596,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,"-32,970,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
