Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+12 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+12 Quarters,,
Revenue,"4,933,000","6,401,000","2,181,000","3,245,000","2,101,000","1,358,000","675,000","22,000",-,-,"85,000","74,000","200,000","112,000","506,000","356,000","265,000","523,000","2,902,000","3,916,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),134.793%,371.355%,223.111%,14650.000%,-,-,694.118%,-70.270%,-,-,-83.202%,-79.213%,-24.528%,-78.585%,-82.564%,-90.909%,-41.630%,515.294%,-46.329%,121.619%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"15,066,000","17,480,000","19,013,000","14,705,000","15,002,000","18,813,000","19,622,000","20,459,000","22,466,000","19,926,000","18,203,000","15,530,000","12,409,000","10,737,000","10,073,000","8,591,000","4,616,000","5,114,000","1,542,000","3,291,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-10,133,000","-11,079,000","-16,832,000","-11,460,000","-12,901,000","-17,455,000","-18,947,000","-20,437,000","-22,466,000","-19,926,000","-18,118,000","-15,456,000","-12,209,000","-10,625,000","-9,567,000","-8,235,000","-4,351,000","-4,591,000","1,360,000","625,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,342,000","5,177,000","7,238,000","5,440,000","4,921,000","5,598,000","6,625,000","6,447,000","6,960,000","9,321,000","6,658,000","5,754,000","5,042,000","5,150,000","5,944,000","5,126,000","4,190,000","3,896,000","1,990,000","1,331,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,342,000","5,177,000","7,238,000","5,440,000","4,921,000","5,598,000","6,625,000","6,447,000","6,960,000","9,321,000","6,658,000","5,754,000","5,042,000","5,150,000","5,944,000","5,126,000","4,190,000","3,896,000","1,990,000","1,331,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-14,475,000","-16,256,000","-24,070,000","-16,900,000","-17,822,000","-23,053,000","-25,572,000","-26,884,000","-29,426,000","-29,247,000","-24,776,000","-21,210,000","-17,251,000","-15,775,000","-15,511,000","-13,361,000","-8,541,000","-8,487,000","-630,000","-706,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-631,000","-610,000","-804,000","-874,000","-207,000","-188,000","-178,000","-317,000","-325,000","-323,000","-340,000","-343,000","-337,000","-334,000","-466,000","-473,000","-464,000","-446,000","-491,000","-540,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,022,000","416,000","503,000","576,000","723,000","711,000","642,000","597,000","458,000","157,000","35,000","23,000","26,000","23,000","9,000","6,000","5,000","23,000","41,000","52,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,"-2,000",-,-,-,-,"-1,000",-,"-11,000","-2,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"22,000","5,000","-1,000","-3,000","-55,000","-1,000","-3,000","-4,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-14,062,000","-16,445,000","-24,372,000","-17,201,000","-17,361,000","-22,531,000","-25,111,000","-26,608,000","-29,293,000","-29,415,000","-25,081,000","-21,530,000","-17,562,000","-16,086,000","-15,969,000","-13,828,000","-9,011,000","-8,912,000","-1,080,000","-1,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"952,000","-39,000","-64,000","-4,920,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-4,254,000",-,-,-,"-3,005,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"6,960,000",-,-,-,"3,789,000",-,-,-,-,-,-,-,"-100,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,062,000","-16,445,000","-24,372,000","-17,201,000","-17,361,000","-22,531,000","-25,111,000","-23,902,000","-29,293,000","-29,415,000","-25,081,000","-20,746,000","-17,562,000","-16,086,000","-15,969,000","-13,828,000","-8,059,000","-8,951,000","-1,144,000","-6,213,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"18,000","21,000","45,000","174,000","39,000","19,000","29,000","16,000","16,000","15,000","20,000","18,000","21,000","30,000","38,000","33,000","26,000","26,000","153,000","196,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-14,080,000","-16,466,000","-24,417,000","-17,375,000","-17,400,000","-22,550,000","-25,140,000","-23,918,000","-29,309,000","-29,430,000","-25,101,000","-20,764,000","-17,583,000","-16,116,000","-16,007,000","-13,861,000","-8,085,000","-8,977,000","-1,297,000","-6,409,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,080,000","-16,466,000","-24,417,000","-17,375,000","-17,400,000","-22,550,000","-25,140,000","-23,918,000","-29,309,000","-29,430,000","-25,101,000","-20,764,000","-17,583,000","-16,116,000","-16,007,000","-13,861,000","-8,085,000","-8,977,000","-1,297,000","-6,409,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"227,452,883","184,703,003","168,811,095","141,848,599","152,026,112","139,594,238","135,213,196","131,611,980","126,889,718","126,428,298","125,795,255","125,482,555","123,984,141","120,925,570","115,422,628","109,663,940","107,718,578","74,675,131","60,677,145","47,744,463",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"227,452,883","184,703,003","168,811,095","141,848,599","152,026,112","139,594,238","135,213,196","131,611,980","126,889,718","126,428,298","125,795,255","125,482,555","123,984,141","120,925,570","115,422,628","109,663,940","107,718,578","74,675,131","60,677,145","47,744,463",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),49.614%,32.314%,24.848%,7.778%,19.810%,10.414%,7.487%,4.885%,2.344%,4.551%,8.987%,14.425%,15.100%,61.936%,90.224%,129.689%,562.923%,411.563%,731.058%,568.579%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.062,-0.089,-0.145,-0.122,-0.114,-0.162,-0.186,-0.182,-0.231,-0.233,-0.200,-0.165,-0.142,-0.133,-0.139,-0.126,-0.075,-0.120,-0.021,-0.134,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.062,-0.090,-0.145,-0.122,-0.114,-0.162,-0.186,-0.182,-0.231,-0.233,-0.200,-0.165,-0.142,-0.133,-0.139,-0.126,-0.075,-0.120,-0.021,-0.134,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,210,000","-12,397,000","-21,322,000","-13,417,000","-15,283,000","-17,925,000","-25,699,000","-33,053,000","-16,643,000","-28,225,000","-26,459,000","-16,829,000","-15,591,000","-15,362,000","-17,207,000","-11,668,000","-9,563,000","-530,000","-3,212,000","-3,804,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.019,-0.067,-0.126,-0.095,-0.101,-0.128,-0.190,-0.251,-0.131,-0.223,-0.210,-0.134,-0.126,-0.127,-0.149,-0.106,-0.089,-0.007,-0.053,-0.080,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-205.412%,-173.082%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.864%,15.960%,Upgrade,Financials in USD,Fiscal year is January - December
