Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"3,992,712,000","3,834,204,000","3,659,374,000","3,094,238,000","2,363,567,000","2,161,761,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),5.227%,4.778%,18.264%,30.914%,9.335%,14.323%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"294,671,000","284,131,000","267,125,000","217,675,000","148,917,000","127,930,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"3,698,041,000","3,550,073,000","3,392,249,000","2,876,563,000","2,214,650,000","2,033,831,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,376,106,000","1,307,170,000","1,398,530,000","1,399,202,000","879,846,000","761,865,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"834,343,000","823,893,000","555,406,000","476,329,000","309,762,000","274,803,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,830,412,000","2,739,347,000","2,553,105,000","2,401,300,000","1,449,188,000","1,391,482,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"867,629,000","810,726,000","839,144,000","475,263,000","765,462,000","642,349,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-352,465,000","-354,538,000","-299,742,000","-280,566,000","-110,807,000","-72,261,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"95,300,000","65,100,000","11,500,000","1,800,000","11,100,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-2,105,000","-3,009,000","-9,921,000","-714,000","-2,962,000","-4,089,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"7,466,000","8,787,000","-19,014,000","-4,350,000","-3,271,000","-5,811,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"615,825,000","527,066,000","521,967,000","191,433,000","659,522,000","560,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-129,572,000","-151,446,000","-326,876,000","-304,985,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-61,700,000","-61,700,000","-133,648,000",-,"-136,139,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"396,553,000","294,920,000","-382,705,000","-113,552,000","272,133,000","450,213,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-66,606,000","-119,912,000","-158,645,000","216,116,000","33,517,000","-73,154,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"463,159,000","414,832,000","-224,060,000","-329,668,000","238,616,000","523,367,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"463,159,000","414,832,000","-224,060,000","-329,668,000","238,616,000","523,367,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"463,159,000","414,832,000","-224,060,000","-329,668,000","238,616,000","523,367,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,479.282%,-,-,-,-54.408%,17.059%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"62,348,250","63,291,000","62,539,000","59,694,000","55,712,000","56,749,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"68,049,750","72,066,000","62,539,000","59,694,000","56,517,000","57,550,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-2.294%,15.234%,4.766%,5.621%,-1.795%,-5.996%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),7.429,6.554,-3.583,-5.523,4.283,9.222,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),7.037,6.101,-3.583,-5.523,4.220,9.090,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,458.104%,-,-,-,-53.575%,24.521%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"1,129,782,000","1,068,045,000","1,242,931,000","750,866,000","884,644,000","736,266,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,16.602,14.820,19.874,12.579,15.653,12.794,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,92.620%,92.590%,92.700%,92.965%,93.699%,94.082%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,21.730%,21.145%,22.931%,15.360%,32.386%,29.714%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,11.600%,10.819%,-6.123%,-10.654%,10.096%,24.210%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,28.296%,27.856%,33.966%,24.267%,37.428%,34.059%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"1,518,480,000","1,449,422,000","1,468,615,000","1,027,746,000","1,043,715,000","1,012,505,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,38.031%,37.802%,40.133%,33.215%,44.158%,46.837%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"650,851,000","638,696,000","629,471,000","552,483,000","278,253,000","370,156,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"867,629,000","810,726,000","839,144,000","475,263,000","765,462,000","642,349,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,21.730%,21.145%,22.931%,15.360%,32.386%,29.714%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,12.316%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"3,992,712,000","3,834,204,000","3,659,374,000","3,094,238,000","2,363,567,000","2,161,761,000",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"92,200,000","108,800,000","161,500,000","99,600,000","65,400,000",Upgrade,Financials in USD,Fiscal year is January - December
