Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","14,052,000","16,442,000","16,269,000","20,784,000","19,183,000","16,566,000","16,766,000","14,621,000","15,514,000","13,792,000","14,434,000","12,679,000","13,433,000","12,477,000","11,821,000","9,207,000","7,099,000","6,009,000","5,955,000","5,818,000",Financials in USD,Fiscal year is January - December
Research & Development,"47,474,000","36,299,000","89,071,000","56,371,000","41,576,000","93,828,000","61,826,000","49,218,000","78,928,000","58,442,000","17,779,000","76,838,000","78,474,000","-38,192,000","157,537,000","67,996,000","42,212,000","67,920,000","26,958,000","36,978,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"61,526,000","52,741,000","105,340,000","77,155,000","60,759,000","110,394,000","78,592,000","63,839,000","94,442,000","72,234,000","32,213,000","89,517,000","91,907,000","-25,715,000","169,358,000","77,203,000","49,311,000","73,929,000","32,913,000","42,796,000",Financials in USD,Fiscal year is January - December
Operating Income,"-61,526,000","-52,741,000","-105,340,000","-77,155,000","-60,759,000","-110,394,000","-78,592,000","-63,839,000","-94,442,000","-72,234,000","-32,213,000","-89,517,000","-91,907,000","25,715,000","-169,358,000","-77,203,000","-49,311,000","-73,929,000","-32,913,000","-42,796,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,579,000","3,202,000","3,034,000","2,726,000","2,862,000","2,374,000","1,976,000","1,613,000","1,173,000","637,000","339,000","267,000","158,000","130,000","121,000","125,000","148,000","79,000","395,000","681,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-742,000","-4,121,000","215,000","-224,000","303,000","-84,000","-47,000","-268,000","-106,000","-198,000","-102,000","281,000","10,000","1,000","13,000","29,000","44,000","19,000","5,000","23,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-59,689,000","-53,660,000","-102,091,000","-74,653,000","-57,594,000","-108,104,000","-76,663,000","-62,494,000","-93,375,000","-71,795,000","-31,976,000","-88,969,000","-91,739,000","25,846,000","-169,224,000","-77,049,000","-49,119,000","-73,831,000","-32,513,000","-42,092,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"-8,700,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-7,014,000",-,-,-,-,-,"-4,500,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
