Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"1,471,000","1,558,000","1,363,000","285,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),3.373%,14.307%,378.246%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"49,670,000","48,029,000","38,797,000","29,694,000","12,522,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-48,199,000","-46,471,000","-37,434,000","-29,409,000","-12,522,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,245,000","19,057,000","17,556,000","14,206,000","9,687,000","4,487,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"12,032,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"19,245,000","19,057,000","17,556,000","14,206,000","9,687,000","16,519,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-67,444,000","-65,528,000","-54,990,000","-43,615,000","-22,209,000","-16,519,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,855,000","4,499,000","1,041,000","102,000","82,000","213,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-63,589,000","-61,029,000","-53,949,000","-43,513,000","-22,127,000","-16,306,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-24,719,000","-1,592,000","-1,316,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-97,562,000","-62,621,000","-55,265,000","-43,513,000","-22,127,000","-16,306,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"50,000","59,000","13,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-97,612,000","-62,680,000","-55,278,000","-43,513,000","-22,127,000","-16,306,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"115,000","313,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-97,612,000","-62,680,000","-55,278,000","-43,513,000","-22,242,000","-16,619,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"64,119,215","49,804,283","30,235,689","12,986,101","8,590,205","202,093",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"64,119,215","49,804,283","30,235,689","12,986,101","8,590,205","202,093",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.415%,64.720%,132.831%,51.173%,4150.620%,21.661%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.522,-1.259,-1.828,-3.351,-2.589,-82.234,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.523,-1.260,-1.830,-3.351,-2.589,-82.234,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-80,900,000","-64,351,000","-43,549,000","-29,205,000","-22,918,000","-13,965,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.262,-1.292,-1.440,-2.249,-2.668,-69.102,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-4584.908%,-4205.905%,-4034.483%,-15303.509%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-6635.758%,-4023.107%,-4055.613%,-15267.719%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-5499.660%,-4130.359%,-3195.084%,-10247.368%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-67,039,000","-65,250,000","-53,923,000","-42,614,000","-22,114,000","-16,492,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"405,000","278,000","1,067,000","1,001,000","95,000","27,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-67,444,000","-65,528,000","-54,990,000","-43,615,000","-22,209,000","-16,519,000",Upgrade,Financials in USD,Fiscal year is January - December
