Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Jan '22 Jan 1, 2022","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","13,848,000","14,515,000","20,806,000","19,014,000","47,720,000","9,713,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"38,587,000","51,913,000","96,630,000","80,496,000","150,932,000","106,414,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-2,681,000","-1,479,000","-1,079,000","-1,851,000","-6,989,000","-2,836,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"49,754,000","64,949,000","116,357,000","97,659,000","191,663,000","113,291,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-25,638,000","-64,949,000","-116,357,000","-97,659,000","-191,663,000","-113,291,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-23,000","-23,000","-21,000","-7,000","-2,893,000","-53,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,203,000","5,222,000","1,814,000","165,000","1,389,000","1,864,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"48,000","367,000","1,469,000","-516,000","-6,772,000","2,252,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-103,983,000","-579,286,000","-59,397,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-20,410,000","-59,383,000","-113,095,000","-202,000,000","-779,225,000","-168,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-4,698,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-21,264,000","-59,383,000","-117,793,000","-202,000,000","-779,225,000","-168,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"116,000","120,000","298,000","266,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-21,380,000","-59,503,000","-118,091,000","-202,266,000","-779,225,000","-168,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-21,380,000","-59,503,000","-118,091,000","-202,266,000","-779,225,000","-168,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,380,000","-59,503,000","-118,091,000","-202,266,000","-779,225,000","-168,625,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"55,113,120","55,067,000","55,044,000","52,177,000","17,090,000","16,875,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"55,113,120","55,067,000","55,044,000","52,177,000","17,090,000","16,875,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.138%,0.042%,5.495%,205.307%,1.274%,36.710%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.388,-1.081,-2.145,-3.877,-45.595,-9.993,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.389,-1.081,-2.145,-3.877,-45.595,-9.993,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-25,190,000","-48,224,000","-105,925,000","-88,158,000","-182,116,000","-91,328,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.457,-0.876,-1.924,-1.690,-10.656,-5.412,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-24,951,000","-64,233,000","-115,625,000","-97,166,000","-190,701,000","-112,908,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"687,000","716,000","732,000","493,000","962,000","383,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-25,638,000","-64,949,000","-116,357,000","-97,659,000","-191,663,000","-113,291,000",Upgrade,Financials in USD,Fiscal year is January - December
