Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","7,082,000","4,917,000","4,538,000","4,253,000","4,484,000","4,302,000","4,151,000","3,631,000","3,369,000","3,852,000","3,764,000","3,222,000","2,782,000","1,447,000","584,000","366,000","277,000","154,000","152,000",Financials in USD,Fiscal year is January - December
Research & Development,"10,328,000","21,248,000","20,080,000","17,813,000","16,884,000","16,034,000","13,488,000","12,221,000","10,783,000","8,363,000","7,255,000","5,046,000","3,418,000","4,327,000","2,196,000","3,297,000","1,966,000","1,471,000","1,206,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"17,410,000","26,165,000","24,618,000","22,066,000","21,368,000","20,336,000","17,639,000","15,852,000","14,152,000","12,215,000","11,019,000","8,268,000","6,200,000","5,774,000","2,780,000","3,663,000","2,243,000","1,625,000","1,358,000",Financials in USD,Fiscal year is January - December
Operating Income,"-17,410,000","-26,165,000","-24,618,000","-22,066,000","-21,368,000","-20,336,000","-17,639,000","-15,852,000","-14,152,000","-12,215,000","-11,019,000","-8,268,000","-6,200,000","-5,774,000","-2,780,000","-3,663,000","-2,243,000","-1,625,000","-1,358,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-37,000","-38,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,183,000","1,396,000","1,435,000","1,709,000","1,804,000","1,312,000","1,120,000","932,000","560,000","230,000","109,000","47,000","16,000","2,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,000","-6,000","-3,000",-,"1,000","-1,000","-1,000","-77,000","4,000","-6,000",-,"1,000",-,"-3,000","-1,000","-3,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,237,000","-24,775,000","-23,186,000","-20,357,000","-19,563,000","-19,025,000","-16,520,000","-14,997,000","-13,588,000","-11,991,000","-10,910,000","-8,220,000","-6,184,000","-5,775,000","-2,781,000","-3,666,000","-2,243,000","-1,662,000","-1,396,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-64,000","-540,000","-40,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-16,237,000","-24,775,000","-23,186,000","-20,357,000","-19,563,000","-19,025,000","-16,520,000","-14,997,000","-13,588,000","-11,991,000","-10,910,000","-8,220,000","-6,184,000","-5,775,000","-2,781,000","-3,666,000","-2,307,000","-2,202,000","-1,436,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"56,000",-,-,-,"25,000",-,-,-,"3,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-16,237,000","-24,775,000","-23,186,000","-20,413,000","-19,563,000","-19,025,000","-16,520,000","-15,022,000","-13,588,000","-11,991,000","-10,910,000","-8,223,000","-6,184,000","-5,775,000","-2,781,000","-3,666,000","-2,307,000","-2,202,000","-1,436,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,000","13,000",-,"153,000",-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,237,000","-24,775,000","-23,186,000","-20,413,000","-19,563,000","-19,025,000","-16,520,000","-15,022,000","-13,588,000","-11,991,000","-10,910,000","-8,223,000","-6,184,000","-5,784,000","-2,794,000","-3,666,000","-2,460,000","-2,202,000","-1,436,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"28,863,327","28,756,043","27,795,827","27,695,184","27,640,542","25,166,505","24,777,847","24,610,723","24,454,786","24,410,503","24,410,393","24,633,439","23,885,017","243,076","243,076","243,081","242,901","241,467","241,467",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"28,863,327","28,756,043","27,795,827","27,695,184","27,640,542","25,166,505","24,777,847","24,610,723","24,454,786","24,410,503","24,410,393","24,633,439","23,885,017","243,076","243,076","243,081","242,901","241,467","241,467",Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.424%,14.263%,12.180%,12.533%,13.027%,3.097%,1.505%,-0.092%,2.385%,9942.334%,9942.288%,10033.840%,9733.231%,0.666%,0.666%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.563,-0.862,-0.834,-0.737,-0.708,-0.756,-0.667,-0.610,-0.556,-0.491,-0.447,-0.334,-0.259,-23.795,-11.494,-15.081,-10.128,-9.119,-5.947,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.563,-0.862,-0.834,-0.737,-0.708,-0.756,-0.667,-0.610,-0.556,-0.491,-0.447,-0.334,-0.259,-23.795,-11.494,-15.081,-10.128,-9.119,-5.947,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,043,000","-20,433,000","-23,673,000","-14,864,000","-15,643,000","-14,973,000","-11,440,000","-14,869,000","-9,753,000","-9,006,000","-5,689,000","-13,178,000","-6,582,000","-4,005,000","-3,815,000","-2,884,000","-2,433,000","-1,359,000","-1,183,000",Financials in USD,Fiscal year is January - December
