Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"8,520,000","25,706,000","13,008,000","113,721,000","16,924,000","10,412,000","12,674,000","8,632,000","25,147,000","28,096,000","5,897,000","10,654,000","8,517,000","28,049,000","14,660,000","8,278,000","17,823,000","9,469,000","7,152,000","11,305,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-49.657%,146.888%,2.635%,1217.435%,-32.700%,-62.941%,114.923%,-18.979%,195.257%,0.168%,-59.775%,28.703%,-52.213%,196.219%,104.978%,-26.776%,45.174%,-10.033%,-17.117%,-40.768%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"62,108,000","62,020,000","56,878,000","53,765,000","45,669,000","41,592,000","39,399,000","43,135,000","31,714,000","32,332,000","29,990,000","29,927,000","26,602,000","25,309,000","22,562,000","22,738,000","19,361,000","17,243,000","17,619,000","17,392,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-53,588,000","-36,314,000","-43,870,000","59,956,000","-28,745,000","-31,180,000","-26,725,000","-34,503,000","-6,567,000","-4,236,000","-24,093,000","-19,273,000","-18,085,000","2,740,000","-7,902,000","-14,460,000","-1,538,000","-7,774,000","-10,467,000","-6,087,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","14,331,000","12,371,000","12,721,000","16,804,000","15,269,000","14,999,000","15,512,000","14,719,000","14,643,000","15,143,000","15,039,000","15,763,000","16,589,000","12,545,000","11,107,000","10,383,000","9,079,000","8,643,000","8,713,000","8,695,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"14,331,000","12,371,000","12,721,000","16,804,000","15,269,000","14,999,000","15,512,000","14,719,000","14,643,000","15,143,000","15,039,000","15,763,000","16,589,000","12,545,000","11,107,000","7,359,000","10,179,000","10,443,000","8,906,000","8,848,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-67,919,000","-48,685,000","-56,591,000","43,152,000","-44,014,000","-46,179,000","-42,237,000","-49,222,000","-21,210,000","-19,379,000","-39,132,000","-35,036,000","-34,674,000","-9,805,000","-19,009,000","-21,819,000","-11,717,000","-18,217,000","-19,373,000","-14,935,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-9,443,000","-9,044,000","-9,397,000","-6,392,000","-8,675,000","-3,357,000","-2,986,000","-700,000","-700,000","-600,000","-700,000","-900,000","-800,000","-700,000","-700,000","-800,000","-800,000","-700,000","-900,000","-3,246,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,875,000","4,911,000","4,096,000","4,558,000","4,550,000","2,842,000","2,560,000","2,128,000","1,014,000","197,000","116,000","96,000","109,000","175,000","197,000","188,000","295,000","384,000","641,000","810,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-2,340,000",-,-,-,"-2,707,000","-2,088,000","6,000","43,000","288,000","-20,000","-147,000","-158,000","27,000","-417,000","-455,000","37,000","2,582,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-72,487,000","-52,818,000","-61,892,000","38,978,000","-48,139,000","-46,694,000","-42,663,000","-50,501,000","-22,984,000","-19,776,000","-39,673,000","-35,552,000","-35,385,000","-10,477,000","-19,670,000","-22,404,000","-12,639,000","-18,988,000","-19,595,000","-14,789,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"23,700,000","4,808,000","3,679,000","7,894,000","694,000","8,321,000","-6,992,000","15,907,000","3,496,000","-3,736,000","563,000","-2,573,000","4,483,000","4,325,000","-10,689,000","-37,140,000","29,778,000","48,860,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-48,787,000","-48,010,000","-58,213,000","46,872,000","-47,445,000","-38,373,000","-49,655,000","-34,594,000","-19,488,000","-23,512,000","-39,110,000","-38,125,000","-30,902,000","-6,152,000","-30,359,000","-59,544,000","17,139,000","29,872,000","-19,595,000","-14,789,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"8,000",-,"15,807,000","1,839,000","151,000","395,000",-,-,"2,500,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-48,787,000","-48,018,000","-58,213,000","31,065,000","-49,284,000","-38,524,000","-50,050,000","-34,594,000","-19,488,000","-26,012,000","-39,110,000","-38,125,000","-30,902,000","-6,152,000","-30,359,000","-59,544,000","17,139,000","29,872,000","-19,595,000","-14,789,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-48,787,000","-48,018,000","-58,213,000","31,065,000","-49,284,000","-38,524,000","-50,050,000","-34,594,000","-19,488,000","-26,012,000","-39,110,000","-38,125,000","-30,902,000","-6,152,000","-30,359,000","-59,544,000","17,139,000","29,872,000","-19,595,000","-14,789,000",Upgrade,Financials in USD,Fiscal year is January - December
