Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+4 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+4 Quarters,,
Revenue,-,-,-,"18,626","37,255","36,850","36,445","37,255","62,753","62,071","95,320","129,799","483,626",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-,-,-,-50.004%,-40.632%,-40.633%,-61.766%,-71.298%,-87.024%,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,"-4,429,007","1,727,033","2,167,288","644,042","-9,850,790","2,409,471","3,816,644","3,745,940","5,123,929","5,648,952","6,405,273","4,265,866","5,035,718","3,887,261","3,840,399","3,866,007","9,877,555",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"4,429,007","-1,727,033","-2,167,288","-625,416","9,888,045","-2,372,621","-3,780,199","-3,708,685","-5,061,176","-5,586,881","-6,309,953","-4,136,067","-4,552,092","-3,887,261","-3,840,399","-3,866,007","-9,877,555",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","1,974,485","1,801,632","1,701,273","653,455","1,794,765","1,542,689","1,884,569","1,903,709","2,315,789","2,280,345","1,900,263","2,078,885","2,394,792","2,352,268","2,196,632","1,997,986","2,780,294","2,484,148","1,208,374","1,060,906",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"5,627,896",-,-,-,"11,693,425",-,-,-,-,-,-,-,-,-,-,-,"-5,166,485","2,455,822","1,302,515","1,408,148",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"7,602,381","1,801,632","1,701,273","653,455","13,488,190","1,542,689","1,884,569","1,903,709","2,315,789","2,280,345","1,900,263","2,078,885","2,394,792","2,352,268","2,196,632","1,997,986","-2,386,191","4,939,970","2,510,889","2,469,054",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-3,173,374","-3,528,665","-3,868,561","-1,278,871","-3,600,145","-3,915,310","-5,664,768","-5,612,394","-7,376,965","-7,867,226","-8,210,216","-6,214,952","-6,946,884","-6,239,529","-6,037,031","-5,863,993","-7,491,364","-4,939,970","-2,510,889","-2,469,054",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,798",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,"10,333",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Currency Exchange Gain (Loss),"44,781","23,110","-93,960","110,362","-76,594","-31,432","-2,303","70,252","-58,376","-9,794","1,717","13,971","-5,204","-1,513","-2,076","-13,247","-39,233","-8,787","14,142",-,Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),-,-,"4,327,946",-,-,-,-,-,-,-,-,-,"-125,501","125,501",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-3,128,593","-3,505,555","365,425","-1,168,509","-3,676,739","-3,946,742","-5,667,071","-5,542,142","-7,435,341","-7,877,020","-8,208,499","-6,200,981","-7,077,574","-6,115,541","-6,039,107","-5,877,240","-7,520,264","-4,952,555","-2,496,747","-2,469,054",Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,"125,501",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-3,128,593","-3,505,555","365,425","-1,168,509","-3,676,739","-3,946,742","-5,667,071","-5,542,142","-7,435,341","-7,877,020","-8,208,499","-6,200,981","-6,952,073","-6,115,541","-6,039,107","-5,877,240","-7,520,264","-11,779,050","-2,496,747","-2,469,054",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-3,128,593","-3,505,555","365,425","-1,168,509","-3,676,739","-3,946,742","-5,667,071","-5,542,142","-7,435,341","-7,877,020","-8,208,499","-6,200,981","-6,952,073","-6,115,541","-6,039,107","-5,877,240","-7,520,264","-11,779,050","-2,496,747","-2,469,054",Upgrade,Financials in USD,Fiscal year is October - September
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"41,338,934",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-3,128,593","-3,505,555","365,425","-1,168,509","-3,676,739","-3,946,742","-5,667,071","-5,542,142","-7,435,341","-7,877,020","-8,208,499","-6,200,981","-6,952,073","-6,115,541","-6,039,107","-5,877,240","-48,859,198","-11,779,050","-2,496,747","-2,469,054",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"940,285","629,689","577,208","474,719","219,523","166,984","93,823","39,309","25,187","24,605","24,470","24,470","16,127",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"940,285","629,689","610,731","474,719","219,523","166,984","93,823","39,309","25,187","24,605","24,470","24,470","16,127",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),328.331%,277.095%,550.940%,1107.660%,771.573%,578.659%,283.421%,60.642%,56.179%,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-3.327,-5.567,0.633,-2.461,-16.749,-23.635,-60.402,-140.989,-295.206,-320.139,-335.452,-253.412,-431.083,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-3.327,-5.567,0.560,-2.461,-16.749,-23.635,-60.402,-140.989,-295.206,-320.139,-335.452,-253.412,-431.083,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-3,170,170","-3,069,608","723,792","-3,091,737","-4,559,113","-6,172,025","-4,695,534","-5,915,170","-6,247,934","-7,824,682","-5,608,563","-8,092,349","-5,941,750","-5,844,833","-5,787,600","-4,981,685","-5,542,763","-6,531,832","-1,786,638","-1,829,729",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-3.371,-4.875,1.185,-6.513,-20.768,-36.962,-50.047,-150.479,-248.062,-318.012,-229.202,-330.705,-368.435,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,-,-,-,-,26541.525%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-,-,-,-6866.053%,-9663.522%,-10624.993%,-15543.334%,-15064.807%,-11755.558%,-12674.560%,-8613.319%,-4788.136%,-1436.417%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
