Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","3,560,939","7,822,181","9,082,463","7,186,385","2,904,104","2,559,127",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,808,353","5,117,608","9,262,670","4,839,115","1,291,615","622,741",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,369,292","12,939,789","18,345,133","12,025,500","4,195,719","3,181,868",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-9,369,292","-12,939,789","-18,345,133","-12,025,500","-4,195,719","-3,181,868",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-103,750",-,-,"-92,822","-147,934","-124,644",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"234,196","500,281","194,413",443,"4,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,238,846","-12,439,508","-18,150,720","-12,117,879","-4,339,653","-3,306,512",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-4,000,000","-4,000,000","-2,000,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-1,500,000","61,816",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-13,238,846","-15,189,508","-21,650,720","-12,056,063","-4,339,653","-3,306,512",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-13,238,846","-15,189,508","-21,650,720","-12,056,063","-4,339,653","-3,306,512",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-13,238,846","-15,189,508","-21,650,720","-12,056,063","-4,339,653","-3,306,512",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,238,686","1,171,233","1,171,020","667,727","310,750","292,901",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,238,686","1,171,233","1,171,020","667,727","310,750","292,901",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),91.165%,0.018%,75.374%,114.876%,6.094%,3.181%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-5.914,-12.969,-18.489,-18.055,-13.965,-11.289,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-5.914,-12.969,-18.489,-18.055,-13.965,-11.289,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,853,694","-9,853,772","-17,846,708","-14,542,592","-1,384,860","-1,131,834",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-7.528,-8.413,-15.240,-21.779,-4.457,-3.864,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-9,369,292","-12,939,789","-18,345,133","-12,025,500","-4,195,719","-3,181,868",Upgrade,Financials in USD,Fiscal year is January - December
