Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",2019 - 2018,,
Revenue,"19,482,167","19,482,167","24,155,362","35,403,224","44,480,763","41,883,734",Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-19.346%,-19.346%,-31.771%,-20.408%,6.201%,77.087%,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,"7,486,626","7,486,626","9,177,703","13,066,639","14,495,063","15,514,727",Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"11,995,541","11,995,541","14,977,659","22,336,585","29,985,700","26,369,007",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","13,265,425","13,265,425","18,934,423","33,288,568","43,372,136","38,831,483",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"39,021","39,021","173,038","633,392","1,422,791","424,450",Upgrade,Financials in USD,Fiscal year is October - September
Other Operating Expenses,"856,669","856,669","3,338,008","3,891,844","3,789,354","3,974,175",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"15,310,951","15,310,951","24,246,208","39,647,130","49,601,690","43,950,862",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-3,315,410","-3,315,410","-9,268,549","-17,310,545","-19,615,990","-17,581,855",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-29,507","-29,507",-,-,"-28,930",-,Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,-,-,"63,702","16,246",-,"39,877",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),-,-,-,"239,250","29,479",-,Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-3,344,917","-3,344,917","-9,204,847","-17,055,049","-19,615,441","-17,541,978",Upgrade,Financials in USD,Fiscal year is October - September
Merger & Restructuring Charges,-,-,-,"-602,092",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Impairment of Goodwill,-,-,-,"-56,670,970",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,-,-,"-700,000","-33,350","546,878","-932,066",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,-,-,-,"88,769",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,"-13,219,000","-4,285,000",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,"-355,209","-355,209","185,638","8,473,999","-5,221,326","29,780,000",Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-3,700,126","-3,700,126","-22,938,209","-70,083,693","-24,289,889","11,305,956",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,-,-,-,-,"-895,000","-1,345,300",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"-3,700,126","-3,700,126","-22,938,209","-70,083,693","-23,394,889","12,651,256",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Discontinued Operations,-,-,-,-,-,"-48,983",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-3,700,126","-3,700,126","-22,938,209","-70,083,693","-23,394,889","12,602,273",Upgrade,Financials in USD,Fiscal year is October - September
Preferred Dividends & Other Adjustments,"4,004,001","4,004,001","4,002,000","4,002,005","2,554,609","366,850",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-7,704,127","-7,704,127","-26,940,209","-74,085,698","-25,949,498","12,235,423",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"4,312,546","4,312,546","2,022,320","1,327,784","1,220,847","980,897",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"4,312,546","4,312,546","2,022,320","1,327,784","1,220,847","1,003,815",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),113.247%,113.247%,52.308%,8.759%,21.621%,152.536%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-1.786,-1.786,-13.321,-55.796,-21.255,12.474,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-1.790,-1.790,-13.321,-55.800,-21.255,12.474,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-542,807","-542,807","-4,599,600","-15,655,830","-14,435,446","-11,984,430",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.126,-0.126,-2.274,-11.791,-11.824,-11.939,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,61.572%,61.572%,62.006%,63.092%,67.413%,62.958%,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-17.018%,-17.018%,-38.371%,-48.895%,-44.100%,-41.978%,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-39.545%,-39.545%,-111.529%,-209.263%,-58.339%,29.213%,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-2.786%,-2.786%,-19.042%,-44.221%,-32.453%,-28.614%,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,"-2,165,574","-2,165,574","-7,467,810","-15,477,203","-18,598,582","-16,861,100",Upgrade,Financials in USD,Fiscal year is October - September
EBITDA Margin,-11.116%,-11.116%,-30.916%,-43.717%,-41.813%,-40.257%,Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"1,149,836","1,149,836","1,800,739","1,833,342","1,017,408","720,755",Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-3,315,410","-3,315,410","-9,268,549","-17,310,545","-19,615,990","-17,581,855",Upgrade,Financials in USD,Fiscal year is October - September
