Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"16,352,000","7,324,000","1,912,000","682,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,356,000","1,376,000","426,000","167,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"13,996,000","5,948,000","1,486,000","515,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","76,099,000","75,872,000","62,010,000","56,996,000","23,396,000","18,937,000","18,598,000","30,696,000","23,509,000","26,548,000","20,246,000","19,488,000","16,529,000","13,722,000","13,004,000","10,785,000","7,060,000","5,162,000","4,510,000","2,989,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"8,693,000","7,376,000","9,430,000","13,394,000","12,263,000","12,764,000","11,479,000","15,946,000","19,020,000","18,815,000","17,660,000","13,552,000","16,608,000","21,597,000","20,580,000","41,654,000","25,770,000","14,859,000","15,865,000","12,704,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"84,792,000","83,248,000","71,440,000","70,390,000","35,659,000","31,701,000","30,077,000","46,642,000","42,529,000","45,363,000","37,906,000","33,040,000","33,137,000","35,319,000","33,584,000","52,439,000","32,830,000","20,021,000","20,375,000","15,693,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-70,796,000","-77,300,000","-69,954,000","-69,875,000","-35,659,000","-31,701,000","-30,077,000","-46,642,000","-42,529,000","-45,363,000","-37,906,000","-33,040,000","-33,137,000","-35,319,000","-33,584,000","-52,439,000","-32,830,000","-20,021,000","-20,375,000","-15,693,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-18,484,000","-17,764,000","-17,168,000","-13,029,000","-10,107,000","-9,615,000","-9,217,000","-9,602,000","-9,277,000","-5,667,000","-2,759,000","-2,775,000","-1,485,000","-1,256,000","-1,272,000","-1,295,000","-1,286,000","-1,262,000","-738,000","-1,039,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,711,000","3,624,000","4,313,000","3,348,000","2,720,000","348,000","1,460,000","1,287,000","726,000","112,000","7,000","6,000","8,000","13,000","14,000","16,000","15,000","182,000","878,000","559,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-8,000","-6,000","-43,000","-14,000","-197,000","3,000","20,000","-90,000","-11,000","-2,000","-7,000","-17,000","-48,000","10,000","-1,000","-3,000","-4,000",-,"94,000","-37,215,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-85,577,000","-91,446,000","-82,852,000","-79,570,000","-43,243,000","-40,965,000","-37,814,000","-55,047,000","-51,091,000","-50,920,000","-40,665,000","-35,826,000","-34,662,000","-36,552,000","-34,843,000","-53,721,000","-34,105,000","-21,101,000","-20,141,000","-53,388,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,"-2,000,000",-,-,-,-,-,-,"-44,618,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-85,577,000","-91,446,000","-82,852,000","-79,570,000","-43,243,000","-40,965,000","-37,814,000","-55,047,000","-51,091,000","-50,920,000","-40,665,000","-35,826,000","-36,662,000","-36,552,000","-34,843,000","-53,721,000","-34,105,000","-21,101,000","-20,141,000","-98,006,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-85,577,000","-91,446,000","-82,852,000","-79,570,000","-43,243,000","-40,965,000","-37,814,000","-55,047,000","-51,091,000","-50,920,000","-40,665,000","-35,826,000","-36,662,000","-36,552,000","-34,843,000","-53,721,000","-34,105,000","-21,101,000","-20,141,000","-98,006,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-85,577,000","-91,446,000","-82,852,000","-79,570,000","-43,243,000","-40,965,000","-37,814,000","-55,047,000","-51,091,000","-50,920,000","-40,665,000","-35,826,000","-36,662,000","-36,552,000","-34,843,000","-53,721,000","-34,105,000","-21,101,000","-20,141,000","-98,006,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"64,627,847","58,558,145","58,371,480","57,294,412","56,782,379","48,500,516","42,354,520","41,310,887","38,820,266","38,272,044","38,036,960","37,758,061","37,299,351","36,636,164","36,298,968","34,060,291","33,366,237","32,997,099","32,470,402","24,853,251",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"64,627,847","58,558,145","58,371,480","57,294,412","56,782,379","48,500,516","42,354,520","41,310,887","38,820,266","38,272,044","38,036,960","37,758,061","37,299,351","36,636,164","36,298,968","34,060,291","33,366,237","32,997,099","32,470,402","24,853,251",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),13.817%,20.737%,37.816%,38.691%,46.270%,26.726%,11.351%,9.409%,4.078%,4.465%,4.788%,10.857%,11.788%,11.028%,11.791%,37.046%,355.444%,392.885%,393.059%,267.211%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.324,-1.562,-1.419,-1.389,-0.762,-0.845,-0.893,-1.333,-1.316,-1.330,-1.069,-0.949,-0.983,-0.998,-0.960,-1.577,-1.022,-0.639,-0.620,-3.943,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.324,-1.562,-1.419,-1.389,-0.762,-0.845,-0.893,-1.333,-1.316,-1.330,-1.069,-0.949,-0.983,-0.998,-0.960,-1.577,-1.022,-0.639,-0.620,-3.943,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-63,617,000","-70,767,000","-69,060,000","-44,272,000","-32,853,000","-22,206,000","-39,883,000","-41,453,000","-35,150,000","-26,144,000","-44,824,000","-41,362,000","-29,080,000","-28,409,000","-49,934,000","-28,324,000","-20,910,000","-9,401,000","-12,093,000","-23,490,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.984,-1.208,-1.183,-0.773,-0.579,-0.458,-0.942,-1.003,-0.905,-0.683,-1.178,-1.095,-0.780,-0.775,-1.376,-0.832,-0.627,-0.285,-0.372,-0.945,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,85.592%,81.212%,77.720%,75.513%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-432.950%,-1055.434%,-3658.682%,-10245.601%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-523.343%,-1248.580%,-4333.264%,-11667.155%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-389.047%,-966.234%,-3611.925%,-6491.496%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-70,605,000","-77,103,000","-69,740,000","-69,690,000","-35,538,000","-31,578,000","-29,931,000","-46,474,000","-42,354,000","-45,214,000","-37,778,000","-32,905,000","-33,007,000","-35,188,000","-33,459,000","-52,333,000","-32,742,000","-19,944,000","-20,323,000","-15,687,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"191,000","197,000","214,000","185,000","121,000","123,000","146,000","168,000","175,000","149,000","128,000","135,000","130,000","131,000","125,000","106,000","88,000","77,000","52,000","6,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-70,796,000","-77,300,000","-69,954,000","-69,875,000","-35,659,000","-31,701,000","-30,077,000","-46,642,000","-42,529,000","-45,363,000","-37,906,000","-33,040,000","-33,137,000","-35,319,000","-33,584,000","-52,439,000","-32,830,000","-20,021,000","-20,375,000","-15,693,000",Upgrade,Financials in USD,Fiscal year is January - December
