Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","4,941,000","5,542,000","5,035,000","5,520,000","6,042,000","6,279,000","6,407,000","6,137,000","5,709,000","6,423,000","6,783,000","6,305,000","5,935,000","5,386,000","4,174,000","4,320,000","2,709,000","2,281,000","1,699,000","1,656,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"16,947,000","14,628,000","12,511,000","13,382,000","13,586,000","13,843,000","15,073,000","15,025,000","13,666,000","11,462,000","11,836,000","12,167,000","9,162,000","7,664,000","7,500,000","6,181,000","5,992,000","5,804,000","5,955,000","5,699,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"21,888,000","20,170,000","17,546,000","18,902,000","19,628,000","20,122,000","21,480,000","21,162,000","19,375,000","17,885,000","18,619,000","18,472,000","15,097,000","13,050,000","11,674,000","10,501,000","8,701,000","8,085,000","7,654,000","7,355,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-21,888,000","-20,170,000","-17,546,000","-18,902,000","-19,628,000","-20,122,000","-21,480,000","-21,162,000","-19,375,000","-17,885,000","-18,619,000","-18,472,000","-15,097,000","-13,050,000","-11,674,000","-10,501,000","-8,701,000","-8,085,000","-7,654,000","-7,355,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,615,000","2,801,000","2,952,000","3,166,000","2,984,000","2,696,000","2,325,000","1,797,000","1,124,000","604,000","229,000","106,000","102,000","113,000","128,000","48,000","40,000","157,000","406,000","316,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"121,000","-17,000","-1,000","-21,000","4,000","-6,000","27,000","20,000","13,000","-31,000","-41,000","7,000","3,000","63,000","-52,000",-,"-100,000","-39,000","-5,000","-8,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,152,000","-17,386,000","-14,595,000","-15,757,000","-16,640,000","-17,432,000","-19,128,000","-19,345,000","-18,238,000","-17,312,000","-18,431,000","-18,359,000","-14,992,000","-12,874,000","-11,598,000","-10,453,000","-8,761,000","-7,967,000","-7,253,000","-7,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-675,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-19,152,000","-17,386,000","-15,270,000","-15,757,000","-16,640,000","-17,432,000","-19,128,000","-19,345,000","-18,238,000","-17,312,000","-18,431,000","-18,359,000","-14,992,000","-12,874,000","-11,598,000","-10,453,000","-8,761,000","-7,967,000","-7,253,000","-7,047,000",Upgrade,Financials in USD,Fiscal year is January - December
