Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","2,411,000","4,246,000","4,250,000","1,872,000","2,494,000","4,065,000","5,785,000","5,432,000","5,012,000","6,642,000","10,222,000","46,562,000","13,823,000","12,458,000","2,101,000","6,540,908","3,753,704","525,736","615,653","728,469",Financials in USD,Fiscal year is January - December
Research & Development,"611,000","2,804,000","1,748,000","2,534,000","3,314,000","3,873,000","3,650,000","4,456,000","4,129,000","2,958,000","5,483,000","6,413,000","6,276,000","4,659,000","2,909,000","4,298,584","4,331,709","1,390,376","604,334","808,253",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-771,000","-5,202,855","-2,936,214","-2,020,931",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,022,000","7,050,000","5,998,000","4,406,000","5,808,000","7,938,000","9,435,000","9,888,000","9,141,000","9,600,000","15,705,000","52,975,000","20,099,000","17,117,000","4,239,000","5,636,637","5,149,199","-104,819","1,219,987","1,536,722",Financials in USD,Fiscal year is January - December
Operating Income,"-3,022,000","-7,050,000","-5,998,000","-4,406,000","-5,808,000","-7,938,000","-9,435,000","-9,888,000","-9,141,000","-9,600,000","-15,705,000","-52,975,000","-20,099,000","-17,117,000","-4,239,000","-5,636,637","-5,149,199","104,819","-1,219,987","-1,536,722",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-230,000","-80,000","-40,000",-,-,-,-,-,"-3,000","-2,000","-5,000","-6,000","-5,000","-4,683","-12,513","-2,532","-36,268","-81,387",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,000","7,000","27,000","74,000","119,000","145,000","156,000","133,000","95,000","23,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"38,000","-831,000","-9,000","-7,000","26,000","-11,000","12,000","19,000","-37,000","116,000","157,000","869,000","-16,537,000","17,360,000",-,160,-,-,"-27,160","-46,642",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,978,000","-7,874,000","-6,210,000","-4,419,000","-5,703,000","-7,804,000","-9,267,000","-9,736,000","-9,083,000","-9,461,000","-15,551,000","-52,108,000","-36,641,000","237,000","-4,244,000","-5,641,160","-5,161,712","102,287","-1,283,415","-1,664,751",Financials in USD,Fiscal year is January - December
