Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019,,
"Selling, General & Admin","3,782,228","3,782,228","4,803,778","5,105,616","943,039","426,141",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"954,498","954,498","1,469,893","2,512,154","438,323","386,230",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"4,736,726","4,736,726","6,273,671","7,617,770","1,381,362","812,371",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-4,736,726","-4,736,726","-6,273,671","-7,617,770","-1,381,362","-812,371",Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-4,736,726","-4,736,726","-6,273,671","-7,617,770","-1,381,362","-812,371",Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,"373,505","373,505","211,342","23,215","34,617",-,Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-4,363,221","-4,363,221","-6,062,329","-7,594,555","-1,346,745","-812,371",Upgrade,Financials in USD,Fiscal year is July - June
Earnings From Continuing Operations,"-4,363,221","-4,363,221","-6,062,329","-7,594,555","-1,346,745","-812,371",Upgrade,Financials in USD,Fiscal year is July - June
Minority Interest in Earnings,"61,384","61,384","191,199","148,612",-,-,Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-4,301,837","-4,301,837","-5,871,130","-7,445,943","-1,346,745","-812,371",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-4,301,837","-4,301,837","-5,871,130","-7,445,943","-1,346,745","-812,371",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"13,012,866","13,012,866","13,012,866","12,805,707","10,000,000","10,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"13,012,866","13,012,866","13,012,866","12,805,707","10,000,000","10,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),-,-,1.618%,28.057%,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.331,-0.331,-0.451,-0.581,-0.135,-0.081,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.331,-0.331,-0.451,-0.581,-0.135,-0.081,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-4,007,063","-4,007,063","-4,990,341","-6,047,931","-767,311","-844,410",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.308,-0.308,-0.383,-0.472,-0.077,-0.084,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-4,430,946","-4,430,946","-5,980,536","-7,467,623","-1,354,906","-802,855",Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"305,780","305,780","293,135","150,147","26,456","9,516",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-4,736,726","-4,736,726","-6,273,671","-7,617,770","-1,381,362","-812,371",Upgrade,Financials in USD,Fiscal year is July - June
Advertising Expenses,"1,000,000","1,000,000","30,000","30,000",-,-,Upgrade,Financials in USD,Fiscal year is July - June
