Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+1 Quarters,,
"Selling, General & Admin","874,000","840,000","936,000","751,000","990,000","3,175,000","2,162,000","2,747,000","2,894,000","3,340,000","2,575,000","2,641,000","1,404,000","1,446,000","542,000","688,000","194,000","254,000","152,000","-3,998,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,836,000","2,928,000","3,112,000","3,097,000","3,377,000","5,020,000","6,887,000","5,895,000","5,423,000","2,914,000","2,745,000","2,383,000","1,487,000","1,307,000","1,157,000","1,254,000","1,031,000","847,000","1,552,000","-6,458,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,710,000","3,768,000","4,048,000","3,848,000","4,367,000","8,195,000","9,049,000","8,642,000","8,317,000","6,254,000","5,320,000","5,024,000","2,891,000","2,753,000","1,699,000","1,942,000","1,225,000","1,101,000","1,704,000","-10,456,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,710,000","-3,768,000","-4,048,000","-3,848,000","-4,367,000","-8,195,000","-9,049,000","-8,642,000","-8,317,000","-6,254,000","-5,320,000","-5,024,000","-2,891,000","-2,753,000","-1,699,000","-1,942,000","-1,225,000","-1,101,000","-1,704,000","10,456,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,"-480,000",-,-,"-77,000","-17,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"227,000","137,000","180,000","445,000","231,000","259,000","317,000","987,000","237,000",-,"216,000","164,000",-,-,-,"38,000",-,-,-,"4,284,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-14,000",-,-,-,"-607,000",-,-,-,"-176,000",-,-,"-5,000","-47,000","1,000","20,000","9,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,483,000","-3,631,000","-3,868,000","-3,417,000","-4,136,000","-7,936,000","-8,732,000","-8,262,000","-8,080,000","-6,734,000","-5,104,000","-5,036,000","-2,968,000","-2,770,000","-1,704,000","-1,951,000","-1,224,000","-1,081,000","-1,695,000","14,740,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"-55,000","34,000","21,000","10,000",-,"-544,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
