Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"48,000,000","39,000,000","145,000,000","31,000,000","32,000,000","29,000,000","25,000,000","34,000,000","33,000,000","27,000,000","18,000,000","354,617,000","9,461,000","9,461,000","9,461,000","9,487,000","64,530,000","1,750,000","1,750,000","9,750,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),50.000%,34.483%,480.000%,-8.824%,-3.030%,7.407%,38.889%,-90.412%,248.800%,185.382%,90.255%,3637.926%,-85.339%,440.629%,440.629%,-2.697%,3587.429%,0%,0%,524.200%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"123,000,000","10,000,000","109,000,000","93,000,000","82,000,000","9,000,000","81,000,000","80,000,000","77,000,000","70,000,000","61,000,000","50,588,000","71,254,000","68,771,000","66,387,000","48,712,000","51,801,000","35,693,000","23,142,000","20,686,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-75,000,000","29,000,000","36,000,000","-62,000,000","-50,000,000","20,000,000","-56,000,000","-46,000,000","-44,000,000","-43,000,000","-43,000,000","304,029,000","-61,793,000","-59,310,000","-56,926,000","-39,225,000","12,729,000","-33,943,000","-21,392,000","-10,936,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","30,000,000","30,000,000","32,000,000","29,000,000","30,000,000","28,000,000","30,000,000","28,000,000","26,000,000","26,000,000","24,000,000","23,010,000","16,343,000","16,826,000","15,821,000","12,787,000","11,177,000","11,432,000","7,008,000","6,591,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,"105,000,000",-,-,-,"75,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"30,000,000","135,000,000","32,000,000","29,000,000","30,000,000","103,000,000","30,000,000","28,000,000","26,000,000","26,000,000","24,000,000","23,010,000","16,343,000","16,826,000","15,821,000","12,787,000","11,177,000","11,432,000","7,008,000","6,591,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-105,000,000","-106,000,000","4,000,000","-91,000,000","-80,000,000","-83,000,000","-86,000,000","-74,000,000","-70,000,000","-69,000,000","-67,000,000","281,019,000","-78,136,000","-76,136,000","-72,747,000","-52,012,000","1,552,000","-45,375,000","-28,400,000","-17,527,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,000,000",-,"-1,000,000",-,"-1,000,000",-,"-1,000,000","-1,000,000",-,"-1,000,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,000,000","13,000,000","13,000,000","11,000,000","12,000,000","9,000,000","9,000,000","8,000,000","5,000,000","3,000,000",-,"519,000","161,000","166,000","154,000","159,000","270,000","301,000","647,000","929,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-131,000","-482,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-92,000,000","-93,000,000","16,000,000","-80,000,000","-69,000,000","-74,000,000","-78,000,000","-67,000,000","-65,000,000","-67,000,000","-67,000,000","281,538,000","-77,975,000","-75,970,000","-72,593,000","-51,853,000","1,822,000","-45,205,000","-28,235,000","-16,598,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"131,000","482,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-20,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-92,000,000","-93,000,000","-4,000,000","-80,000,000","-69,000,000","-74,000,000","-78,000,000","-67,000,000","-65,000,000","-67,000,000","-67,000,000","281,538,000","-77,975,000","-75,970,000","-72,593,000","-51,853,000","1,822,000","-45,074,000","-27,753,000","-16,598,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"1,000,000","2,000,000","1,000,000","2,000,000",-,-,-,"1,000,000","2,000,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-92,000,000","-93,000,000","-4,000,000","-81,000,000","-71,000,000","-75,000,000","-80,000,000","-67,000,000","-65,000,000","-67,000,000","-68,000,000","279,538,000","-77,975,000","-75,970,000","-72,593,000","-51,853,000","1,822,000","-45,074,000","-27,753,000","-16,598,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-92,000,000","-93,000,000","-4,000,000","-81,000,000","-71,000,000","-75,000,000","-80,000,000","-67,000,000","-65,000,000","-67,000,000","-68,000,000","279,538,000","-77,975,000","-75,970,000","-72,593,000","-51,853,000","1,822,000","-45,074,000","-27,753,000","-16,598,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"91,400,000","91,100,000","86,200,000","75,000,000","74,600,000","73,200,000","73,000,000","72,600,000","72,200,000","71,800,000","71,200,000","70,399,507","70,110,138","69,745,297","67,082,161","63,527,932","62,599,193","48,556,843","44,282,607","44,056,407",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"91,400,000","91,100,000","86,200,000","75,000,000","74,600,000","73,200,000","73,000,000","72,600,000","72,200,000","71,800,000","71,200,000","75,356,832","70,110,138","69,745,297","67,082,161","63,527,932","65,145,707","48,556,843","44,282,607","44,056,407",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),22.520%,24.454%,18.082%,3.306%,3.324%,1.950%,2.528%,-3.658%,2.981%,2.946%,6.139%,18.620%,7.621%,43.636%,51.486%,44.197%,48.263%,10.866%,1.779%,2.069%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.007,-1.021,-0.046,-1.080,-0.952,-1.025,-1.096,-0.923,-0.900,-0.933,-0.955,3.971,-1.112,-1.089,-1.082,-0.816,0.029,-0.928,-0.627,-0.377,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.007,-1.021,-0.046,-1.081,-0.952,-1.025,-1.096,-0.925,-0.900,-0.933,-0.955,3.703,-1.112,-1.089,-1.082,-0.816,0.029,-0.928,-0.627,-0.377,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"25,000,000","-94,000,000","-6,000,000","-94,000,000","-73,000,000","-62,000,000","-101,000,000","-70,000,000","-83,000,000","-66,000,000","651,000,000","-70,360,000","-61,615,000","-80,068,000","-69,957,000","-51,399,000","215,194,000","-24,194,000","-31,486,000","-9,667,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.274,-1.032,-0.070,-1.253,-0.979,-0.847,-1.384,-0.964,-1.150,-0.919,9.143,-0.934,-0.879,-1.148,-1.043,-0.809,3.303,-0.498,-0.711,-0.219,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-156.250%,74.359%,24.828%,-200.000%,-156.250%,68.966%,-224.000%,-135.294%,-133.333%,-159.259%,-238.889%,85.734%,-,-,-,-,19.726%,-,-,-112.164%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-218.750%,-271.795%,2.759%,-293.548%,-250.000%,-286.207%,-344.000%,-217.647%,-212.121%,-255.556%,-372.222%,79.246%,-825.875%,-804.735%,-768.914%,-548.245%,2.405%,-2592.857%,-1622.857%,-179.764%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-191.667%,-238.462%,-2.759%,-261.290%,-221.875%,-258.621%,-320.000%,-197.059%,-196.970%,-248.148%,-377.778%,78.828%,-824.173%,-802.981%,-767.287%,-546.569%,2.823%,-2575.657%,-1585.886%,-170.236%,Upgrade,Financials in USD,Fiscal year is January - December
