Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
"Selling, General & Admin","14,754,000","15,469,000","16,124,000","16,745,000","18,312,000","17,871,000","18,095,000","18,072,000","17,802,000","18,324,000","19,590,000","17,452,000","11,533,000","10,505,000","10,221,000","9,486,000","7,357,000","6,222,000","5,553,000","3,354,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"31,878,000","32,514,000","29,931,000","46,629,000","36,188,000","66,961,000","56,520,000","55,994,000","61,676,000","73,744,000","76,177,000","75,597,000","56,002,000","45,404,000","40,337,000","37,356,000","29,306,000","20,557,000","20,170,000","12,830,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"46,632,000","47,983,000","46,055,000","63,374,000","54,500,000","84,832,000","74,615,000","74,066,000","79,478,000","92,068,000","95,767,000","93,049,000","67,535,000","55,909,000","50,558,000","46,842,000","36,663,000","26,779,000","25,723,000","16,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-46,632,000","-47,983,000","-46,055,000","-63,374,000","-54,500,000","-84,832,000","-74,615,000","-74,066,000","-79,478,000","-92,068,000","-95,767,000","-93,049,000","-67,535,000","-55,909,000","-50,558,000","-46,842,000","-36,663,000","-26,779,000","-25,723,000","-16,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-5,000","-4,000","-4,000","-4,000","-4,000","-5,000","-5,000","-30,000","-6,000","-5,000","-6,000","-6,000","-6,000","-6,000","-7,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,711,000","2,954,000","3,353,000","3,897,000","4,536,000","4,683,000","3,617,000","3,017,000","2,484,000","1,494,000","76,000","28,000","40,000","81,000","149,000","351,000","645,000","698,000","1,208,000","498,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-25,000","-88,000","-337,000","-1,731,000","-38,000","-35,000","222,000","-1,211,000","-40,000","-49,000","-13,000","-114,000","-25,000","-19,000","-32,000","-137,000","-98,000","88,000","5,000","-171,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-43,946,000","-45,117,000","-43,039,000","-61,208,000","-50,007,000","-80,188,000","-70,780,000","-72,264,000","-77,038,000","-90,628,000","-95,709,000","-93,165,000","-67,526,000","-55,852,000","-50,447,000","-46,634,000","-36,122,000","-25,999,000","-24,517,000","-15,857,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"1,692,000",-,-,-,"1,816,000",-,-,-,-,-,-,-,"51,000",-,-,"125,000","241,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-43,946,000","-45,117,000","-43,039,000","-59,516,000","-50,007,000","-80,188,000","-70,780,000","-70,448,000","-77,038,000","-90,628,000","-95,709,000","-93,165,000","-67,526,000","-55,852,000","-50,447,000","-46,583,000","-36,122,000","-25,999,000","-24,392,000","-15,616,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-43,946,000","-45,117,000","-43,039,000","-59,516,000","-50,007,000","-80,188,000","-70,780,000","-70,448,000","-77,038,000","-90,628,000","-95,709,000","-93,165,000","-67,526,000","-55,852,000","-50,447,000","-46,583,000","-36,122,000","-25,999,000","-24,392,000","-15,616,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-43,946,000","-45,117,000","-43,039,000","-59,516,000","-50,007,000","-80,188,000","-70,780,000","-70,448,000","-77,038,000","-90,628,000","-95,709,000","-93,165,000","-67,526,000","-55,852,000","-50,447,000","-46,583,000","-36,122,000","-25,999,000","-24,392,000","-15,616,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"52,616,183","52,554,215","52,510,460","52,483,019","52,455,620","52,378,729","52,337,603","52,316,531","52,288,257","52,218,773","52,172,918","51,988,910","51,875,315","51,573,894","51,573,909","48,034,290","45,119,885","44,969,795","44,824,587","39,522,146",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"52,616,183","52,554,215","52,510,460","52,483,019","52,455,620","52,378,729","52,337,603","52,316,531","52,288,257","52,218,773","52,172,918","51,988,910","51,875,315","51,573,894","51,573,909","48,034,290","45,119,885","44,969,795","44,824,587","39,522,146",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.306%,0.335%,0.330%,0.318%,0.320%,0.306%,0.316%,0.630%,0.796%,1.250%,1.161%,8.233%,14.972%,14.686%,15.057%,21.538%,20.867%,20.579%,20.340%,7.950%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.835,-0.858,-0.820,-1.134,-0.953,-1.531,-1.352,-1.347,-1.473,-1.736,-1.834,-1.792,-1.302,-1.083,-0.978,-0.970,-0.801,-0.578,-0.544,-0.395,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.835,-0.858,-0.820,-1.134,-0.953,-1.531,-1.352,-1.347,-1.473,-1.736,-1.834,-1.797,-1.302,-1.083,-0.978,-0.970,-0.801,-0.578,-0.544,-0.395,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-21,361,000","-26,542,000","-39,622,000","-59,723,000","-32,990,000","-43,429,000","-59,468,000","-60,693,000","-60,357,000","-71,323,000","-61,449,000","-69,894,000","-83,654,000","-50,613,000","-41,407,000","-32,162,000","-26,178,000","-13,974,000","-18,112,000","-11,446,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.406,-0.505,-0.755,-1.138,-0.629,-0.829,-1.136,-1.160,-1.154,-1.366,-1.178,-1.344,-1.613,-0.981,-0.803,-0.670,-0.580,-0.311,-0.404,-0.290,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-41,947,000","-43,287,000","-41,352,000","-58,648,000","-49,496,000","-80,074,000","-70,805,000","-72,504,000","-78,319,000","-91,291,000","-95,469,000","-92,768,000","-67,279,000","-55,672,000","-50,329,000","-46,682,000","-36,562,000","-26,683,000","-25,603,000","-16,051,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,685,000","4,696,000","4,703,000","4,726,000","5,004,000","4,758,000","3,810,000","1,562,000","1,159,000","777,000","298,000","281,000","256,000","237,000","229,000","160,000","101,000","96,000","120,000","133,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-46,632,000","-47,983,000","-46,055,000","-63,374,000","-54,500,000","-84,832,000","-74,615,000","-74,066,000","-79,478,000","-92,068,000","-95,767,000","-93,049,000","-67,535,000","-55,909,000","-50,558,000","-46,842,000","-36,663,000","-26,779,000","-25,723,000","-16,184,000",Upgrade,Financials in USD,Fiscal year is January - December
