Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+4 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+4 Quarters,,
"Selling, General & Admin","4,260,000","4,274,000","4,103,000","4,660,000","4,482,000","4,893,000","4,589,000","5,003,000","4,508,000","5,621,000","5,605,000","6,219,000","6,737,000","6,905,000","6,540,000","5,305,000","5,266,000","4,796,000","7,095,000","1,804,365",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"8,070,000","6,387,000","7,748,000","6,381,000","6,218,000","7,247,000","5,143,000","4,989,000","3,466,000","3,084,000","5,269,000","4,068,000","4,093,000","5,887,000","7,040,000","3,652,000","2,796,000","2,470,000","3,065,000","714,821",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,330,000","10,661,000","11,851,000","11,041,000","10,700,000","12,140,000","9,732,000","9,992,000","7,974,000","8,705,000","10,874,000","10,287,000","10,830,000","12,792,000","13,580,000","8,957,000","8,062,000","7,266,000","10,160,000","2,519,186",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,330,000","-10,661,000","-11,851,000","-11,041,000","-10,700,000","-12,140,000","-9,732,000","-9,992,000","-7,974,000","-8,705,000","-10,874,000","-10,287,000","-10,830,000","-12,792,000","-13,580,000","-8,957,000","-8,062,000","-7,266,000","-10,160,000","-2,519,186",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-34,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,111,000","1,148,000","756,000","820,000","840,000","846,000","687,000","542,000","283,000","166,000","119,000","59,000","53,000","10,000","115,000","183,000","92,000","126,000","100,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,219,000","-9,513,000","-11,095,000","-10,221,000","-9,860,000","-11,294,000","-9,045,000","-9,450,000","-7,691,000","-8,539,000","-10,755,000","-10,228,000","-10,777,000","-12,782,000","-13,465,000","-8,808,000","-7,970,000","-7,140,000","-10,060,000","-2,519,186",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,"-29,517,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-11,219,000","-9,513,000","-11,095,000","-10,221,000","-9,860,000","-11,294,000","-9,045,000","-38,967,000","-7,691,000","-8,539,000","-10,755,000","-10,228,000","-10,777,000","-12,782,000","-13,465,000","-8,808,000","-7,970,000","-7,140,000","-10,060,000","-2,519,186",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-11,219,000","-9,513,000","-11,095,000","-10,221,000","-9,860,000","-11,294,000","-9,045,000","-38,967,000","-7,691,000","-8,539,000","-10,755,000","-10,228,000","-10,777,000","-12,782,000","-13,465,000","-8,808,000","-7,970,000","-7,140,000","-10,060,000","-2,519,186",Upgrade,Financials in USD,Fiscal year is January - December
