Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022",,
Revenue,"94,949,000","94,799,000","116,852,000","136,918,000","123,351,000",Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),-18.744%,-30.762%,-5.269%,-,-,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"41,725,000","42,696,000","49,148,000","59,999,000","47,274,000",Financials in CNY,Fiscal year is January - December
Gross Profit,"53,224,000","52,103,000","67,704,000","76,919,000","76,077,000",Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","33,911,000","32,998,000","33,636,000","35,189,000","28,369,000",Financials in CNY,Fiscal year is January - December
Research & Development,"5,444,000","5,747,000","6,154,000","4,457,000","8,967,000",Financials in CNY,Fiscal year is January - December
Operating Expenses,"38,312,000","36,439,000","38,382,000","43,269,000","43,448,000",Financials in CNY,Fiscal year is January - December
Operating Income,"14,912,000","15,664,000","29,322,000","33,650,000","32,629,000",Financials in CNY,Fiscal year is January - December
Interest Expense,"-2,052,000","-2,271,000","-2,152,000","-1,480,000","-1,359,000",Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"213,000","207,000","105,000","89,000","25,000",Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"210,000","2,837,000","50,000","668,000","137,000",Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"13,283,000","16,437,000","27,325,000","32,927,000","31,432,000",Financials in CNY,Fiscal year is January - December
Asset Writedown,-,-,-,"-362,000","-83,000",Financials in CNY,Fiscal year is January - December
Pretax Income,"13,283,000","16,437,000","27,325,000","32,565,000","31,349,000",Financials in CNY,Fiscal year is January - December
Income Tax Expense,"2,558,000","2,998,000","3,255,000","4,374,000","3,798,000",Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"10,725,000","13,439,000","24,070,000","28,191,000","27,551,000",Financials in CNY,Fiscal year is January - December
Minority Interest in Earnings,"-1,714,000","-2,163,000","-3,889,000","-4,555,000","-4,452,000",Financials in CNY,Fiscal year is January - December
Net Income,"9,011,000","11,276,000","20,181,000","23,636,000","23,099,000",Financials in CNY,Fiscal year is January - December
Net Income to Common,"9,011,000","11,276,000","20,181,000","23,636,000","23,099,000",Financials in CNY,Fiscal year is January - December
Net Income Growth,-55.349%,-52.293%,-12.633%,-,-,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"45,666,376","45,666,376","45,666,376","45,666,376","45,666,376",Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"45,666,376","45,666,376","45,666,376","45,666,376","45,666,376",Financials in CNY,Fiscal year is January - December
EPS (Basic),0.197,0.247,0.442,0.518,0.506,Financials in CNY,Fiscal year is January - December
EPS (Diluted),0.197,0.247,0.442,0.518,0.506,Financials in CNY,Fiscal year is January - December
EPS Growth,-55.349%,-52.293%,-12.633%,-,-,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"12,930,000","33,970,000","6,818,000","1,365,000","-11,358,000",Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,0.283,0.744,0.149,0.030,-0.249,Financials in CNY,Fiscal year is January - December
Operating Margin,15.705%,16.523%,25.093%,24.577%,26.452%,Financials in CNY,Fiscal year is January - December
Profit Margin,9.490%,11.895%,17.271%,17.263%,18.726%,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,13.618%,35.834%,5.835%,0.997%,-9.208%,Financials in CNY,Fiscal year is January - December
EBITDA,"26,187,000","27,712,000","41,186,000","43,944,000","41,135,000",Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"11,275,000","12,048,000","11,864,000","10,294,000","8,506,000",Financials in CNY,Fiscal year is January - December
EBIT,"14,912,000","15,664,000","29,322,000","33,650,000","32,629,000",Financials in CNY,Fiscal year is January - December
Advertising Expenses,"623,000",-,"1,105,000",-,"545,000",Financials in CNY,Fiscal year is January - December
