Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","6,215,000","8,127,000","8,494,000","7,033,000","6,603,000","7,231,000","5,795,000","5,543,000","4,577,000","3,982,000","2,603,000","2,692,000","1,113,000","753,000","1,198,000","445,000",Financials in USD,Fiscal year is January - December
Research & Development,"20,165,000","26,601,000","25,978,000","33,258,000","27,308,000","22,953,000","23,164,000","17,556,000","13,315,000","8,826,000","6,211,000","8,391,000","896,000","460,000","267,000",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"26,380,000","34,728,000","34,472,000","40,291,000","33,911,000","30,184,000","28,959,000","23,099,000","17,892,000","12,808,000","8,814,000","11,083,000","2,009,000","1,213,000","1,465,000","445,000",Financials in USD,Fiscal year is January - December
Operating Income,"-26,380,000","-34,728,000","-34,472,000","-40,291,000","-33,911,000","-30,184,000","-28,959,000","-23,099,000","-17,892,000","-12,808,000","-8,814,000","-11,083,000","-2,009,000","-1,213,000","-1,465,000","-445,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,853,000","-738,000","-727,000","-726,000","-717,000","-500,000","-449,000","-257,000","-205,000","-888,000","-2,064,000","-2,110,000","-717,000","-8,000","-9,000","-8,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,353,000","1,698,000","2,402,000","2,989,000","1,690,000","2,453,000","2,574,000","2,218,000","1,317,000","334,000","6,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,057,000","35,000","-6,000","2,944,000","1,123,000","329,000","-55,000","-50,000","-25,000","-40,567,000","-54,515,000","-25,536,000","-20,601,000","-446,000","-72,000","513,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-25,823,000","-33,733,000","-32,803,000","-35,084,000","-31,815,000","-27,902,000","-26,889,000","-21,188,000","-16,805,000","-53,929,000","-65,387,000","-38,729,000","-23,327,000","-1,667,000","-1,546,000","60,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"1,300,000","1,299,000","-1,876,000",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-8,235,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"1,392,000","-875,000",-,-,"-779,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-25,823,000","-40,668,000","-46,829,000","-36,960,000","-31,815,000","-27,902,000","-26,889,000","-21,188,000","-16,805,000","-53,929,000","-67,887,000","-37,327,000","-61,868,000","-1,667,000","-1,546,000","-719,000",Financials in USD,Fiscal year is January - December
Net Income,"-25,823,000","-40,668,000","-46,829,000","-36,960,000","-31,815,000","-27,902,000","-26,889,000","-21,188,000","-16,805,000","-53,929,000","-67,887,000","-37,327,000","-61,868,000","-1,667,000","-1,546,000","-719,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-25,823,000","-40,668,000","-46,829,000","-36,960,000","-31,815,000","-27,902,000","-26,889,000","-21,188,000","-16,805,000","-53,929,000","-67,887,000","-37,327,000","-61,868,000","-1,667,000","-1,546,000","-719,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"49,382,277","49,179,109","48,460,185","47,557,423","39,039,553","37,951,735","37,753,522","37,553,735","37,323,626","26,512,881","6,748,668","6,556,598","6,166,500","4,935,738","4,802,907","4,762,821",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"49,382,277","49,179,109","48,460,185","47,557,423","39,039,553","37,951,735","37,753,522","37,553,735","37,323,626","26,512,881","6,748,668","6,556,598","6,166,500","4,935,738","4,802,907","4,762,821",Financials in USD,Fiscal year is January - December
Shares Change (YoY),26.493%,29.583%,28.359%,26.638%,4.597%,43.145%,459.422%,472.763%,505.264%,437.161%,40.512%,37.662%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.523,-0.827,-0.966,-0.777,-0.815,-0.735,-0.712,-0.564,-0.450,-2.034,-10.059,-5.693,-10.033,-0.338,-0.322,-0.151,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.523,-0.830,-0.966,-0.777,-0.815,-0.740,-0.712,-0.564,-0.450,-2.034,-10.059,-5.693,-10.033,-0.338,-0.322,-0.151,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-28,034,000","-29,826,000","-33,155,000","-22,344,000","-28,992,000","-27,256,000","-18,939,000","-22,346,000","-19,732,000","-13,210,000","-10,715,000","-4,224,000","-1,574,000","-1,125,000","-417,000","-313,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.568,-0.606,-0.684,-0.470,-0.743,-0.718,-0.502,-0.595,-0.529,-0.498,-1.588,-0.644,-0.255,-0.228,-0.087,-0.066,Financials in USD,Fiscal year is January - December
EBITDA,"-25,904,000","-34,260,000","-34,016,000","-39,862,000","-33,567,000","-30,079,000","-28,958,000","-23,098,750","-17,891,250","-12,807,250","-8,813,250","-11,081,000","-2,009,000","-1,212,500",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"476,000","468,000","456,000","429,000","344,000","105,000","1,000",250,750,750,750,"2,000",-,500,-,-,Financials in USD,Fiscal year is January - December
