Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021",,
Revenue,"216,000","245,000","222,000","185,000","219,000","250,000","229,000","214,000","202,000","240,000","248,000","387,000","20,000",Financials in CHF,Fiscal year is January - December
Revenue Growth (YoY),-1.370%,-2.000%,-3.057%,-13.551%,8.416%,4.167%,-7.661%,-44.703%,910.000%,-,-,-,-,Financials in CHF,Fiscal year is January - December
Cost of Revenue,"12,999,000","16,465,000","10,856,000","8,029,000","8,872,000","6,198,000","6,148,000","6,889,000","4,592,000","6,702,000","5,371,500","3,529,000","1,778,000",Financials in CHF,Fiscal year is January - December
Gross Profit,"-12,783,000","-16,220,000","-10,634,000","-7,844,000","-8,653,000","-5,948,000","-5,919,000","-6,675,000","-4,390,000","-6,462,000","-5,123,500","-3,142,000","-1,758,000",Financials in CHF,Fiscal year is January - December
"Selling, General & Admin","5,348,000","6,265,000","4,694,000","4,340,000","4,306,000","4,797,000","4,042,000","4,438,000","2,483,000","2,776,000","2,071,500","1,540,000","1,146,000",Financials in CHF,Fiscal year is January - December
Operating Expenses,"5,348,000","6,265,000","4,694,000","4,340,000","4,306,000","4,797,000","4,042,000","4,438,000","2,483,000","2,776,000","2,071,500","1,540,000","1,146,000",Financials in CHF,Fiscal year is January - December
Operating Income,"-18,131,000","-22,485,000","-15,328,000","-12,184,000","-12,959,000","-10,745,000","-9,961,000","-11,113,000","-6,873,000","-9,238,000","-7,195,000","-4,682,000","-2,904,000",Financials in CHF,Fiscal year is January - December
Interest Expense,"-264,000","-87,000","-41,000","-12,000","-11,000","-17,000","-1,279,000","-1,323,000","-1,834,000","-1,665,000","-1,642,500","-1,527,000","-1,543,000",Financials in CHF,Fiscal year is January - December
Interest & Investment Income,"556,000","660,000","581,000","656,000","520,000","216,000","33,000","56,000","61,000","7,000","4,000","14,000","6,000",Financials in CHF,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,888,000","-267,000","1,794,000","-2,179,000","-2,645,000","408,000","-243,000","3,183,000","-1,302,000","-1,406,000","-916,000","659,000","-545,000",Financials in CHF,Fiscal year is January - December
Other Non Operating Income (Expenses),"-445,000","1,370,000","-3,069,000","1,207,000","-2,434,000","-2,625,000","422,000",-,-,-,-,-,-,Financials in CHF,Fiscal year is January - December
EBT Excluding Unusual Items,"-20,172,000","-20,809,000","-16,063,000","-12,512,000","-17,529,000","-12,763,000","-11,028,000","-9,197,000","-9,948,000","-12,302,000","-9,749,500","-5,536,000","-4,986,000",Financials in CHF,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,"-34,863,000",-,-,-,-,-,-,Financials in CHF,Fiscal year is January - December
Pretax Income,"-20,172,000","-20,809,000","-16,063,000","-12,512,000","-17,529,000","-12,763,000","-45,891,000","-9,197,000","-9,948,000","-12,302,000","-9,749,500","-5,536,000","-4,986,000",Financials in CHF,Fiscal year is January - December
Income Tax Expense,"18,000","30,000","30,000","-13,000","-116,000","114,000","124,000","-14,000","6,000","42,000","32,000","11,000","-10,000",Financials in CHF,Fiscal year is January - December
Net Income,"-20,190,000","-20,839,000","-16,093,000","-12,499,000","-17,413,000","-12,877,000","-46,015,000","-9,183,000","-9,954,000","-12,344,000","-9,781,500","-5,547,000","-4,976,000",Financials in CHF,Fiscal year is January - December
Net Income to Common,"-20,190,000","-20,839,000","-16,093,000","-12,499,000","-17,413,000","-12,877,000","-46,015,000","-9,183,000","-9,954,000","-12,344,000","-9,781,500","-5,547,000","-4,976,000",Financials in CHF,Fiscal year is January - December
Shares Outstanding (Basic),"41,807,918","40,535,173","36,621,162","36,761,764","36,330,836","33,565,542","12,879,944","3,507,242","3,461,666","3,392,346","3,350,458","2,820,069","2,806,589",Financials in CHF,Fiscal year is January - December
Shares Outstanding (Diluted),"41,807,918","40,535,173","36,621,162","36,761,764","36,330,836","33,565,542","12,879,944","3,507,242","3,461,666","3,392,346","3,350,458","2,820,069","2,806,589",Financials in CHF,Fiscal year is January - December
Shares Change (YoY),15.076%,20.764%,184.327%,948.167%,949.519%,889.449%,284.423%,24.367%,23.341%,-,-,-,-,Financials in CHF,Fiscal year is January - December
EPS (Basic),-0.483,-0.514,-0.439,-0.340,-0.479,-0.384,-3.573,-2.618,-2.875,-3.639,-2.919,-1.967,-1.773,Financials in CHF,Fiscal year is January - December
EPS (Diluted),-0.483,-0.514,-0.439,-0.340,-0.479,-0.384,-3.573,-2.618,-2.875,-3.639,-2.919,-1.967,-1.773,Financials in CHF,Fiscal year is January - December
Free Cash Flow,"-10,585,000","-13,534,000","-13,195,000","-13,022,000","-11,998,000","-13,254,000","-15,619,000","-6,547,000","-6,958,000","-5,817,000","-5,817,000","-3,405,000",-,Financials in CHF,Fiscal year is January - December
Free Cash Flow Per Share,-0.253,-0.334,-0.360,-0.354,-0.330,-0.395,-1.213,-1.867,-2.010,-1.715,-1.736,-1.207,-,Financials in CHF,Fiscal year is January - December
Operating Margin,-8393.981%,-9177.551%,-6904.505%,-6585.946%,-5917.352%,-4298.000%,-4349.782%,-5192.991%,-3402.475%,-3849.167%,-2901.210%,-1209.819%,-14520.000%,Financials in CHF,Fiscal year is January - December
Profit Margin,-9347.222%,-8505.714%,-7249.099%,-6756.216%,-7951.142%,-5150.800%,-20093.886%,-4291.121%,-4927.723%,-5143.333%,-3944.153%,-1433.333%,-24880.000%,Financials in CHF,Fiscal year is January - December
Free Cash Flow Margin,-4900.463%,-5524.082%,-5943.694%,-7038.919%,-5478.539%,-5301.600%,-6820.524%,-3059.346%,-3444.554%,-2423.750%,-2345.565%,-879.845%,-,Financials in CHF,Fiscal year is January - December
EBITDA,"-18,094,000","-22,455,000","-15,299,000","-12,155,000","-12,930,000","-10,713,000","-9,926,000","-11,080,000","-6,841,000","-9,204,500","-7,161,500","-4,659,000","-2,882,333",Financials in CHF,Fiscal year is January - December
D&A For EBITDA,"37,000","30,000","29,000","29,000","29,000","32,000","35,000","33,000","32,000","33,500","33,500","23,000","21,667",Financials in CHF,Fiscal year is January - December
EBIT,"-18,131,000","-22,485,000","-15,328,000","-12,184,000","-12,959,000","-10,745,000","-9,961,000","-11,113,000","-6,873,000","-9,238,000","-7,195,000","-4,682,000","-2,904,000",Financials in CHF,Fiscal year is January - December
Revenue as Reported,"216,000","245,000","222,000","185,000","219,000","250,000","229,000","214,000","202,000","240,000","248,000","387,000","20,000",Financials in CHF,Fiscal year is January - December
