Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","6,696,000","7,212,000","8,004,000","7,227,000","7,710,000","8,277,000","8,507,000","7,663,000","7,226,000","6,459,000","7,520,000","5,613,000","5,677,000","5,410,000","4,789,000","4,333,000","3,643,000","2,065,000","1,707,000","964,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"21,817,000","21,823,000","24,322,000","20,897,000","27,606,000","23,897,000","21,915,000","17,062,000","16,875,000","15,333,000","15,280,000","12,693,000","12,925,000","12,970,000","8,941,000","11,330,000","8,142,000","5,975,000","6,171,000","2,964,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"28,513,000","29,035,000","32,326,000","28,124,000","35,316,000","32,174,000","30,422,000","24,725,000","24,101,000","21,792,000","22,800,000","18,306,000","18,602,000","18,380,000","13,730,000","15,663,000","11,785,000","8,040,000","7,878,000","3,928,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-28,513,000","-29,035,000","-32,326,000","-28,124,000","-35,316,000","-32,174,000","-30,422,000","-24,725,000","-24,101,000","-21,792,000","-22,800,000","-18,306,000","-18,602,000","-18,380,000","-13,730,000","-15,663,000","-11,785,000","-8,040,000","-7,878,000","-3,928,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"954,000","1,196,000","1,522,000","1,863,000","2,126,000","2,195,000","1,989,000","815,000","313,000","133,000","63,000","54,000","48,000","10,000","7,000",-,-,-,"29,000","35,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-27,559,000","-27,839,000","-30,804,000","-26,261,000","-33,190,000","-29,979,000","-28,433,000","-23,910,000","-23,788,000","-21,659,000","-22,737,000","-18,252,000","-18,554,000","-18,370,000","-13,723,000","-15,663,000","-11,785,000","-8,040,000","-7,849,000","-3,893,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-27,559,000","-27,839,000","-30,804,000","-26,261,000","-33,190,000","-29,979,000","-28,433,000","-23,910,000","-23,788,000","-21,659,000","-22,737,000","-18,252,000","-18,554,000","-18,370,000","-13,723,000","-15,663,000","-11,785,000","-8,040,000","-7,849,000","-3,893,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,228,000","2,170,000","2,185,000","855,000","715,000","506,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,559,000","-27,839,000","-30,804,000","-26,261,000","-33,190,000","-29,979,000","-28,433,000","-23,910,000","-23,788,000","-21,659,000","-22,737,000","-18,252,000","-18,554,000","-18,370,000","-14,951,000","-17,833,000","-13,970,000","-8,895,000","-8,564,000","-4,399,000",Upgrade,Financials in USD,Fiscal year is January - December
