Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Operating Revenue,"1,820,000,000","184,000,000","167,000,000","2,793,000,000","1,757,000,000","293,000,000","1,828,000,000","4,859,000,000","3,120,000,000","4,531,000,000","5,925,000,000","7,211,000,000","4,969,000,000","4,354,000,000","1,937,000,000","571,000,000","157,000,000","67,000,000","8,000,000","14,055,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"42,000,000","57,000,000",-,"18,000,000","74,000,000","51,000,000","34,000,000","225,000,000","244,000,000","218,000,000","141,000,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"1,862,000,000","241,000,000","167,000,000","2,811,000,000","1,831,000,000","344,000,000","1,862,000,000","5,084,000,000","3,364,000,000","4,749,000,000","6,066,000,000","7,211,000,000","4,969,000,000","4,354,000,000","1,937,000,000","571,000,000","157,000,000","67,000,000","8,000,000","14,055,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),1.693%,-29.942%,-91.031%,-44.709%,-45.571%,-92.756%,-69.304%,-29.497%,-32.300%,9.072%,213.165%,1162.872%,3064.968%,6398.507%,24112.500%,3962.611%,821.037%,412.115%,-50.078%,-60.320%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,651,000,000","1,336,000,000","1,159,000,000","2,335,000,000","3,401,000,000","1,879,000,000","1,923,000,000","3,129,000,000","1,920,000,000","2,091,000,000","1,571,000,000","1,600,000,000","1,243,000,000","1,171,000,000","594,000,000","767,000,000","344,000,000","152,000,000","115,000,000","117,954,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"211,000,000","-1,095,000,000","-992,000,000","476,000,000","-1,570,000,000","-1,535,000,000","-61,000,000","1,955,000,000","1,444,000,000","2,658,000,000","4,495,000,000","5,611,000,000","3,726,000,000","3,183,000,000","1,343,000,000","-196,000,000","-187,000,000","-85,000,000","-107,000,000","-103,899,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","281,000,000","268,000,000","274,000,000","470,000,000","442,000,000","332,000,000","305,000,000","375,000,000","278,000,000","211,000,000","268,000,000","201,000,000","168,000,000","121,000,000","77,000,000","79,000,000","48,000,000","37,000,000","24,000,000","25,707,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"281,000,000","268,000,000","274,000,000","470,000,000","442,000,000","332,000,000","305,000,000","375,000,000","278,000,000","211,000,000","268,000,000","201,000,000","168,000,000","121,000,000","77,000,000","79,000,000","48,000,000","37,000,000","24,000,000","25,707,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-70,000,000","-1,363,000,000","-1,266,000,000","6,000,000","-2,012,000,000","-1,867,000,000","-366,000,000","1,580,000,000","1,166,000,000","2,447,000,000","4,227,000,000","5,410,000,000","3,558,000,000","3,062,000,000","1,266,000,000","-275,000,000","-235,000,000","-122,000,000","-131,000,000","-129,606,000",Upgrade,Financials in USD,Fiscal year is January - December
