Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","41,800,613","31,338,590","29,339,034","18,349,460","5,498,491","2,325,719",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"85,976,482","65,575,030","57,375,574","35,789,166","19,508,101","5,684,562",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"127,777,095","96,913,620","86,714,608","54,138,626","25,006,592","8,010,281",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-127,777,095","-96,913,620","-86,714,608","-54,138,626","-25,006,592","-8,010,281",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,-,-,"-16,105","-267,510","-92,470","-4,377",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"4,217,307","224,494",-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-7,282,582","-3,116,662","11,100,392","11,760,469","-963,685","-10,707",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-32,339","-20,475","-23,149","-14,995","-6,208","-1,797",Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-130,874,709","-99,826,263","-75,653,470","-42,660,662","-26,068,955","-8,027,162",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"1,333,528","1,048,805","679,087","70,117","-83,251",-,Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-132,208,237","-100,875,068","-76,332,557","-42,730,779","-25,985,704","-8,027,162",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-132,208,237","-100,875,068","-76,332,557","-42,730,779","-25,985,704","-8,027,162",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"51,489,515","38,391,654","33,585,976","30,411,902","4,850,000","4,835,639",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"51,489,515","38,391,654","33,585,976","30,411,902","4,850,000","4,835,639",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),43.840%,14.309%,10.437%,527.050%,0.297%,-0.296%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-2.568,-2.628,-2.273,-1.405,-5.358,-1.660,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-2.568,-2.628,-2.273,-1.405,-5.358,-1.660,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-109,390,955","-93,139,077","-67,286,930","-44,729,716","-21,542,570","-6,690,487",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-2.125,-2.426,-2.003,-1.471,-4.442,-1.384,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-127,851,292","-96,853,839","-86,675,687","-54,061,256","-24,999,191","-8,009,732",Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"-74,197","59,781","38,921","77,370","7,401",549,Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-127,777,095","-96,913,620","-86,714,608","-54,138,626","-25,006,592","-8,010,281",Upgrade,Financials in EUR,Fiscal year is January - December
