Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"2,910,000","2,364,000","1,029,000","3,826,000","3,565,000","4,263,000","2,364,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-18.373%,-44.546%,-56.472%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"37,200,000","29,083,000","15,369,000","9,601,000","3,823,000","5,716,000","3,913,000","4,213,000","5,205,000","5,076,000","8,037,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-34,290,000","-26,719,000","-14,340,000","-5,775,000","-258,000","-1,453,000","-1,549,000","-4,213,000","-5,205,000","-5,076,000","-8,037,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,526,000","6,978,000","6,005,000","8,076,000","4,375,000","4,320,000","2,922,000","3,574,000","3,329,000","3,050,000","3,617,000","3,459,000","3,210,000","2,507,000","1,918,000","2,238,000","1,174,000","823,000","540,000","456,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,"4,385,000","4,513,000","3,233,000","1,979,000","1,835,000","1,644,000","1,892,000","2,115,000","2,432,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,526,000","6,978,000","6,005,000","8,076,000","4,375,000","4,320,000","2,922,000","3,574,000","3,329,000","3,050,000","3,617,000","7,844,000","7,723,000","5,740,000","3,897,000","4,073,000","2,818,000","2,715,000","2,655,000","2,888,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-43,816,000","-33,697,000","-20,345,000","-13,851,000","-4,633,000","-5,773,000","-4,471,000","-7,787,000","-8,534,000","-8,126,000","-11,654,000","-7,844,000","-7,723,000","-5,740,000","-3,897,000","-4,073,000","-2,818,000","-2,715,000","-2,655,000","-2,888,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-5,000","-3,000","-1,000","-1,000","-11,000","-10,000",-,"-8,000","-34,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,422,000","3,887,000","2,807,000","2,019,000","288,000","216,000","201,000","1,000","1,000","2,000","1,000",-,-,-,-,-,-,"5,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,"-6,000","6,000","500,000",-,"11,000","-5,549,000",-,"-14,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-40,394,000","-29,810,000","-17,538,000","-11,832,000","-4,345,000","-5,557,000","-4,270,000","-7,786,000","-8,533,000","-8,124,000","-11,653,000","-7,855,000","-7,720,000","-5,241,000","-3,898,000","-4,073,000","-8,377,000","-2,710,000","-2,677,000","-2,922,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,"-800,000",-,"3,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-47,100,000","-36,122,000","-129,492,000","-92,634,000","-4,345,000","-5,557,000","-4,270,000","-7,786,000","-8,533,000","-8,924,000","-11,653,000","-7,852,000","-7,720,000","-5,241,000","-3,898,000","-4,073,000","-8,377,000","-2,710,000","-2,677,000","-2,922,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-47,100,000","-36,122,000","-129,492,000","-92,634,000","-4,345,000","-5,557,000","-4,270,000","-7,786,000","-8,533,000","-8,924,000","-11,653,000","-7,852,000","-7,720,000","-5,241,000","-3,898,000","-4,073,000","-8,377,000","-2,710,000","-2,677,000","-2,922,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,"622,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-47,100,000","-36,122,000","-129,492,000","-92,634,000","-4,345,000","-5,557,000","-4,270,000","-7,786,000","-9,155,000","-8,924,000","-11,653,000","-7,852,000","-7,720,000","-5,241,000","-3,898,000","-4,073,000","-8,377,000","-2,710,000","-2,677,000","-2,922,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"60,205,327","59,936,703","51,544,383","42,791,773","12,202,335","12,197,801","12,182,478","12,128,451","12,127,501","12,127,385","12,122,903","12,108,104","11,934,491","11,456,991","10,640,870","10,190,607","1,114,427","1,104,327","1,099,270","1,097,946",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"60,205,327","59,936,703","51,544,383","42,791,773","12,202,335","12,197,801","12,182,478","12,128,451","12,127,501","12,127,385","12,122,903","12,108,104","11,934,491","11,456,991","10,640,870","10,190,607","1,114,427","1,104,327","1,099,270","1,097,946",Upgrade,Financials in USD,Fiscal year is January - December
