Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"33,594,000","14,090,000","102,694,000",-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),78.771%,-86.280%,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"33,594,000","14,090,000","102,694,000",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","59,925,000","37,633,000","19,507,000","6,003,000","1,384,000",Financials in USD,Fiscal year is January - December
Research & Development,"157,803,000","159,424,000","86,744,000","28,974,000","4,045,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"217,728,000","197,057,000","106,251,000","34,977,000","5,429,000",Financials in USD,Fiscal year is January - December
Operating Income,"-184,134,000","-182,967,000","-3,557,000","-34,977,000","-5,429,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-287,000","-411,000","-344,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"15,064,000","11,283,000",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"6,488,000","5,058,000","-9,747,000","1,706,000","24,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-8,002,000","-7,220,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-162,582,000","-166,626,000","-21,593,000","-40,902,000","-5,749,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-36,308,000","-10,284,000","-1,041,000","-883,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-198,890,000","-176,910,000","-22,634,000","-41,785,000","-5,749,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"26,000","27,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-198,916,000","-176,937,000","-22,634,000","-41,785,000","-5,749,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-198,916,000","-176,937,000","-22,634,000","-41,785,000","-5,749,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"90,118,443","82,161,956","18,966,235","10,978,874","5,000,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"90,118,443","82,161,956","18,966,235","10,978,874","5,000,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),45.441%,333.201%,72.752%,119.577%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.207,-2.154,-1.193,-3.806,-1.150,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.207,-2.154,-1.193,-3.806,-1.150,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-154,829,000","-141,242,000","10,444,000","-29,536,000","-5,983,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.718,-1.719,0.551,-2.690,-1.197,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-548.116%,-1298.559%,-3.464%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-592.118%,-1255.763%,-22.040%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-460.883%,-1002.427%,10.170%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-184,059,000","-182,918,000","-3,548,000","-34,972,000","-5,428,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-3.455%,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"75,000","49,000","9,000","5,000","1,000",Financials in USD,Fiscal year is January - December
EBIT,"-184,134,000","-182,967,000","-3,557,000","-34,977,000","-5,429,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-3.464%,-,-,Financials in USD,Fiscal year is January - December
