Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","348,405","320,644","363,595","398,210","459,164","380,324","562,640","797,692","430,864","603,281","640,576","876,354","744,985","887,047","449,341","227,757","101,190","18,783",169,70,Financials in CAD,Fiscal year is October - September
Research & Development,"416,055","-566,749","105,180","1,225,524","1,091,315","1,050,685","1,398,266","1,459,678","2,541,202","2,051,360","3,743,212","3,845,164","2,208,116","2,708,150","1,044,932","352,792","295,975","21,422","5,973","31,342",Financials in CAD,Fiscal year is October - September
Operating Expenses,"764,460","-246,105","468,775","1,623,734","1,550,479","1,431,009","1,960,906","2,257,370","2,972,066","2,654,641","4,383,788","4,721,518","2,953,101","3,595,197","1,494,273","580,549","397,165","40,205","6,142","31,412",Financials in CAD,Fiscal year is October - September
Operating Income,"-764,460","246,105","-468,775","-1,623,734","-1,550,479","-1,431,009","-1,960,906","-2,257,370","-2,972,066","-2,654,641","-4,383,788","-4,721,518","-2,953,101","-3,595,197","-1,494,273","-580,549","-397,165","-40,205","-6,142","-31,412",Financials in CAD,Fiscal year is October - September
Interest Expense,"-2,607",-,-,"-2,971",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is October - September
Interest & Investment Income,"30,133",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is October - September
Currency Exchange Gain (Loss),"11,862","-19,826","-16,079","14,731","57,934","-10,106","3,495","-37,134","52,171","4,273","-10,206","-34,087","99,633","114,061","-26,965","-32,628",-,-,-,-,Financials in CAD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-24,243","-11,363","-89,287","-72,293","-35,453","-17,186","-93,088","-40,924","-39,120","-8,010","-93,509","-102,440","-13,497","-52,327","-62,039","-63,880","-5,451",-,-,-,Financials in CAD,Fiscal year is October - September
EBT Excluding Unusual Items,"-749,315","214,916","-574,141","-1,684,267","-1,527,998","-1,458,301","-2,050,499","-2,335,428","-2,959,015","-2,658,378","-4,487,503","-4,858,045","-2,866,965","-3,533,463","-1,583,277","-677,057","-402,616","-40,205","-6,142","-31,412",Financials in CAD,Fiscal year is October - September
Asset Writedown,-,-,-,-,-,-,-,-,"-2,000",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is October - September
Pretax Income,"-749,315","214,916","-574,141","-1,684,267","-1,527,998","-1,458,301","-2,050,499","-2,335,428","-2,961,015","-2,658,378","-4,487,503","-4,858,045","-2,866,965","-3,533,463","-1,583,277","-677,057","-402,616","-40,205","-6,142","-31,412",Financials in CAD,Fiscal year is October - September
Net Income,"-749,315","214,916","-574,141","-1,684,267","-1,527,998","-1,458,301","-2,050,499","-2,335,428","-2,961,015","-2,658,378","-4,487,503","-4,858,045","-2,866,965","-3,533,463","-1,583,277","-677,057","-402,616","-40,205","-6,142","-31,412",Financials in CAD,Fiscal year is October - September
