Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","31,823,000","33,155,000","31,084,000","18,413,000","7,813,000","4,564,000",Financials in USD,Fiscal year is January - December
Research & Development,"90,919,000","98,038,000","94,537,000","54,393,000","31,099,000","23,148,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"122,742,000","131,193,000","125,621,000","72,806,000","38,912,000","27,712,000",Financials in USD,Fiscal year is January - December
Operating Income,"-122,742,000","-131,193,000","-125,621,000","-72,806,000","-38,912,000","-27,712,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,395,000","7,056,000","1,954,000","108,000","87,000","453,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"119,000","53,000","2,000","-23,000","388,000","1,031,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-117,228,000","-124,084,000","-123,665,000","-72,721,000","-38,437,000","-26,228,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-33,000","-14,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"75,000","11,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-117,228,000","-124,084,000","-123,665,000","-72,721,000","-38,395,000","-26,231,000",Financials in USD,Fiscal year is January - December
Net Income,"-117,228,000","-124,084,000","-123,665,000","-72,721,000","-38,395,000","-26,231,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-117,228,000","-124,084,000","-123,665,000","-72,721,000","-38,395,000","-26,231,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"81,819,786","73,786,126","44,823,597","17,734,166","972,091","755,782",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"81,819,786","73,786,126","44,823,597","17,734,166","972,091","755,782",Financials in USD,Fiscal year is January - December
Shares Change (YoY),18.535%,64.614%,152.753%,1724.332%,28.621%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.433,-1.682,-2.759,-4.101,-39.497,-34.707,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.437,-1.682,-2.759,-4.101,-39.497,-34.707,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-95,252,000","-103,311,000","-125,054,000","-85,933,000","-45,210,000","-27,022,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.164,-1.400,-2.790,-4.846,-46.508,-35.754,Financials in USD,Fiscal year is January - December
EBITDA,"-114,182,000","-122,506,000","-119,154,000","-69,845,000","-36,429,000","-25,723,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,560,000","8,687,000","6,467,000","2,961,000","2,483,000","1,989,000",Financials in USD,Fiscal year is January - December
EBIT,"-122,742,000","-131,193,000","-125,621,000","-72,806,000","-38,912,000","-27,712,000",Financials in USD,Fiscal year is January - December
