Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022",,
"Selling, General & Admin","15,647,746","15,647,746","7,880,790","2,857,480",Financials in USD,Fiscal year is October - September
Research & Development,"4,925,001","4,925,001","4,240,451","6,855,718",Financials in USD,Fiscal year is October - September
Operating Expenses,"20,572,747","20,572,747","12,121,241","9,713,198",Financials in USD,Fiscal year is October - September
Operating Income,"-20,572,747","-20,572,747","-12,121,241","-9,713,198",Financials in USD,Fiscal year is October - September
Pretax Income,"-20,572,747","-20,572,747","-12,121,241","-9,713,198",Financials in USD,Fiscal year is October - September
Income Tax Expense,"576,000","576,000","576,000","1,152,000",Financials in USD,Fiscal year is October - September
Net Income,"-21,148,747","-21,148,747","-12,697,241","-10,865,198",Financials in USD,Fiscal year is October - September
Net Income to Common,"-21,148,747","-21,148,747","-12,697,241","-10,865,198",Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"68,053,607","68,053,607","67,500,000","33,750,000",Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"68,053,607","68,053,607","67,500,000","33,750,000",Financials in USD,Fiscal year is October - September
Shares Change (YoY),0.820%,0.820%,100.000%,-,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.311,-0.311,-0.188,-0.322,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.311,-0.311,-0.188,-0.322,Financials in USD,Fiscal year is October - September
Free Cash Flow,"126,353","126,353",-,-,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,0.002,0.002,-,-,Financials in USD,Fiscal year is October - September
EBIT,"-20,572,747","-20,572,747","-12,121,241","-9,713,198",Financials in USD,Fiscal year is October - September
