Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021",,
"Selling, General & Admin","2,364,879","3,201,173","663,190","296,248","276,462",Financials in USD,Fiscal year is July - June
Research & Development,"6,451,459","4,108,925","10,451,212","1,389,099","457,231",Financials in USD,Fiscal year is July - June
Operating Expenses,"8,816,338","7,310,098","11,114,402","1,685,347","733,693",Financials in USD,Fiscal year is July - June
Operating Income,"-8,816,338","-7,310,098","-11,114,402","-1,685,347","-733,693",Financials in USD,Fiscal year is July - June
Pretax Income,"-8,816,338","-7,310,098","-11,114,402","-1,685,347","-733,693",Financials in USD,Fiscal year is July - June
Income Tax Expense,"1,625","1,625",-,-,-,Financials in USD,Fiscal year is July - June
Net Income,"-8,817,963","-7,311,723","-11,114,402","-1,685,347","-733,693",Financials in USD,Fiscal year is July - June
Preferred Dividends & Other Adjustments,-,-,-,"-611,196",-,Financials in USD,Fiscal year is July - June
Net Income to Common,"-8,817,963","-7,311,723","-11,114,402","-1,074,151","-733,693",Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"35,892,919","27,103,964","305,748",-,-,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"35,892,919","27,103,964","305,748",-,-,Financials in USD,Fiscal year is July - June
Shares Change (YoY),6450.974%,8764.805%,-,-,-,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.246,-0.270,-36.352,-,-,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.246,-0.270,-36.352,-,-,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-18,010,574","-16,068,306","-1,336,121","-1,442,028","-670,820",Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.502,-0.593,-4.370,-,-,Financials in USD,Fiscal year is July - June
EBIT,"-8,816,338","-7,310,098","-11,114,402","-1,685,347","-733,693",Financials in USD,Fiscal year is July - June
