Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"727,000","1,435,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,515,000","1,347,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-788,000","88,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,582,000","16,156,000","7,357,000","5,480,000","7,778,000","7,541,000","7,734,000","7,464,000","8,044,000","8,948,000","7,463,000","7,607,000","5,669,000","6,400,000","4,605,000","4,432,000","2,919,000","1,672,000","1,925,000","1,821,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"27,731,000","454,317,000","12,842,000","15,351,000","18,561,000","18,590,000","18,787,000","16,871,000","21,294,000","28,922,000","20,729,000","18,215,000","17,122,000","14,034,000","15,879,000","9,336,000","8,627,000","7,345,000","7,295,000","8,800,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"47,313,000","470,473,000","20,199,000","20,831,000","26,339,000","26,131,000","26,521,000","24,335,000","29,338,000","37,870,000","28,192,000","25,822,000","22,791,000","20,434,000","20,484,000","13,768,000","11,546,000","9,017,000","9,220,000","10,621,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-48,101,000","-470,385,000","-20,199,000","-20,831,000","-26,339,000","-26,131,000","-26,521,000","-24,335,000","-29,338,000","-37,870,000","-28,192,000","-25,822,000","-22,791,000","-20,434,000","-20,484,000","-13,768,000","-11,546,000","-9,017,000","-9,220,000","-10,621,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-120,000","-132,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,726,000","7,144,000","7,130,000","7,023,000","6,523,000","6,086,000","4,979,000","3,523,000","2,127,000","841,000","958,000","902,000","847,000","776,000","438,000","459,000","445,000","522,000","519,000","633,000",Upgrade,Financials in USD,Fiscal year is January - December
