Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Revenue,-,-,"1,000,000","7,600,000","1,900,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-86.842%,300.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"100,000","200,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"900,000","7,400,000","1,900,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,916,000","13,862,000","12,582,000","11,320,000","9,600,000","9,923,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"19,756,000","24,007,000","20,268,000","15,674,000","9,282,000","7,285,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"31,672,000","37,869,000","32,850,000","26,994,000","18,882,000","17,208,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-31,672,000","-37,869,000","-31,950,000","-19,594,000","-16,982,000","-17,208,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"492,000","525,000","317,000","6,000","26,000","118,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"4,000","36,000","15,000","-97,000","1,136,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-31,180,000","-37,340,000","-31,597,000","-19,573,000","-17,053,000","-15,954,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,100,000",-,"296,000","4,337,000","279,000","-586,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-32,280,000","-37,340,000","-41,301,000","-20,936,000","-16,774,000","-19,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-237,000","-17,000","-81,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-32,280,000","-37,340,000","-41,301,000","-20,699,000","-16,757,000","-19,292,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"78,000","8,659,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-32,280,000","-37,340,000","-41,301,000","-20,699,000","-16,835,000","-27,951,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"50,406,638","27,777,111","19,395,709","15,481,113","7,977,104","2,558,755",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"50,406,638","27,777,111","19,395,709","15,481,113","7,977,104","2,558,755",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),99.455%,43.213%,25.286%,94.069%,211.757%,878.334%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.640,-1.344,-2.129,-1.337,-2.110,-10.924,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.640,-1.344,-2.129,-1.337,-2.110,-10.924,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-33,074,000","-31,410,000","-23,809,000","-26,021,000","-10,417,000","-17,643,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.656,-1.131,-1.228,-1.681,-1.306,-6.895,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,90.000%,97.368%,100.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-3195.000%,-257.816%,-893.789%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-4130.100%,-272.355%,-886.053%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-2380.900%,-342.382%,-548.263%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-31,672,000","-37,869,000","-31,950,000","-19,594,000","-16,982,000","-17,208,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-257.816%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
