Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"25,515,000","34,155,000","19,228,000","1,319,000","430,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-21.661%,77.632%,1357.771%,206.744%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"107,810,000","109,689,000","105,618,000","80,325,000","57,715,000","44,362,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-82,295,000","-75,534,000","-86,390,000","-79,006,000","-57,285,000","-44,362,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","29,028,000","32,372,000","30,747,000","21,728,000","11,246,000","6,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"-9,585,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"19,443,000","32,372,000","30,747,000","21,728,000","11,246,000","6,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-101,738,000","-107,906,000","-117,137,000","-100,734,000","-68,531,000","-51,084,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-1,906,000","-979,000","-540,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"11,464,000","10,875,000","5,675,000","59,000","100,000","495,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,435,000","2,831,000","2,580,000","2,494,000","832,000","1,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-86,839,000","-94,200,000","-108,882,000","-100,087,000","-68,578,000","-51,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-1,233,000","-222,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-89,237,000","-94,200,000","-108,882,000","-101,320,000","-68,800,000","-51,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,986,000","4,226,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-91,223,000","-98,426,000","-108,882,000","-101,320,000","-68,800,000","-51,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-91,223,000","-98,426,000","-108,882,000","-101,320,000","-68,800,000","-51,128,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"49,739,705","41,974,484","41,591,433","37,171,147","11,046,802","4,191,793",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"49,739,705","41,974,484","41,591,433","37,171,147","11,046,802","4,191,793",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),18.803%,0.921%,11.892%,236.488%,163.534%,42.246%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.834,-2.345,-2.618,-2.726,-6.228,-12.197,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.834,-2.345,-2.618,-2.726,-6.228,-12.197,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-103,892,000","-119,330,000","192,402,000","-53,563,000","-47,469,000","-47,303,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.089,-2.843,4.626,-1.441,-4.297,-11.285,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-221.151%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-398.738%,-315.930%,-609.200%,-7637.149%,-15937.442%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-357.527%,-288.174%,-566.268%,-7681.577%,-16000.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-407.180%,-349.378%,1000.634%,-4060.879%,-11039.302%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-98,527,000","-104,455,000","-113,816,000","-97,507,000","-67,204,000","-50,391,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,211,000","3,451,000","3,321,000","3,227,000","1,327,000","693,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-101,738,000","-107,906,000","-117,137,000","-100,734,000","-68,531,000","-51,084,000",Upgrade,Financials in USD,Fiscal year is January - December
