Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",2019 - 2018,,
Revenue,"18,626","18,626","147,805","349,943","483,626",-,Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-87.398%,-87.398%,-57.763%,-27.642%,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,"109,356","109,356","121,265","21,444,019","16,634,553","9,877,555",Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"-90,730","-90,730","26,540","-21,094,076","-16,150,927","-9,877,555",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","6,130,845","6,130,845","7,125,732","8,575,283","8,936,509","7,533,722",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"5,627,896","5,627,896","11,693,425",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"11,758,741","11,758,741","18,819,157","8,575,283","8,936,509","7,533,722",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-11,849,471","-11,849,471","-18,792,617","-29,669,359","-25,087,436","-17,411,277",Upgrade,Financials in USD,Fiscal year is October - September
Interest & Investment Income,-,-,-,-,15,"20,677",Upgrade,Financials in USD,Fiscal year is October - September
Currency Exchange Gain (Loss),"84,293","84,293","-40,077","-52,482","-22,041","-48,020",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"4,327,946","4,327,946",-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-7,437,232","-7,437,232","-18,832,694","-29,721,841","-25,109,462","-17,438,620",Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,-,"125,501",-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-7,437,232","-7,437,232","-18,832,694","-29,721,841","-24,983,961","-24,265,115",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-7,437,232","-7,437,232","-18,832,694","-29,721,841","-24,983,961","-24,265,115",Upgrade,Financials in USD,Fiscal year is October - September
Preferred Dividends & Other Adjustments,-,-,-,-,-,"41,338,934",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-7,437,232","-7,437,232","-18,832,694","-29,721,841","-24,983,961","-65,604,049",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"655,240","655,240","129,760","24,683",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"655,240","655,240","129,760","24,683",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),404.963%,404.963%,425.706%,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-11.350,-11.350,-145.135,-1204.142,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-11.350,-11.350,-145.135,-1204.142,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-8,607,723","-8,607,723","-21,341,842","-27,773,528","-22,555,868","-15,690,962",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-13.137,-13.137,-164.472,-1125.209,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,-,-,17.956%,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-63617.905%,-63617.905%,-12714.466%,-8478.340%,-5187.363%,-,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-39929.303%,-39929.303%,-12741.581%,-8493.338%,-5165.967%,-,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-46213.481%,-46213.481%,-14439.188%,-7936.586%,-4663.907%,-,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,"-11,836,628","-11,836,628","-18,779,772","-29,656,514","-25,074,980","-17,402,983",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"12,843","12,843","12,845","12,845","12,456","8,294",Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-11,849,471","-11,849,471","-18,792,617","-29,669,359","-25,087,436","-17,411,277",Upgrade,Financials in USD,Fiscal year is October - September
