Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","1,604,249","2,545,296","2,138,241","1,512,190","1,991,774","3,079,301","1,500,554","1,476,524","1,256,972","1,005,099","1,620,139","1,301,890","1,053,481","1,415,773","1,480,967","526,698","511,336","740,913","347,031","-100,653",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"6,858,285","5,584,347","5,783,865","8,476,295","9,572,180","8,256,336","5,484,145","10,219,636","2,305,981","4,514,389","5,830,018","2,662,753","1,423,359","374,329","391,161",-,955,"36,471","271,246","142,367",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,462,534","8,129,643","7,922,106","9,988,485","11,563,954","11,335,637","6,984,699","11,696,160","3,562,953","5,519,488","7,450,157","3,964,643","2,476,840","1,790,102","1,872,128","526,698","512,291","777,384","618,277","41,714",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,462,534","-8,129,643","-7,922,106","-9,988,485","-11,563,954","-11,335,637","-6,984,699","-11,696,160","-3,562,953","-5,519,488","-7,450,157","-3,964,643","-2,476,840","-1,790,102","-1,872,128","-526,698","-512,291","-777,384","-618,277","-41,714",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,146","-5,153","-3,487",-,"-5,901","-12,759","-7,655",-,-,-,-,-,-547,"-3,549",-,"-1,077,933","-146,250","-99,053","-129,885","-32,471",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"53,248","87,610","173,098","177,524","91,763","103,080","147,011","114,092","53,150","13,825","1,735","1,534",-,-,148,"55,179",-,"25,004",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"48,634","194,652","326,283","81,976","144,273","-456,196","-3,368","-449,991","-3,641","171,880","87,043","278,156","200,273","189,146","923,480","25,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,365,798","-7,852,534","-7,426,212","-9,728,985","-11,333,819","-11,701,512","-6,848,711","-12,032,059","-3,513,444","-5,333,783","-7,361,379","-3,684,953","-2,277,114","-1,604,505","-948,500","-1,524,452","-658,541","-851,433","-748,162","-74,185",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"7,385","7,396","-4,582","12,117","6,436","2,978","8,363","1,864","6,921","3,629",-,"2,102","3,902",800,-547,547,-,800,-,Upgrade,Financials in USD,Fiscal year is January - December
