Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","39,505,000","37,704,000","33,693,000","22,616,000","7,957,000","3,676,000",Financials in USD,Fiscal year is January - December
Research & Development,"111,042,000","103,821,000","113,957,000","73,922,000","29,550,000","9,618,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"150,547,000","141,525,000","147,650,000","96,538,000","37,507,000","13,294,000",Financials in USD,Fiscal year is January - December
Operating Income,"-150,547,000","-141,525,000","-147,650,000","-96,538,000","-37,507,000","-13,294,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"19,048,000","16,712,000","4,902,000","190,000","336,000","1,303,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-420,000","-229,000","-257,000","-15,568,000","7,256,000","-49,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-131,919,000","-125,042,000","-143,005,000","-111,916,000","-29,915,000","-12,040,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"2,200,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-159,119,000","-125,042,000","-242,805,000","-122,764,000","-101,660,000","-12,040,000",Financials in USD,Fiscal year is January - December
Net Income,"-159,119,000","-125,042,000","-242,805,000","-122,764,000","-101,660,000","-12,040,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-159,119,000","-125,042,000","-242,805,000","-122,764,000","-101,660,000","-12,040,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"200,701,504","150,184,994","122,024,848","66,290,592","21,037,540","19,829,704",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"200,701,504","150,184,994","122,024,848","66,290,592","21,037,540","19,829,704",Financials in USD,Fiscal year is January - December
Shares Change (YoY),38.989%,23.077%,84.076%,215.106%,6.091%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.793,-0.833,-1.990,-1.852,-4.832,-0.607,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.793,-0.833,-1.990,-1.852,-4.832,-0.607,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-109,783,000","-102,992,000","-117,815,000","-90,805,000","-33,633,000","-10,975,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.547,-0.686,-0.966,-1.370,-1.599,-0.553,Financials in USD,Fiscal year is January - December
EBITDA,"-146,632,000","-137,793,000","-145,009,000","-95,709,000","-36,967,000","-12,984,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,915,000","3,732,000","2,641,000","829,000","540,000","310,000",Financials in USD,Fiscal year is January - December
EBIT,"-150,547,000","-141,525,000","-147,650,000","-96,538,000","-37,507,000","-13,294,000",Financials in USD,Fiscal year is January - December
