Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters,,
"Selling, General & Admin","3,374,794","4,156,606","3,393,463","2,941,243","4,071,158","4,691,321","3,578,728","2,666,272","2,926,209","3,331,006","3,317,907","2,932,402","3,274,325","2,341,828","1,636,216","1,549,838","1,846,214","1,521,736","2,060,148","1,623,336",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"6,803,900","4,527,698","6,704,164","7,465,718","6,448,528","8,004,852","5,843,686","16,155,080","4,352,987","3,761,646","5,161,315","3,389,289","3,687,999","2,764,195","1,413,057","2,477,732","2,060,815","1,414,225","1,971,679","1,348,272",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,178,694","8,684,304","10,097,627","10,406,961","10,519,686","12,696,173","9,422,414","18,821,352","7,279,196","7,092,652","8,479,222","6,321,691","6,962,324","5,106,023","3,049,273","4,027,570","3,907,029","2,935,961","4,031,827","2,971,608",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,178,694","-8,684,304","-10,097,627","-10,406,961","-10,519,686","-12,696,173","-9,422,414","-18,821,352","-7,279,196","-7,092,652","-8,479,222","-6,321,691","-6,962,324","-5,106,023","-3,049,273","-4,027,570","-3,907,029","-2,935,961","-4,031,827","-2,971,608",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,214,734","-1,187,971","-1,174,745","-1,174,793","-1,068,887","-995,397","-966,845","-919,193","-397,327",-,-,-,-,-,-,-,-,-,-,"-32,953",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"666,770","675,209","668,895","683,540","739,404","750,654","729,341","602,862","252,073","74,547","5,700","1,729","1,358",604,655,764,"1,207","6,617","46,419","58,796",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,726,658","-9,197,066","-10,603,477","-10,898,214","-10,849,169","-12,940,916","-9,659,918","-19,137,683","-7,424,450","-7,018,105","-8,473,522","-6,319,962","-6,960,966","-5,105,419","-3,048,618","-4,026,806","-3,905,822","-2,929,344","-3,985,408","-2,945,765",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,360,409",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,726,658","-9,197,066","-10,603,477","-10,898,214","-10,849,169","-12,940,916","-9,659,918","-19,137,683","-7,424,450","-7,018,105","-8,473,522","-6,319,962","-6,960,966","-5,105,419","-3,048,618","-4,026,806","-3,905,822","-2,929,344","-3,985,408","-4,559,356",Upgrade,Financials in USD,Fiscal year is January - December
