Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Sep '24 Sep 30, 2024","Sep '23 Sep 30, 2023","Aug '22 Aug 31, 2022","Aug '21 Aug 31, 2021","Aug '20 Aug 31, 2020",2019 - 2015,,
Revenue,"159,841,000","159,841,000","149,205,243","145,809,000","79,163,000","86,795,000",Upgrade,Financials in CAD,Fiscal year is October - September
Revenue Growth (YoY),0.686%,7.128%,2.329%,84.188%,-8.793%,7.937%,Upgrade,Financials in CAD,Fiscal year is October - September
Cost of Revenue,"112,317,000","112,317,000","114,132,010","114,240,000","107,562,000","137,190,000",Upgrade,Financials in CAD,Fiscal year is October - September
Gross Profit,"47,524,000","47,524,000","35,073,234","31,569,000","-28,399,000","-50,395,000",Upgrade,Financials in CAD,Fiscal year is October - September
"Selling, General & Admin","65,721,000","65,721,000","66,810,467","64,513,000","48,942,000","49,249,000",Upgrade,Financials in CAD,Fiscal year is October - September
Research & Development,"11,200,000","11,200,000","12,185,539","5,962,000","3,645,000",-,Upgrade,Financials in CAD,Fiscal year is October - September
Operating Expenses,"83,195,000","83,195,000","83,863,392","70,475,000","52,587,000","49,249,000",Upgrade,Financials in CAD,Fiscal year is October - September
Operating Income,"-35,671,000","-35,671,000","-48,790,158","-38,906,000","-80,986,000","-99,644,000",Upgrade,Financials in CAD,Fiscal year is October - September
Interest Expense,-,-,-,"-429,000","-2,960,000","-5,177,000",Upgrade,Financials in CAD,Fiscal year is October - September
Interest & Investment Income,"3,311,000","3,311,000","3,408,000","1,487,000","854,000","308,000",Upgrade,Financials in CAD,Fiscal year is October - September
Earnings From Equity Investments,"-5,284,000","-5,284,000","-926,769","-1,364,000","-1,118,000","-1,187,000",Upgrade,Financials in CAD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-8,479,000","-8,479,000","4,541,539","32,650,000","-29,828,000",-,Upgrade,Financials in CAD,Fiscal year is October - September
EBT Excluding Unusual Items,"-46,123,000","-46,123,000","-41,767,388","-6,562,000","-114,038,000","-105,700,000",Upgrade,Financials in CAD,Fiscal year is October - September
Merger & Restructuring Charges,-,-,-,-,-,"-6,095,000",Upgrade,Financials in CAD,Fiscal year is October - September
Impairment of Goodwill,-,-,"-38,749,849",-,-,-,Upgrade,Financials in CAD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,"633,000","633,000","-385,846","-6,580,000","-2,426,000",-,Upgrade,Financials in CAD,Fiscal year is October - September
Asset Writedown,-,-,"-155,198,782","-4,245,000","-10,834,000","-39,771,000",Upgrade,Financials in CAD,Fiscal year is October - September
Legal Settlements,-,-,-,"310,000","-2,750,000",-,Upgrade,Financials in CAD,Fiscal year is October - September
Other Unusual Items,"50,000","50,000","3,105,231","2,525,000","-656,000","4,938,000",Upgrade,Financials in CAD,Fiscal year is October - September
Pretax Income,"-45,440,000","-45,440,000","-232,996,635","-14,371,000","-130,704,000","-146,628,000",Upgrade,Financials in CAD,Fiscal year is October - September
Income Tax Expense,-,-,"-3,518,770","-88,000",-,"-10,471,000",Upgrade,Financials in CAD,Fiscal year is October - September
Earnings From Continuing Operations,"-45,440,000","-45,440,000","-229,477,865","-14,283,000","-130,704,000","-136,157,000",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income,"-45,440,000","-45,440,000","-229,477,865","-14,283,000","-130,704,000","-136,157,000",Upgrade,Financials in CAD,Fiscal year is October - September
Net Income to Common,"-45,440,000","-45,440,000","-229,477,865","-14,283,000","-130,704,000","-136,157,000",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Basic),"95,293,899","95,293,899","81,292,869","77,228,918","64,029,983","43,167,204",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Outstanding (Diluted),"95,293,899","95,293,899","81,292,869","77,228,918","64,029,983","43,167,204",Upgrade,Financials in CAD,Fiscal year is October - September
Shares Change (YoY),24.681%,17.223%,5.262%,20.614%,48.330%,22.527%,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Basic),-0.477,-0.477,-2.823,-0.185,-2.041,-3.154,Upgrade,Financials in CAD,Fiscal year is October - September
EPS (Diluted),-0.477,-0.477,-2.823,-0.185,-2.041,-3.156,Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow,"-859,000","-859,000","-62,695,390","-84,959,000","-40,346,000","-122,348,000",Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow Per Share,-0.009,-0.009,-0.771,-1.100,-0.630,-2.834,Upgrade,Financials in CAD,Fiscal year is October - September
Gross Margin,29.732%,29.732%,23.507%,21.651%,-35.874%,-58.062%,Upgrade,Financials in CAD,Fiscal year is October - September
Operating Margin,-22.317%,-22.317%,-32.700%,-26.683%,-102.303%,-114.804%,Upgrade,Financials in CAD,Fiscal year is October - September
Profit Margin,-28.428%,-28.428%,-153.800%,-9.796%,-165.107%,-156.872%,Upgrade,Financials in CAD,Fiscal year is October - September
Free Cash Flow Margin,-0.537%,-0.537%,-42.020%,-58.267%,-50.966%,-140.962%,Upgrade,Financials in CAD,Fiscal year is October - September
EBITDA,"-23,951,000","-23,951,000","-25,365,233","-15,055,000","-50,922,000","-82,445,000",Upgrade,Financials in CAD,Fiscal year is October - September
EBITDA Margin,-14.984%,-14.984%,-17.000%,-10.325%,-64.326%,-94.988%,Upgrade,Financials in CAD,Fiscal year is October - September
D&A For EBITDA,"11,720,000","11,720,000","23,424,925","23,851,000","30,064,000","17,199,000",Upgrade,Financials in CAD,Fiscal year is October - September
EBIT,"-35,671,000","-35,671,000","-48,790,158","-38,906,000","-80,986,000","-99,644,000",Upgrade,Financials in CAD,Fiscal year is October - September
EBIT Margin,-22.317%,-22.317%,-32.700%,-26.683%,-102.303%,-114.804%,Upgrade,Financials in CAD,Fiscal year is October - September
Revenue as Reported,"159,841,000","159,841,000","149,205,243","145,809,000","79,163,000","86,795,000",Upgrade,Financials in CAD,Fiscal year is October - September
