Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"15,342,000","15,083,000","15,893,000","15,190,000","9,109,000","56,214,000","16,549,000","14,440,000","14,852,000","79,851,000","24,474,000","13,994,000","182,413,000","6,568,000","4,110,000","4,853,000","5,904,000","3,170,000","7,171,000","6,001,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),68.427%,-73.169%,-3.964%,5.194%,-38.668%,-29.601%,-32.381%,3.187%,-91.858%,1115.758%,495.474%,188.358%,2989.651%,107.192%,-42.686%,-19.130%,118.991%,-54.171%,27.939%,-34.379%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"47,998,000","4,990,000","45,167,000","47,723,000","46,328,000","5,314,000","51,887,000","54,493,000","48,348,000","54,534,000","53,043,000","52,790,000","43,066,000","47,818,000","45,733,000","44,383,000","43,819,000","34,062,000","34,605,000","25,762,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-32,656,000","10,093,000","-29,274,000","-32,533,000","-37,219,000","50,900,000","-35,338,000","-40,053,000","-33,496,000","25,317,000","-28,569,000","-38,796,000","139,347,000","-41,250,000","-41,623,000","-39,530,000","-37,915,000","-30,892,000","-27,434,000","-19,761,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","13,573,000","14,375,000","14,434,000","14,920,000","13,364,000","13,626,000","14,777,000","15,385,000","14,252,000","15,842,000","15,554,000","16,933,000","13,018,000","14,075,000","11,012,000","13,228,000","15,834,000","15,697,000","14,644,000","11,423,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,"41,324,000",-,-,-,"40,863,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"13,573,000","55,699,000","14,434,000","14,920,000","13,364,000","54,489,000","14,777,000","15,385,000","14,252,000","15,842,000","15,554,000","16,933,000","13,018,000","14,075,000","11,012,000","13,228,000","15,834,000","15,697,000","14,644,000","11,423,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-46,229,000","-45,606,000","-43,708,000","-47,453,000","-50,583,000","-3,589,000","-50,115,000","-55,438,000","-47,748,000","9,475,000","-44,123,000","-55,729,000","126,329,000","-55,325,000","-52,635,000","-52,758,000","-53,749,000","-46,589,000","-42,078,000","-31,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,"3,057,000",-,-,-,"2,563,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"6,214,000","7,003,000",-,"7,685,000","7,360,000","6,357,000",-,"3,731,000","2,333,000","1,450,000","264,000","121,000","268,000","178,000","464,000","579,000","1,045,000","1,263,000","2,059,000","1,815,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-40,015,000","-38,603,000","-40,651,000","-39,768,000","-43,223,000","2,768,000","-47,552,000","-51,707,000","-45,415,000","10,925,000","-43,859,000","-55,608,000","126,597,000","-55,147,000","-52,171,000","-52,179,000","-52,704,000","-45,326,000","-40,019,000","-29,369,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"4,579,000",-,-,-,"2,596,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-2,205,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,158,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-42,220,000","-38,603,000","-36,072,000","-39,768,000","-43,223,000","2,768,000","-44,956,000","-51,707,000","-45,415,000","10,925,000","-43,859,000","-55,608,000","126,597,000","-55,147,000","-52,171,000","-52,179,000","-52,704,000","-45,326,000","-40,019,000","-30,527,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"73,000","7,000","1,666,000","1,252,000","1,393,000","901,000","721,000","733,000","1,042,000","758,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
