Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","16,771,000","14,088,000","12,276,000","12,069,000","11,397,000","2,424,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"56,988,000","27,670,000","24,250,000","38,396,000","31,407,000","20,790,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"73,759,000","41,758,000","36,526,000","50,465,000","42,804,000","23,214,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-73,759,000","-41,758,000","-36,526,000","-50,465,000","-42,804,000","-23,214,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"8,986,000","4,809,000","1,171,000","-171,000","322,000","82,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-64,773,000","-36,949,000","-35,355,000","-50,636,000","-42,482,000","-23,132,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-64,773,000","-36,949,000","-35,355,000","-50,636,000","-42,482,000","-23,132,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-64,773,000","-36,949,000","-35,355,000","-50,636,000","-42,482,000","-23,132,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"56,276,261","43,901,241","25,761,394","17,164,284","11,883,155","6,091,250",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"56,276,261","43,901,241","25,761,394","17,164,284","11,883,155","6,091,250",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),28.049%,70.415%,50.087%,44.442%,95.086%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.151,-0.842,-1.372,-2.950,-3.575,-3.798,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.151,-0.842,-1.372,-2.950,-3.575,-3.798,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-58,788,000","-33,623,000","-27,669,000","-42,438,000","-42,261,000","-22,782,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.045,-0.766,-1.074,-2.472,-3.556,-3.740,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-73,437,000","-41,447,000","-36,208,000","-50,139,000","-42,649,000","-23,136,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"322,000","311,000","318,000","326,000","155,000","78,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-73,759,000","-41,758,000","-36,526,000","-50,465,000","-42,804,000","-23,214,000",Upgrade,Financials in USD,Fiscal year is January - December
