Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+14 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+14 Quarters,,
"Selling, General & Admin","4,857,000","3,318,000","3,183,000","2,272,000","2,991,000","3,129,000","3,044,000","2,248,000","2,770,000","2,866,000","2,838,000","2,609,000","2,102,000","2,075,000","2,342,000","2,374,000","1,863,000","1,815,000","1,816,000","1,446,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"7,609,000","5,113,000","2,799,000","2,114,000","3,581,000","4,585,000","5,534,000","8,614,000","9,869,000","7,207,000","4,388,000","4,506,000","4,591,000","9,227,000","5,642,000","2,347,000","1,891,000","1,103,000","1,541,000","1,763,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,466,000","8,431,000","5,982,000","4,386,000","6,572,000","7,714,000","8,578,000","10,862,000","12,639,000","10,073,000","7,226,000","7,115,000","6,693,000","11,302,000","7,984,000","4,721,000","3,754,000","2,918,000","3,357,000","3,209,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,466,000","-8,431,000","-5,982,000","-4,386,000","-6,572,000","-7,714,000","-8,578,000","-10,862,000","-12,639,000","-10,073,000","-7,226,000","-7,115,000","-6,693,000","-11,302,000","-7,984,000","-4,721,000","-3,754,000","-2,918,000","-3,357,000","-3,209,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-366,000","-804,000","-813,000","-787,000","-781,000","-712,000","-573,000","-547,000","-481,000","-404,000","-357,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"673,000","833,000","368,000","208,000","262,000","193,000","162,000","118,000","73,000","4,000","4,000","3,000","3,000","3,000","8,000","22,000","2,000","3,000","42,000","27,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-8,000","-2,000","-15,000","17,000","-17,000","-6,000","-3,000","59,000","-30,000","5,000","6,000","-39,000","-1,000","-12,000","-23,000","-25,000","-12,000","-7,000","-5,000","-12,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,167,000","-8,404,000","-6,442,000","-4,948,000","-7,108,000","-8,239,000","-8,992,000","-11,232,000","-13,077,000","-10,468,000","-7,573,000","-7,151,000","-6,691,000","-11,311,000","-7,999,000","-4,724,000","-3,764,000","-2,922,000","-3,320,000","-3,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-345,000","-57,000","-52,000","-528,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,512,000","-8,461,000","-6,494,000","-5,476,000","-7,108,000","-8,239,000","-8,992,000","-11,232,000","-13,077,000","-10,468,000","-7,573,000","-7,151,000","-6,691,000","-11,311,000","-7,999,000","-4,724,000","-3,764,000","-2,922,000","-3,320,000","-3,194,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-12,512,000","-8,461,000","-6,494,000","-5,476,000","-7,108,000","-8,239,000","-8,992,000","-11,232,000","-13,077,000","-10,468,000","-7,573,000","-7,151,000","-6,691,000","-11,311,000","-7,999,000","-4,724,000","-3,764,000","-2,922,000","-3,320,000","-3,194,000",Upgrade,Financials in USD,Fiscal year is January - December
