Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
"Selling, General & Admin","3,630,000","4,695,000","4,971,000","2,609,000","4,663,000","4,231,000","3,826,000","3,551,000","4,344,000","9,059,000","9,106,000","8,331,000","7,639,000","7,064,000","6,489,000","4,995,000","4,929,000","4,185,000","3,478,000","2,922,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,916,000","4,147,000","3,702,000","3,234,000","1,431,000","1,353,000","3,230,000","2,768,000","2,451,000","7,199,000","12,757,000","15,213,000","14,038,000","14,719,000","16,824,000","15,857,000","16,983,000","14,086,000","14,380,000","10,027,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,546,000","8,842,000","8,673,000","5,843,000","6,094,000","5,584,000","7,056,000","6,319,000","6,795,000","16,258,000","21,863,000","23,544,000","21,677,000","21,783,000","23,313,000","20,852,000","21,912,000","18,271,000","17,858,000","12,949,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,546,000","-8,842,000","-8,673,000","-5,843,000","-6,094,000","-5,584,000","-7,056,000","-6,319,000","-6,795,000","-16,258,000","-21,863,000","-23,544,000","-21,677,000","-21,783,000","-23,313,000","-20,852,000","-21,912,000","-18,271,000","-17,858,000","-12,949,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"683,000","823,000","887,000","1,014,000","959,000","805,000","700,000","536,000","315,000","145,000","72,000","105,000","128,000","160,000","227,000","297,000","406,000","659,000","682,000","570,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-300,000",-,-,"1,000",-,-,-,"-267,000",-,-,-,"-247,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,000","-324,000","-787,000","29,000","-216,000","-107,000","-246,000","533,000","-616,000","-735,000","150,000","287,000","-157,000","-131,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,162,000","-8,343,000","-8,573,000","-4,799,000","-5,351,000","-4,886,000","-6,602,000","-5,517,000","-7,096,000","-16,848,000","-21,641,000","-23,399,000","-21,706,000","-21,754,000","-23,086,000","-20,555,000","-21,506,000","-17,612,000","-17,176,000","-12,379,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-2,500,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-17,130,000",-,-,-,-,-,-,"-825,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
