Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022",,
"Selling, General & Admin","5,372,847","3,497,411","3,342,580","3,434,908","3,891,897","1,348,527","1,866,215","774,151","2,171,982","685,498",Financials in USD,Fiscal year is October - September
Research & Development,"1,296,101","1,131,439","1,348,966","1,148,495","1,151,790","1,235,068","919,309","934,284","5,243,172","1,612,546",Financials in USD,Fiscal year is October - September
Operating Expenses,"6,668,948","4,628,850","4,691,546","4,583,403","5,043,687","2,583,595","2,785,524","1,708,435","7,415,154","2,298,044",Financials in USD,Fiscal year is October - September
Operating Income,"-6,668,948","-4,628,850","-4,691,546","-4,583,403","-5,043,687","-2,583,595","-2,785,524","-1,708,435","-7,415,154","-2,298,044",Financials in USD,Fiscal year is October - September
Pretax Income,"-6,668,948","-4,628,850","-4,691,546","-4,583,403","-5,043,687","-2,583,595","-2,785,524","-1,708,435","-7,415,154","-2,298,044",Financials in USD,Fiscal year is October - September
Income Tax Expense,"144,000","144,000","144,000","144,000","144,000","144,000","144,000","144,000","1,152,000",-,Financials in USD,Fiscal year is October - September
Net Income,"-6,812,948","-4,772,850","-4,835,546","-4,727,403","-5,187,687","-2,727,595","-2,929,524","-1,852,435","-8,567,154","-2,298,044",Financials in USD,Fiscal year is October - September
Net Income to Common,"-6,812,948","-4,772,850","-4,835,546","-4,727,403","-5,187,687","-2,727,595","-2,929,524","-1,852,435","-8,567,154","-2,298,044",Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"69,714,428","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000",Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"69,714,428","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000","67,500,000",Financials in USD,Fiscal year is October - September
Shares Change (YoY),3.281%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.098,-0.071,-0.072,-0.070,-0.077,-0.040,-0.043,-0.027,-0.127,-0.034,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.098,-0.071,-0.072,-0.070,-0.077,-0.040,-0.043,-0.027,-0.127,-0.034,Financials in USD,Fiscal year is October - September
Free Cash Flow,"126,353",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,0.002,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is October - September
EBIT,"-6,668,948","-4,628,850","-4,691,546","-4,583,403","-5,043,687","-2,583,595","-2,785,524","-1,708,435","-7,415,154","-2,298,044",Financials in USD,Fiscal year is October - September
