Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"50,025,000","41,504,000","27,178,000","19,453,000","7,014,000","1,496,000",-,-,-,-,-,-,-,-,-,-,-,"10,091,000","12,243,000","10,995,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"50,025,000","41,504,000","27,178,000","19,453,000","7,014,000","1,496,000",-,-,-,-,-,-,-,-,-,-,-,"10,091,000","12,243,000","10,995,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),613.216%,2674.332%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-42.515%,-25.516%,-47.443%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"6,155,000","2,788,000","1,522,000","693,000","117,000","36,000",-,-,-,-,-,-,-,-,-,-,-,"3,285,000","2,457,000","2,414,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"43,870,000","38,716,000","25,656,000","18,760,000","6,897,000","1,460,000",-,-,-,-,-,-,-,-,-,-,-,"6,806,000","9,786,000","8,581,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","40,394,000","47,406,000","48,623,000","41,301,000","39,158,000","46,778,000","24,468,000","16,981,000","14,096,000","21,804,000","21,635,000","21,026,000","21,283,000","15,174,000","11,012,000","8,974,000","8,423,000","7,095,000","7,913,000","7,663,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,803,000","4,051,000","3,068,000","2,359,000","2,849,000","4,223,000","3,830,000","6,235,000","2,933,000","4,541,000","6,991,000","2,110,000","4,380,000","6,762,000","3,852,000","5,286,000","5,569,000","4,057,000","5,530,000","7,757,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"44,197,000","51,457,000","51,691,000","43,660,000","42,007,000","51,001,000","28,298,000","23,216,000","17,029,000","26,345,000","28,626,000","23,136,000","25,663,000","21,936,000","14,864,000","14,260,000","13,992,000","11,355,000","13,646,000","15,626,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-327,000","-12,741,000","-26,035,000","-24,900,000","-35,110,000","-49,541,000","-28,298,000","-23,216,000","-17,029,000","-26,345,000","-28,626,000","-23,136,000","-25,663,000","-21,936,000","-14,864,000","-14,260,000","-13,992,000","-4,549,000","-3,860,000","-7,045,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,820,000","-2,716,000","-2,592,000","-2,354,000","-1,978,000","-2,295,000","-3,259,000","-3,293,000","-3,564,000","-3,506,000","-2,017,000","-4,154,000","-1,929,000","-1,930,000","-1,929,000","-3,308,000","-3,259,000","-3,237,000","-3,190,000","-3,190,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"279,000","417,000","980,000","96,000","918,000","623,000","253,000",-,"445,000","192,000","382,000","814,000","533,000","430,000","667,000","52,000","85,000","51,000","218,000","67,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,868,000","-15,040,000","-27,647,000","-27,158,000","-36,170,000","-51,213,000","-31,304,000","-26,509,000","-20,148,000","-29,659,000","-30,261,000","-26,476,000","-27,059,000","-23,436,000","-16,126,000","-17,516,000","-17,166,000","-7,735,000","-6,832,000","-10,168,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,"178,000","69,000","-3,592,000",-,-,-,-,"53,000",-,"226,000","-24,000","-159,000","-1,841,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"331,000","709,000","398,000","-1,728,000","-15,000",-,"-60,000","-1,034,000","3,000",-,"-486,000","-2,000","-44,000","2,000","-57,000","22,000","128,000","8,000","-596,000","204,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,760,000",-,"162,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-800,000",-,"-1,750,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-13,129,000",-,-,-,-,-,"-166,000",-,"88,000","78,000","3,364,000","69,000","-1,043,000","-2,788,000","1,657,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,537,000","-14,331,000","-27,249,000","-28,886,000","-36,185,000","-64,342,000","-31,364,000","-27,365,000","-20,076,000","-33,251,000","-30,747,000","-26,644,000","-27,103,000","-23,346,000","-16,052,000","-14,130,000","-16,743,000","36,166,000","-10,375,000","-11,736,000",Upgrade,Financials in USD,Fiscal year is January - December
