Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
"Selling, General & Admin","3,248,000","3,569,000","1,939,000","3,502,000","2,154,000","2,255,000","1,644,000","3,086,000","2,633,000","2,361,000","2,477,000","3,839,000","2,845,000","3,098,000","2,493,000","3,238,000","2,394,000","2,297,000","2,058,000","4,731,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"7,279,000","6,897,000","4,105,000","1,770,000","5,641,000","3,818,000","4,564,000","2,094,000","3,536,000","4,584,000","4,929,000","5,566,000","6,608,000","3,824,000","5,670,000","5,451,000","6,056,000","3,717,000","3,529,000","5,031,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,527,000","10,466,000","6,044,000","5,272,000","7,795,000","6,073,000","6,208,000","5,560,000","6,549,000","7,324,000","7,786,000","9,785,000","9,833,000","7,302,000","8,542,000","9,068,000","8,830,000","6,394,000","5,966,000","9,762,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,527,000","-10,466,000","-6,044,000","-5,272,000","-7,795,000","-6,073,000","-6,208,000","-5,560,000","-6,549,000","-7,324,000","-7,786,000","-9,785,000","-9,833,000","-7,302,000","-8,542,000","-9,068,000","-8,830,000","-6,394,000","-5,966,000","-9,762,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,000",-,"-2,615,000","-520,000","-574,000","-745,000","-565,000","-807,000","-555,000","-488,000","-461,000","-537,000","-172,000",-,-,-,"-5,000",-,-,"-281,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"332,000","316,000",-,"88,000","382,000","325,000","327,000",-,"280,000","339,000","87,000",-,-,-,"143,000","393,000",-,"188,000","121,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"183,000",-,-,-,"451,000",-,-,-,"-77,000",-,-,-,"-346,000",-,-,-,"483,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"20,643,000","11,909,000","-7,922,000","31,000","89,000","90,000","91,000","69,000","52,000",-,-,"-7,000","-16,000","-31,000",-,"-7,000",-,-,-,"-64,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"10,443,000","1,759,000","-16,581,000","-5,490,000","-7,898,000","-6,403,000","-6,355,000","-5,847,000","-6,772,000","-7,473,000","-8,160,000","-10,406,000","-10,021,000","-7,333,000","-8,399,000","-9,028,000","-8,835,000","-6,206,000","-5,845,000","-9,624,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"741,000","-741,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-801,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"1,976,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"-116,000",-,-,"-56,000","324,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"9,642,000","4,476,000","-17,322,000","-5,490,000","-7,898,000","-6,403,000","-6,355,000","-5,847,000","-6,772,000","-7,473,000","-8,160,000","-10,406,000","-10,021,000","-7,333,000","-8,399,000","-9,144,000","-8,835,000","-6,206,000","-5,901,000","-9,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"5,000","5,000","1,000","8,000","8,000","6,000","39,000","8,000","9,000","9,000","51,000","10,000","3,000","3,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"9,642,000","4,471,000","-17,327,000","-5,491,000","-7,906,000","-6,411,000","-6,361,000","-5,886,000","-6,780,000","-7,482,000","-8,169,000","-10,457,000","-10,031,000","-7,336,000","-8,402,000","-9,144,000","-8,835,000","-6,206,000","-5,901,000","-9,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"4,575,000","-1,059,000","-3,516,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,594,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"5,067,000","5,530,000","-13,811,000","-5,491,000","-7,906,000","-6,411,000","-6,361,000","-5,886,000","-6,780,000","-7,482,000","-8,169,000","-10,457,000","-10,031,000","-7,336,000","-8,402,000","-9,144,000","-8,835,000","-6,206,000","-5,901,000","-5,706,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"16,366,122","7,235,720","6,230,960","6,073,157","6,058,774","5,155,292","3,212,523","2,997,838","2,990,781","2,977,471","2,975,424","2,867,168","2,707,790","2,432,026","2,394,457","2,320,751","2,315,025","2,296,908","2,289,772","1,641,739",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"16,387,633","15,035,299","6,230,960","6,073,157","6,058,774","5,155,292","3,212,523","2,997,838","2,990,781","2,977,471","2,975,424","2,867,168","2,707,790","2,432,026","2,394,457","2,320,751","2,315,025","2,296,908","2,289,772","1,641,739",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),170.478%,191.648%,93.958%,102.585%,102.582%,73.143%,7.969%,4.557%,10.451%,22.428%,24.263%,23.545%,16.966%,5.883%,4.572%,41.359%,1037.252%,1045.561%,1042.008%,197.092%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.310,0.764,-2.217,-0.904,-1.305,-1.244,-1.980,-1.963,-2.267,-2.513,-2.745,-3.647,-3.704,-3.016,-3.509,-3.940,-3.816,-2.702,-2.577,-3.476,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.310,-1.833,-2.217,-0.904,-1.305,-1.244,-1.980,-1.963,-2.267,-2.513,-2.745,-3.647,-3.704,-3.016,-3.509,-3.940,-3.816,-2.702,-2.577,-3.476,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,107,000","-11,246,000","-11,356,000","-6,249,000","-5,954,000","-4,078,000","-5,055,000","-7,200,000","-5,482,000","-9,139,000","-7,383,000","-9,193,000","-6,995,000","-7,237,000","-7,830,000","-7,469,000","-6,111,000","-4,746,000","-7,130,000","-7,399,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.495,-0.748,-1.823,-1.029,-0.983,-0.791,-1.574,-2.402,-1.833,-3.069,-2.481,-3.206,-2.583,-2.976,-3.270,-3.218,-2.640,-2.066,-3.114,-4.507,Upgrade,Financials in USD,Fiscal year is January - December
