Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"14,608,000","16,661,000","15,493,000","6,617,000","656,000","116,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-13.192%,7.539%,134.139%,908.689%,465.517%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"7,577,000","8,155,000","8,400,000","3,205,000",-,"12,393,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"7,031,000","8,506,000","7,093,000","3,412,000","656,000","-12,277,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","56,745,000","58,950,000","58,531,000","45,764,000","15,363,000","4,606,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"49,131,000","53,019,000","45,797,000","29,121,000","18,942,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"105,876,000","111,969,000","104,328,000","74,885,000","34,305,000","4,606,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-98,845,000","-103,463,000","-97,235,000","-71,473,000","-33,649,000","-16,883,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-22,000",-,"-5,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"17,821,000","17,764,000","4,602,000","326,000","883,000","850,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-771,000","-578,000","-333,000",-,"-9,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-82,656,000","-86,277,000","-92,966,000","-71,169,000","-32,775,000","-16,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-82,656,000","-86,277,000","-92,966,000","-71,169,000","-32,775,000","-16,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-82,656,000","-86,277,000","-92,966,000","-71,169,000","-32,775,000","-16,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"63,621,124","63,850,490","62,433,613","60,863,950","13,216,657","6,952,419",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"63,621,124","63,850,490","62,433,613","60,863,950","13,216,657","6,952,419",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.171%,2.269%,2.579%,360.509%,90.102%,74.977%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.299,-1.351,-1.489,-1.169,-2.480,-2.307,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.299,-1.351,-1.489,-1.169,-2.480,-2.307,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-50,801,000","-66,374,000","-71,045,000","-53,269,000","-25,362,000","-17,204,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.798,-1.040,-1.138,-0.875,-1.919,-2.475,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,48.131%,51.053%,45.782%,51.564%,100.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-676.650%,-620.989%,-627.606%,-1080.142%,-5129.421%,-14554.310%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-565.827%,-517.838%,-600.052%,-1075.548%,-4996.189%,-13825.862%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-347.762%,-398.379%,-458.562%,-805.032%,-3866.159%,-14831.034%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-92,697,000","-97,885,000","-93,293,000","-68,915,000","-32,043,000","-16,182,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"6,148,000","5,578,000","3,942,000","2,558,000","1,606,000","701,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-98,845,000","-103,463,000","-97,235,000","-71,473,000","-33,649,000","-16,883,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"14,608,000","16,661,000","15,493,000","6,617,000","656,000","116,000",Upgrade,Financials in USD,Fiscal year is January - December
