Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Shares Change (YoY),28.060%,26.803%,22.657%,20.219%,0.984%,0.461%,0.606%,0.563%,0.868%,1.095%,1.400%,7.264%,36.179%,1171.748%,1174.369%,1109.978%,856.739%,2.505%,4.731%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.583,-0.760,-0.710,-0.928,-1.239,-0.836,-0.739,-0.753,-0.867,-0.809,-0.604,-0.702,-0.608,-0.404,-0.354,-0.497,-0.363,-4.415,-2.366,-2.829,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.583,-0.760,-0.710,-0.928,-1.239,-0.836,-0.739,-0.753,-0.867,-0.809,-0.604,-0.702,-0.608,-0.404,-0.354,-0.497,-0.363,-4.415,-2.366,-2.829,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-25,525,000","-26,656,000","-38,072,000","-39,826,000","-29,856,000","-33,450,000","-28,506,000","-21,057,000","-31,075,000","-17,255,000","-21,263,000","-17,749,000","-25,254,000","-20,622,000","-5,142,000","-13,626,000","-9,558,000","-6,163,000","-8,973,000","-2,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.484,-0.514,-0.760,-0.813,-0.726,-0.818,-0.698,-0.517,-0.763,-0.424,-0.524,-0.438,-0.625,-0.512,-0.128,-0.361,-0.322,-1.947,-2.855,-0.901,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.108%,9.008%,9.068%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2046.869%,-800.305%,-637.510%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2651.233%,-1135.420%,-728.359%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1169.450%,-1369.924%,-231.822%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-32,347,667","-40,859,000","-37,548,000","-47,816,000","-53,066,000","-36,346,000","-31,990,000","-32,114,000","-36,586,000","-33,705,000","-24,689,000","-28,438,000","-24,570,000","-16,293,000","-14,203,000","-17,820,000","-9,804,000","-10,708,000","-5,129,000","-7,621,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"219,333","666,000","214,000","207,000","209,000","431,000","213,000","105,000","95,000","84,000","58,000","34,000","6,000","6,000","5,000","5,000","5,000","79,000","113,000","112,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-32,567,000","-41,525,000","-37,762,000","-48,023,000","-53,275,000","-36,777,000","-32,203,000","-32,219,000","-36,681,000","-33,789,000","-24,747,000","-28,472,000","-24,576,000","-16,299,000","-14,208,000","-17,825,000","-9,809,000","-10,787,000","-5,242,000","-7,733,000",Upgrade,Financials in USD,Fiscal year is January - December
