Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"388,000","37,000","83,000","143,000","8,000",-,-,-,-,-,-,"20,000,000",-,"100,000",-,-,-,-,-,"2,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),4750.000%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"49,225,000","40,515,000","38,258,000","37,493,000","34,140,000","32,534,000","31,091,000","24,867,000","21,039,000","23,281,000","18,078,000","18,833,000","14,832,000","9,983,000","11,495,000","9,674,000","8,395,000","7,264,000","8,527,000","4,161,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-48,837,000","-40,478,000","-38,175,000","-37,350,000","-34,132,000","-32,534,000","-31,091,000","-24,867,000","-21,039,000","-23,281,000","-18,078,000","1,167,000","-14,832,000","-9,883,000","-11,495,000","-9,674,000","-8,395,000","-7,264,000","-8,527,000","-1,661,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,820,000","9,961,000","10,308,000","9,105,000","9,148,000","8,803,000","7,778,000","7,093,000","6,937,000","7,447,000","6,048,000","6,033,000","5,365,000","5,658,000","4,274,000","3,617,000","3,553,000","3,650,000","1,977,000","1,067,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,820,000","9,961,000","10,308,000","9,105,000","9,148,000","8,803,000","7,778,000","7,093,000","6,937,000","7,447,000","6,048,000","6,033,000","5,365,000","5,658,000","4,274,000","3,617,000","3,553,000","3,650,000","1,977,000","1,067,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-58,657,000","-50,439,000","-48,483,000","-46,455,000","-43,280,000","-41,337,000","-38,869,000","-31,960,000","-27,976,000","-30,728,000","-24,126,000","-4,866,000","-20,197,000","-15,541,000","-15,769,000","-13,291,000","-11,948,000","-10,914,000","-10,504,000","-2,728,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,"-1,000","-1,000","-1,000","-1,000","-1,000","-1,000","-2,000","-1,000","-2,000","-1,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,793,000","5,378,000","5,806,000","14,755,000","3,907,000","3,987,000","3,105,000","3,644,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
