Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",,
Operating Revenue,-,-,"79,843","147,536",-,-,Financials in AUD,Fiscal year is July - June
Other Revenue,"143,313","143,313","263,058","224,535","159,869",-,Financials in AUD,Fiscal year is July - June
Revenue,"143,313","143,313","342,901","372,071","159,869",-,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-61.482%,-58.206%,-7.840%,132.735%,-,-,Financials in AUD,Fiscal year is July - June
Cost of Revenue,-,-,"48,925","94,874",-,-,Financials in AUD,Fiscal year is July - June
Gross Profit,"143,313","143,313","293,976","277,197","159,869",-,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","1,100,154","1,100,154","1,419,534","1,019,732","463,733","230,521",Financials in AUD,Fiscal year is July - June
Research & Development,"276,057","276,057","665,035","529,017","277,055","342,357",Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"162,867","162,867","84,259","58,436","8,760","2,819",Financials in AUD,Fiscal year is July - June
Operating Expenses,"2,750,974","2,750,974","3,395,319","2,857,167","807,493","578,084",Financials in AUD,Fiscal year is July - June
Operating Income,"-2,607,661","-2,607,661","-3,101,343","-2,579,970","-647,624","-578,084",Financials in AUD,Fiscal year is July - June
Interest Expense,"-585,120","-585,120","-403,521","-174,503","-1,297",-,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"3,571","3,571","54,830","1,017",-,-,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-181,904","-181,904","-278,867","-615,435",-,-,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-3,371,114","-3,371,114","-3,728,901","-3,368,891","-648,921","-578,084",Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,"-175,081","-175,081",-,-,-,-,Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,"222,681",-,-,"48,464",Financials in AUD,Fiscal year is July - June
Pretax Income,"-3,546,195","-3,546,195","-3,506,220","-3,368,891","-648,921","-529,620",Financials in AUD,Fiscal year is July - June
Income Tax Expense,-,-,-,-,-,"-154,033",Financials in AUD,Fiscal year is July - June
Net Income,"-3,546,195","-3,546,195","-3,506,220","-3,368,891","-648,921","-375,587",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-3,546,195","-3,546,195","-3,506,220","-3,368,891","-648,921","-375,587",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"8,118,075","8,118,075","7,940,026","7,336,000","2,825,196","2,302,797",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"8,118,075","8,118,075","7,940,026","7,336,000","2,825,196","2,302,797",Financials in AUD,Fiscal year is July - June
Shares Change (YoY),10.661%,2.242%,8.234%,159.663%,22.685%,-,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.437,-0.437,-0.442,-0.459,-0.230,-0.163,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.440,-0.440,-0.442,-0.460,-0.230,-0.163,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-1,073,620","-1,073,620","-1,804,938","-1,507,932","-276,949","-354,109",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.132,-0.132,-0.227,-0.206,-0.098,-0.154,Financials in AUD,Fiscal year is July - June
Gross Margin,100.000%,100.000%,85.732%,74.501%,100.000%,-,Financials in AUD,Fiscal year is July - June
Operating Margin,-1819.556%,-1819.556%,-904.443%,-693.408%,-405.097%,-,Financials in AUD,Fiscal year is July - June
Profit Margin,-2474.441%,-2474.441%,-1022.517%,-905.443%,-405.908%,-,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-749.143%,-749.143%,-526.373%,-405.281%,-173.235%,-,Financials in AUD,Fiscal year is July - June
EBITDA,"-1,405,766","-1,405,766","-1,904,855","-1,384,712","-589,679","-575,697",Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"1,201,895","1,201,895","1,196,488","1,195,258","57,945","2,387",Financials in AUD,Fiscal year is July - June
EBIT,"-2,607,661","-2,607,661","-3,101,343","-2,579,970","-647,624","-578,084",Financials in AUD,Fiscal year is July - June
Advertising Expenses,"18,200","18,200","166,929","68,441","12,779","61,833",Financials in AUD,Fiscal year is July - June
