Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,528,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-23,115,000","-25,463,000","5,381,000","-63,616,000","-17,376,000","-29,466,000","-27,833,000","-25,726,000","-25,547,000","-19,010,000","-28,316,000",-,"-40,071,000","-41,611,000","-15,346,000","-45,487,000","-33,602,000","-35,852,000","16,601,000","-41,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-59,000","-193,000","-262,000","6,000","106,000","258,000",-,"87,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-23,056,000","-25,270,000","5,643,000","-63,622,000","-17,482,000","-29,724,000","-27,833,000","-25,813,000","-25,547,000","-19,010,000","-28,316,000",-,"-40,071,000","-41,611,000","-15,346,000","-45,487,000","-33,602,000","-35,852,000","16,601,000","-41,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,"18,769,000",-,"13,083,000","-4,691,000","-2,744,000","-5,718,000","-442,000","-6,441,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-23,056,000","-25,270,000","5,643,000","-44,853,000","-17,482,000","-16,641,000","-32,524,000","-28,557,000","-31,265,000","-19,452,000","-34,757,000",-,"-40,071,000","-41,611,000","-15,346,000","-45,487,000","-33,602,000","-35,852,000","16,601,000","-41,347,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,"1,991,000",-,"4,934,000","2,450,000","1,744,000","2,798,000","506,000","2,846,000",-,"2,658,000","1,691,000","3,478,000","6,018,000","3,305,000","3,589,000","3,480,000","3,959,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-23,056,000","-25,270,000","5,643,000","-42,862,000","-17,482,000","-11,707,000","-30,074,000","-26,813,000","-28,467,000","-18,946,000","-31,911,000",-,"-37,413,000","-39,920,000","-11,868,000","-39,469,000","-30,297,000","-32,263,000","20,081,000","-37,388,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-23,056,000","-25,270,000","5,643,000","-42,862,000","-17,482,000","-11,707,000","-30,074,000","-26,813,000","-28,467,000","-18,946,000","-31,911,000",-,"-37,413,000","-39,920,000","-11,868,000","-39,469,000","-30,297,000","-32,263,000","20,081,000","-37,388,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"100,093,635","89,852,142","71,810,231","65,234,522","55,583,768","55,583,768","51,452,348","45,653,279","45,540,315","45,109,523","45,486,477",-,"45,471,977","45,461,311","42,866,517","42,589,496","42,486,133","42,472,490","42,465,669","42,452,336",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"100,093,635","89,852,142","103,093,741","65,234,522","55,583,768","55,583,768","51,452,348","45,653,279","45,540,315","45,109,523","45,486,477",-,"45,471,977","45,461,311","42,866,517","42,589,496","42,486,133","42,472,490","42,498,423","42,452,336",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),80.077%,61.652%,100.367%,42.891%,22.054%,23.220%,13.116%,-,0.150%,-0.774%,6.112%,-,7.028%,7.037%,0.866%,0.323%,0.095%,0.075%,0.161%,0.053%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.230,-0.281,0.079,-0.657,-0.315,-0.211,-0.585,-0.587,-0.625,-0.420,-0.702,-,-0.823,-0.878,-0.277,-0.927,-0.713,-0.760,0.473,-0.881,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.230,-0.281,-0.150,-0.660,-0.315,-0.211,-0.585,-0.590,-0.630,-0.420,-0.702,-,-0.823,-0.878,-0.280,-0.929,-0.713,-0.760,0.470,-0.890,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,606,000","51,142,000","-23,533,000","39,441,000","-17,408,000","-19,313,000","-28,539,000","-1,662,000","-26,491,000","-24,484,000","-37,238,000",-,"-35,039,000","-17,575,000","-49,120,000","-51,355,000","-31,943,000","-36,203,000","-6,454,000","-5,518,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.066,0.569,-0.228,0.605,-0.313,-0.347,-0.555,-0.036,-0.582,-0.543,-0.819,-,-0.771,-0.387,-1.146,-1.206,-0.752,-0.852,-0.152,-0.130,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,91.608%,100.000%,100.000%,100.000%,96.011%,80.468%,87.918%,89.868%,-,14.907%,10.178%,70.875%,-13.873%,15.386%,-26.235%,91.138%,10.288%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-59.664%,-181.111%,-321.560%,-1461.256%,-1257.299%,-1180.460%,-644.310%,-33.322%,-1455.721%,-1003.048%,-769.158%,-,-391.309%,-298.090%,-71.179%,-238.701%,-317.637%,-715.598%,27.764%,-608.382%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-127.727%,-265.916%,86.842%,-2153.869%,-1063.382%,-585.057%,-845.013%,-154.792%,-1515.008%,-695.777%,-839.763%,-,-345.553%,-305.036%,-42.437%,-248.092%,-327.819%,-698.938%,38.687%,-589.066%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-36.596%,538.167%,-362.158%,1981.960%,-1058.881%,-965.167%,-801.883%,-9.595%,-1409.846%,-899.155%,-979.947%,-,-323.626%,-134.294%,-175.642%,-322.805%,-345.629%,-784.294%,-12.434%,-86.939%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-7,999,000","-14,469,000","-18,334,000","-26,415,000","-18,177,000","-21,163,000","-20,491,000","-2,490,000","-24,785,000","-22,812,000","-26,969,000",-,"-39,995,000","-37,899,000","-18,498,000","-37,043,000","-28,447,000","-32,371,000","15,050,000","-38,083,250",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-44.313%,-152.257%,-282.148%,-,-,-,-,-14.375%,-,-,-,-,-,-289.593%,-66.145%,-232.843%,-,-,28.995%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,771,000","2,742,000","2,561,000","2,664,000","2,493,000","2,458,000","2,440,000","3,282,000","2,568,000","4,501,000","2,259,000","2,353,000","2,372,000","1,112,000","1,408,000","932,000","909,000","661,000","639,000","530,750",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-10,770,000","-17,211,000","-20,895,000","-29,079,000","-20,670,000","-23,621,000","-22,931,000","-5,772,000","-27,353,000","-27,313,000","-29,228,000",-,"-42,367,000","-39,011,000","-19,906,000","-37,975,000","-29,356,000","-33,032,000","14,411,000","-38,614,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-59.664%,-181.111%,-,-,-,-,-,-33.322%,-,-,-,-,-,-298.090%,-71.179%,-238.701%,-,-,27.764%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"18,050,000","9,504,000","6,498,000","1,990,000","1,644,000","2,001,000","3,559,000","17,323,000","1,879,000","2,723,000","3,800,000",-,"10,827,000","14,615,000","27,966,000","15,909,000","9,242,000","4,616,000","51,907,000","6,347,000",Upgrade,Financials in USD,Fiscal year is January - December
