Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000","256,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"20,311,000","600,000","16,807,000","12,746,000","13,867,000","280,000","8,738,000","7,626,000","8,151,000","6,418,000","5,684,000","7,618,000","6,532,000","7,252,000","7,589,000","10,157,000","5,603,000","6,079,000","13,200,000","38,781,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-20,311,000","-600,000","-16,807,000","-12,746,000","-13,867,000","-280,000","-8,738,000","-7,626,000","-8,151,000","-6,418,000","-5,684,000","-7,618,000","-6,532,000","-7,252,000","-7,589,000","-10,156,000","-5,347,000","-6,079,000","-13,200,000","-38,781,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,013,000","5,540,000","5,636,000","4,852,000","4,147,000","3,302,000","3,366,000","3,242,000","2,376,000","2,957,000","2,354,000","3,019,000","3,400,000","3,153,000","2,778,000","2,790,000","3,075,000","3,117,000","2,982,000","3,077,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,"17,017,000",-,-,-,"8,631,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"-30,058,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,"-797,000",-,-,"-36,000","-761,000","-1,000","-5,000","-461,000","-329,000","29,000",-,"-26,000","-847,000","3,000","27,000","-103,000","-821,000","-80,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,046,000","22,590,000","4,871,000","4,884,000","4,177,000","11,905,000","2,613,000","3,248,000","2,379,000","2,504,000","2,033,000","3,050,000","3,440,000","3,174,000","1,978,000","2,859,000","3,165,000","3,082,000","2,219,000","-27,003,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-26,357,000","-23,190,000","-21,678,000","-17,630,000","-18,044,000","-12,185,000","-11,351,000","-10,874,000","-10,530,000","-8,922,000","-7,717,000","-10,668,000","-9,972,000","-10,426,000","-9,567,000","-13,015,000","-8,512,000","-9,161,000","-15,419,000","-11,778,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,"-284,000","-570,000","-565,000","-566,000","-558,000","-593,000","-530,000","-459,000","-332,000","-160,000","-86,000",Upgrade,Financials in USD,Fiscal year is January - December
