Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
"Selling, General & Admin","1,780,000","1,901,000","2,186,000","1,687,000","1,833,000","1,858,000","2,098,000","2,086,000","2,681,000","4,066,000","3,933,000","3,127,000","3,029,000","4,273,000","3,396,000","2,293,000","2,398,000","3,210,000","3,151,000","2,296,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,107,000","2,075,000","3,977,000","9,744,000","14,852,000","8,964,000","6,432,000","5,840,000","4,353,000","3,984,000","3,440,000","3,702,000","1,845,000","2,714,000","2,451,000","2,351,000","3,937,000","5,043,000","9,743,000","20,882,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,887,000","3,976,000","6,163,000","11,431,000","16,685,000","10,822,000","8,530,000","7,926,000","7,034,000","8,050,000","7,373,000","6,829,000","4,874,000","6,987,000","5,847,000","4,644,000","6,335,000","8,253,000","12,894,000","23,178,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,887,000","-3,976,000","-6,163,000","-11,431,000","-16,685,000","-10,822,000","-8,530,000","-7,926,000","-7,034,000","-8,050,000","-7,373,000","-6,829,000","-4,874,000","-6,987,000","-5,847,000","-4,644,000","-6,335,000","-8,253,000","-12,894,000","-23,178,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-590,000","-571,000","-487,000","-2,127,000","-300,000","-324,000","-399,000","-739,000","-636,000","-766,000","-1,039,000",-,"-849,000","-980,000","-2,952,000","-1,446,000","-4,183,000","-4,075,000","-2,596,000","-451,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"1,722,000",-,-,-,"819,000",-,-,-,"252,000",-,-,-,-,-,-,-,"45,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-481,000","-419,000","-403,000","-384,000","13,269,000","-910,000","-837,000","2,857,000","-22,009,000","2,424,000","5,339,000","2,566,000","9,816,000","15,887,000","-90,062,000","-5,412,000","-1,261,000","-15,000","-489,000","-8,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,958,000","-4,966,000","-7,053,000","-12,220,000","-3,716,000","-12,056,000","-9,766,000","-4,989,000","-29,679,000","-6,392,000","-3,073,000","-4,011,000","4,093,000","7,920,000","-98,861,000","-11,502,000","-11,779,000","-12,343,000","-15,979,000","-23,592,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"340,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,958,000","-4,966,000","-7,053,000","-12,220,000","-3,716,000","-12,056,000","-9,766,000","-4,989,000","-29,679,000","-6,392,000","-3,073,000","-4,011,000","4,093,000","7,920,000","-98,861,000","-11,162,000","-11,779,000","-12,343,000","-15,979,000","-23,592,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"136,000","31,000","48,000","142,000","161,000","187,000","123,000","101,000","-570,000","343,000","427,000","171,000","352,000","122,000","60,000","24,000","420,000","178,000","121,000","49,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-6,094,000","-4,997,000","-7,101,000","-12,362,000","-3,877,000","-12,243,000","-9,889,000","-5,090,000","-29,109,000","-6,735,000","-3,500,000","-4,182,000","3,741,000","7,798,000","-98,921,000","-11,186,000","-12,199,000","-12,521,000","-16,100,000","-23,641,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-6,094,000","-4,997,000","-7,101,000","-12,362,000","-3,877,000","-12,243,000","-9,889,000","-5,090,000","-29,109,000","-6,735,000","-3,500,000","-4,182,000","3,741,000","7,798,000","-98,921,000","-11,186,000","-12,199,000","-12,521,000","-16,100,000","-23,641,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"20,044,270","16,552,214","15,432,693","13,180,447","13,039,437","12,942,969","12,681,900","12,294,865","12,233,374","12,224,324","12,193,435","12,185,025","12,182,002","12,001,160","8,103,276","2,709,726","1,359,491","1,040,985","991,265","991,123",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"20,044,270","16,552,214","15,432,693","13,180,447","13,039,437","12,942,969","12,681,900","12,294,865","12,233,374","12,224,324","12,193,435","12,185,025","13,483,807","13,640,050","8,103,276","2,709,726","1,359,491","1,040,985","991,265","991,123",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),53.720%,27.886%,21.691%,7.203%,6.589%,5.879%,4.006%,0.901%,-9.274%,-10.379%,50.475%,349.677%,891.828%,1210.302%,717.468%,173.400%,39.949%,8.888%,4.048%,5.374%,Upgrade,Financials in USD,Fiscal year is January - December
