Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,-,-,-,-,"1,182,000","4,796,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-75.354%,132.027%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,"1,075,000","4,360,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"107,000","436,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","25,252,000","28,483,000","29,036,000","23,385,000","14,809,000","3,313,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"134,625,000","141,795,000","98,400,000","60,170,000","28,961,000","16,306,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"159,877,000","170,278,000","127,436,000","83,555,000","43,770,000","19,619,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-159,877,000","-170,278,000","-127,436,000","-83,555,000","-43,663,000","-19,183,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,717,000","-1,565,000","-238,000","-13,000",-,"-21,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"10,483,000","10,649,000","4,278,000","91,000","124,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-48,000","389,000","-22,000","-7,000","-1,339,000","-5,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-151,159,000","-160,805,000","-123,418,000","-83,484,000","-44,878,000","-19,209,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-621,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-151,159,000","-160,805,000","-123,418,000","-83,484,000","-45,499,000","-19,209,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"64,000","-21,000","241,000","34,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-151,159,000","-160,805,000","-123,482,000","-83,463,000","-45,740,000","-19,243,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"5,202,000","4,028,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-151,159,000","-160,805,000","-123,482,000","-83,463,000","-50,942,000","-23,271,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"50,923,882","42,987,767","40,699,612","40,308,050","18,485,343","3,076,461",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"50,923,882","42,987,767","40,699,612","40,308,050","18,485,343","3,076,461",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),24.482%,5.622%,0.971%,118.054%,500.864%,11.837%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.968,-3.741,-3.034,-2.071,-2.756,-7.564,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.968,-3.741,-3.034,-2.071,-2.756,-7.564,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-130,079,000","-131,638,000","-90,650,000","-68,767,000","-38,320,000","-14,602,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.554,-3.062,-2.227,-1.706,-2.073,-4.746,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,9.052%,9.091%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-3693.993%,-399.979%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-4309.814%,-485.217%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-3241.963%,-304.462%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-159,012,000","-169,442,000","-127,094,000","-83,504,000","-43,461,000","-18,754,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"865,000","836,000","342,000","51,000","202,000","429,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-159,877,000","-170,278,000","-127,436,000","-83,555,000","-43,663,000","-19,183,000",Upgrade,Financials in USD,Fiscal year is January - December
