Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
"Selling, General & Admin","4,021,000","4,164,000","4,159,000","3,622,000","4,384,000","4,318,000","4,685,000","3,958,000","5,437,000","5,770,000","5,955,000","6,653,000","5,041,000","5,445,000","4,832,000","3,958,000","3,009,000","2,395,000","1,736,000","1,689,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"16,396,000","13,635,000","10,140,000","15,792,000","14,712,000","13,774,000","13,868,000","11,676,000","10,597,000","14,776,000","13,014,000","11,707,000","10,697,000","10,844,000","8,876,000","8,961,000","5,291,000","4,547,000","3,830,000","2,746,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,417,000","17,799,000","14,299,000","19,414,000","19,096,000","18,092,000","18,553,000","15,634,000","16,034,000","20,546,000","18,969,000","18,360,000","15,738,000","16,289,000","13,708,000","12,919,000","8,300,000","6,942,000","5,566,000","4,435,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-20,417,000","-17,799,000","-14,299,000","-19,414,000","-19,096,000","-18,092,000","-18,553,000","-15,634,000","-16,034,000","-20,546,000","-18,969,000","-18,360,000","-15,738,000","-16,289,000","-13,708,000","-12,919,000","-8,300,000","-6,942,000","-5,566,000","-4,435,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"100,000","-600,000",-,-,"-500,000","-2,400,000",-,-,"1,200,000","100,000",-,-,"-100,000","100,000",-,-,"200,000","-400,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"817,000","1,427,000","1,902,000","1,989,000","2,389,000","1,212,000","1,591,000","1,219,000","3,599,000","3,271,000","429,000","126,000","2,806,000","146,000","55,000","-98,000","90,000","87,000","152,000","277,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,600,000","-16,372,000","-12,297,000","-18,025,000","-16,707,000","-16,880,000","-17,462,000","-16,815,000","-12,435,000","-17,275,000","-17,340,000","-18,134,000","-12,932,000","-16,143,000","-13,753,000","-12,917,000","-8,210,000","-6,855,000","-5,214,000","-4,558,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-100,000",-,-,-,"-7,200,000",-,-,-,"-100,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-19,600,000","-16,372,000","-12,297,000","-18,125,000","-16,707,000","-16,880,000","-17,462,000","-24,015,000","-12,435,000","-17,275,000","-17,340,000","-18,234,000","-12,932,000","-16,143,000","-13,753,000","-12,917,000","-8,210,000","-6,855,000","-5,214,000","-4,558,000",Upgrade,Financials in USD,Fiscal year is January - December
