Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
Revenue,"61,085,000","66,909,000","59,333,000","60,999,000","50,019,000","49,346,000","41,721,000","43,646,000","33,899,000","37,163,000","33,908,000","34,657,000","26,677,000","26,098,000","12,241,000","20,577,000","17,661,000","7,806,000","10,496,000","19,447,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),22.124%,35.592%,42.214%,39.759%,47.553%,32.783%,23.042%,25.937%,27.072%,42.398%,177.004%,68.426%,51.050%,234.333%,16.625%,5.811%,34.131%,237.776%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"18,223,000","19,077,000","18,067,000","19,270,000","15,431,000","14,712,000","12,146,000","13,370,000","13,490,000","15,819,000","13,208,000","15,834,000","11,490,000","11,302,000","4,908,000","7,278,000","4,854,000","1,948,000","4,219,000","3,636,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"42,862,000","47,832,000","41,266,000","41,729,000","34,588,000","34,634,000","29,575,000","30,276,000","20,409,000","21,344,000","20,700,000","18,823,000","15,187,000","14,796,000","7,333,000","13,299,000","12,807,000","5,858,000","6,277,000","15,811,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","52,506,000","50,152,000","45,123,000","43,058,000","43,328,000","41,174,000","37,384,000","36,729,000","34,794,000","36,875,000","33,442,000","33,267,000","31,673,000","26,463,000","20,665,000","27,394,000","21,944,000","17,553,000","31,300,000","30,285,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,314,000","2,350,000","2,078,000","2,380,000","1,587,000","1,208,000","1,381,000","1,348,000","1,376,000","1,550,000","468,000","423,000","301,000","499,000","841,000","719,000","350,000","145,000","507,000","418,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"55,907,000","53,929,000","48,610,000","46,811,000","46,226,000","43,629,000","39,967,000","39,104,000","37,090,000","39,278,000","34,832,000","34,610,000","32,897,000","28,708,000","23,539,000","29,989,000","24,038,000","19,356,000","33,556,000","32,171,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-13,045,000","-6,097,000","-7,344,000","-5,082,000","-11,638,000","-8,995,000","-10,392,000","-8,828,000","-16,681,000","-17,934,000","-14,132,000","-15,787,000","-17,710,000","-13,912,000","-16,206,000","-16,690,000","-11,231,000","-13,498,000","-27,279,000","-16,360,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,764,000","-4,696,000","-4,702,000","-4,075,000","-3,786,000","-3,182,000","-2,789,000","-2,631,000","-2,343,000","-2,075,000","-2,048,000","-140,000","-311,000","-300,000","-645,000","-2,823,000","-2,758,000","-2,464,000","-2,458,000","-2,468,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"928,000","1,029,000","517,000","291,000","306,000","164,000","99,000","77,000","38,000","4,000",-,-,-,"1,000",-,"5,000","32,000","224,000","374,000","375,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"273,000","62,000","45,000","694,000","21,000","19,000","-38,000","84,000","-62,000","-24,000","-7,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,608,000","-9,702,000","-11,484,000","-8,172,000","-15,097,000","-11,994,000","-13,120,000","-11,298,000","-19,048,000","-20,029,000","-16,187,000","-15,927,000","-18,021,000","-14,211,000","-16,851,000","-19,508,000","-13,957,000","-15,738,000","-29,363,000","-18,453,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,956,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"25,500,000","-83,421,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-2,428,000","-1,605,000","-1,578,000","875,000","-1,802,000","-1,682,000","-1,648,000","-1,809,000","-1,216,000","-1,414,000","-1,316,000","-2,241,000","-1,400,000","-1,381,000","-2,236,000","-7,915,000","2,471,000","-2,433,000","9,884,000","3,817,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-19,036,000","-11,307,000","-13,062,000","-11,725,000","-16,899,000","-18,117,000","-14,768,000","-13,107,000","-20,264,000","-23,443,000","-17,503,000","-18,168,000","-19,421,000","-15,592,000","6,413,000","-110,844,000","-11,486,000","-21,127,000","-19,479,000","-14,636,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"134,000","43,000","47,000","106,000","24,000","23,000","23,000","57,000","12,000","28,000","-2,000","9,000","12,000","9,000","12,000","-150,000","-27,000","-2,000","256,000","-128,000",Upgrade,Financials in USD,Fiscal year is January - December
