Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",,
"Selling, General & Admin","965,705","1,127,468","1,184,556","1,265,906","1,126,530","1,023,752","1,094,574","878,356","817,898","884,837","2,906,020","1,191,517","1,511,165","1,282,375","1,050,672","875,891","71,570",Financials in USD,Fiscal year is January - December
Research & Development,"830,981","1,394,929","717,582","1,059,984","1,651,367","909,278","525,273","339,971","381,566","975,583","3,680,280","2,665,430","1,532,782","1,159,505","1,557,039","2,018,685","93,307",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,796,686","2,522,397","1,902,138","2,325,890","2,777,897","1,933,030","1,619,847","1,218,327","1,199,464","1,860,420","6,586,300","3,856,947","3,043,947","2,441,880","2,607,711","2,894,575","164,877",Financials in USD,Fiscal year is January - December
Operating Income,"-1,796,686","-2,522,397","-1,902,138","-2,325,890","-2,777,897","-1,933,030","-1,619,847","-1,218,327","-1,199,464","-1,860,420","-6,586,300","-3,856,947","-3,043,947","-2,441,880","-2,607,711","-2,894,575","-164,877",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-444,879","-5,867,422","-779,295","122,987","149,521","484,860","7,779,042","10,741","28,728","25,734","-30,241","-3,439",-557,"-27,714","-4,642",126,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,241,565","-8,389,819","-2,681,433","-2,202,903","-2,628,376","-1,448,170","6,159,195","-1,207,586","-1,170,736","-1,834,686","-6,616,541","-3,860,386","-3,044,504","-2,469,594","-2,612,353","-2,894,449","-164,877",Financials in USD,Fiscal year is January - December
Net Income,"-2,241,565","-8,389,819","-2,681,433","-2,202,903","-2,628,376","-1,448,170","6,159,195","-1,207,586","-1,170,736","-1,834,686","-6,616,541","-3,860,386","-3,044,504","-2,469,594","-2,612,353","-2,894,449","-164,877",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,241,565","-8,389,819","-2,681,433","-2,202,903","-2,628,376","-1,448,170","6,159,195","-1,207,586","-1,170,736","-1,834,686","-6,616,541","-3,860,386","-3,044,504","-2,469,594","-2,612,353","-2,894,449","-164,877",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,679,941","1,635,234","1,089,833","264,537","264,537","248,369","135,305","241,284","20,400","14,712","13,873","31,547",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,679,941","1,635,234","1,089,833","264,537","264,537","248,369","166,144","241,284","20,400","14,712","13,873","31,547",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),913.068%,558.389%,555.957%,9.637%,1196.750%,1588.207%,1097.607%,664.840%,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.836,-5.131,-2.460,-8.327,-9.936,-5.831,45.521,-5.005,-57.389,-124.707,-476.937,-122.369,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.840,-5.131,-2.460,-8.327,-9.940,-5.831,37.070,-5.013,-57.389,-124.800,-477.000,-122.369,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,274,672","-2,478,682","-2,857,141","-2,002,836","-1,716,681","-1,991,615","-1,575,154","-947,467","-1,731,418","-3,710,445","-4,830,066","-2,862,754","-2,234,660","-3,643,969","-2,481,153","-1,392,791","-130,349",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.461,-1.516,-2.622,-7.571,-6.489,-8.019,-9.481,-3.927,-84.873,-252.205,-348.163,-90.746,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-1,789,466","-2,515,177","-1,895,876","-2,319,628","-2,771,635","-1,926,768","-1,613,584","-1,212,065","-1,193,202","-1,854,158","-6,580,038","-3,850,685","-3,037,876","-2,438,073","-2,607,069",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,220","7,220","6,262","6,262","6,262","6,262","6,263","6,262","6,262","6,262","6,262","6,262","6,071","3,807",642,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-1,796,686","-2,522,397","-1,902,138","-2,325,890","-2,777,897","-1,933,030","-1,619,847","-1,218,327","-1,199,464","-1,860,420","-6,586,300","-3,856,947","-3,043,947","-2,441,880","-2,607,711","-2,894,575","-164,877",Financials in USD,Fiscal year is January - December
