Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"1,136,000","1,141,000","1,014,000","6,036,000","3,699,000","485,000","443,000","2,488,000",-,-,-,-,-,-,-,-,-,"43,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-69.289%,135.258%,128.894%,142.605%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"8,108,000","8,902,000","6,826,000","9,504,000","7,048,000","14,574,000","10,172,000","23,615,000","15,622,000","9,007,000","7,915,000","7,102,000","6,281,000","18,853,000","2,872,000","2,494,000","1,078,000","1,630,000","1,652,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-6,972,000","-7,761,000","-5,812,000","-3,468,000","-3,349,000","-14,089,000","-9,729,000","-21,127,000","-15,622,000","-9,007,000","-7,915,000","-7,102,000","-6,281,000","-18,853,000","-2,872,000","-2,494,000","-1,078,000","-1,587,000","-1,652,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,280,000","7,688,000","6,404,000","5,155,000","9,082,000","9,451,000","8,306,000","7,226,000","7,497,000","10,558,000","10,119,000","7,470,000","4,508,000","6,757,000","4,185,000","2,414,000","1,704,000","1,779,000","2,277,000","2,532,250",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,746,992",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,280,000","7,688,000","6,404,000","5,155,000","9,082,000","9,451,000","8,306,000","7,226,000","7,497,000","10,558,000","10,119,000","7,470,000","4,508,000","6,757,000","4,185,000","2,414,000","1,704,000","1,779,000","2,277,000","4,279,242",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-13,252,000","-15,449,000","-12,216,000","-8,623,000","-12,431,000","-23,540,000","-18,035,000","-28,353,000","-23,119,000","-19,565,000","-18,034,000","-14,572,000","-10,789,000","-25,610,000","-7,057,000","-4,908,000","-2,782,000","-3,366,000","-3,929,000","-4,279,242",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-166,000","-292,000","-248,000","-15,000","-14,664",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"300,000","200,000","300,000","2,500,000","700,000","500,000",-,"1,400,000",-,-,-,-,-,-,-,-,-,-,-,107,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-18,000","-31,000","-8,000","-3,188,000","14,000","-25,000","709,000","-439,000","1,197,000","94,000","15,000","-9,000","-18,000","-10,000","-20,000","184,000",-,-,-,"16,675,866",Upgrade,Financials in USD,Fiscal year is January - December
